Operation,Threads,Off_kernel_median_ms,AVX_kernel_median_ms,Kernel_speedup_off_over_avx,Process_instructions_avx_over_off,Process_LLC_load_misses_avx_over_off,LLC_coverage_off_pct,LLC_coverage_avx_pct,Time_job,Counters_job,Time_samples_per_build,Counter_samples_per_build
Adjust_Brightness,1,176.60605650000002,177.9367335,0.9925216284809456,0.9626524408459256,1.2642755564655108,74.0,74.0,824454,824542,10,5
Adjust_Brightness,20,10.9505335,10.970074,0.9982187449236897,0.9623800222780678,1.3411213493878071,74.0,74.0,824454,824542,10,5
Adjust_Contrast,1,264.58788,261.3475125,1.012398692717613,0.9634940787259342,1.3016690169412946,74.0,74.0,824454,824542,10,5
Adjust_Contrast,20,16.035691,15.9399905,1.0060037990612354,0.9633525591314518,1.2738280738362036,75.0,75.0,824454,824542,10,5
Equalize_Histogram,1,188.012709,188.1294985,0.9993792068711648,0.9626038881168201,1.3013715807771138,74.0,74.0,824454,824542,10,5
Equalize_Histogram,20,12.018892000000001,12.0607405,0.9965301881754276,0.9625267514940098,1.3148574049781907,74.0,74.0,824454,824542,10,5
Flip_Horizontal,1,65.5407665,65.83559600000001,0.9955217311315901,0.9592394479461963,1.2703249998999508,75.0,75.0,824454,824542,10,5
Flip_Horizontal,20,5.354006,5.429049,0.9861775054894513,0.9594852074398676,1.2454416287476844,74.0,76.0,824454,824542,10,5
Flip_Vertical,1,16.362048,16.438363000000003,0.9953575060971703,0.9548070552814568,1.2039832410754439,75.0,75.0,824454,824542,10,5
Flip_Vertical,20,4.8031690000000005,4.767109,1.0075643330160902,0.955384954632286,1.207716318141491,74.0,74.0,824454,824542,10,5
Gaussian_11x11,1,9586.310936,9578.613267,1.000803630837307,0.993902613384006,1.2901328588942893,75.0,74.0,824454,824542,10,5
Gaussian_11x11,20,560.828008,559.7609345,1.0019063021983718,0.9940431012203329,1.2842991151619985,75.0,74.0,824454,824542,10,5
Gaussian_3x3,1,1380.6502905000002,1389.7216604999999,0.9934725274435631,0.9799941580519367,1.3383195790751032,74.0,75.0,824454,824542,10,5
Gaussian_3x3,20,82.758895,83.4574945,0.9916292778235752,0.9796415273398729,1.3106499049032796,75.0,75.0,824454,824542,10,5
Gaussian_5x5,1,2493.150984,2476.5531469999996,1.006701991039484,0.98009138292046,1.2810331281325726,74.0,75.0,824454,824542,10,5
Gaussian_5x5,20,159.326055,145.080547,1.0981903383642468,0.9799317017738944,1.3047340944461925,75.0,75.0,824454,824542,10,5
Gaussian_7x7,1,4295.148333,4287.8729885,1.0016967257471274,0.9883420948817311,1.265674245409386,75.0,74.0,824454,824542,10,5
Gaussian_7x7,20,249.4874295,249.407147,1.0003218933417333,0.9883762674426491,1.3369581545097005,74.0,74.0,824454,824542,10,5
Gaussian_9x9,1,6643.548164,6657.325672,0.9979304740854203,0.9917004851756691,1.259747227926332,74.0,74.0,824454,824542,10,5
Gaussian_9x9,20,384.2821465,385.4837285,0.9968829242036348,0.9915215832786257,1.2999560164822446,75.0,75.0,824454,824542,10,5
Grayscale,1,78.0437495,61.114962,1.2769990677569267,0.9057306056145755,1.3032166250779789,75.0,74.0,824454,824542,10,5
Grayscale,20,6.1649705,5.318554,1.1591441019495148,0.9073294102269501,1.3186092182986024,72.0,76.0,824454,824542,10,5
Negative,1,105.096747,101.862811,1.031747955590976,0.9590555246882839,1.2735915519727523,75.0,75.0,824454,824542,10,5
Negative,20,6.7942845,6.661906500000001,1.0198708883110261,0.9590860626215831,1.341077291983883,73.0,73.0,824454,824542,10,5
Quantize,1,481.35190850000004,462.5161455,1.04072455239295,0.9085802354852984,1.3373635175251553,74.0,75.0,824454,824542,10,5
Quantize,20,31.1939465,30.533531,1.0216291885795978,0.9094141185591766,1.3648862244528477,75.0,75.0,824454,824542,10,5
Rotate_CCW,1,245.116638,248.16582849999998,0.9877130928201101,0.9601273573064375,1.1440961520980348,75.0,75.0,824454,824542,10,5
Rotate_CCW,20,38.039079,38.6734065,0.9835978374441879,0.9563054246248899,1.1703557016041273,75.0,75.0,824454,824542,10,5
Rotate_CW,1,248.23735950000003,252.7785035,0.9820350863023446,0.9591978499545075,1.1373761555167514,74.0,75.0,824454,824542,10,5
Rotate_CW,20,36.494574,38.315216500000005,0.9524825208804443,0.9550482486845492,1.1786019127030856,75.0,75.0,824454,824542,10,5
Zoom_In,1,348.977456,285.6077825,1.2218765642354303,0.8646698912217144,1.3817749339971532,74.0,74.0,824454,824542,10,5
Zoom_In,20,27.3225835,26.121406999999998,1.0459843721281936,0.8642163969978366,1.321217701471791,74.0,74.0,824454,824542,10,5
Zoom_Out,1,293.10540149999997,302.100965,0.9702233208689022,0.961815953155659,1.290110251659811,75.0,74.0,824454,824542,10,5
Zoom_Out,20,19.8075295,19.930546,0.9938277405947635,0.9607794969672241,1.3783490613444418,75.0,75.0,824454,824542,10,5
