Image,OMP_Schedule,Media_Tempo_ms,Desvio_Padrao_ms
4000x3000.png,dynamic_1,370.70,1.28
4000x3000.png,dynamic_128,393.01,0.18
4000x3000.png,dynamic_16,375.12,0.22
4000x3000.png,dynamic_2,374.18,5.31
4000x3000.png,dynamic_32,378.47,2.00
4000x3000.png,dynamic_4,371.16,0.78
4000x3000.png,dynamic_64,390.34,1.29
4000x3000.png,dynamic_8,373.40,1.10
4000x3000.png,static,412.93,2.44
6000x6000.png,dynamic_1,1095.89,1.39
6000x6000.png,dynamic_128,1124.48,1.29
6000x6000.png,dynamic_16,1103.27,10.08
6000x6000.png,dynamic_2,1094.35,2.45
6000x6000.png,dynamic_32,1100.34,0.91
6000x6000.png,dynamic_4,1091.17,1.50
6000x6000.png,dynamic_64,1108.90,9.52
6000x6000.png,dynamic_8,1103.97,13.26
6000x6000.png,static,1231.26,6.44
8k.jpeg,dynamic_1,87.51,0.22
8k.jpeg,dynamic_128,104.76,0.59
8k.jpeg,dynamic_16,91.06,0.31
8k.jpeg,dynamic_2,87.61,0.33
8k.jpeg,dynamic_32,108.05,15.69
8k.jpeg,dynamic_4,87.96,0.20
8k.jpeg,dynamic_64,104.32,0.56
8k.jpeg,dynamic_8,89.74,0.52
8k.jpeg,static,107.38,0.96
city.jpg,dynamic_1,2690.80,2.51
city.jpg,dynamic_128,2754.93,2.09
city.jpg,dynamic_16,2684.94,3.29
city.jpg,dynamic_2,2691.60,7.01
city.jpg,dynamic_32,2700.85,3.20
city.jpg,dynamic_4,2696.36,18.13
city.jpg,dynamic_64,2737.86,26.62
city.jpg,dynamic_8,2685.56,0.72
city.jpg,static,3520.37,46.50
city2.jpg,dynamic_1,3056.29,0.74
city2.jpg,dynamic_128,3170.96,0.25
city2.jpg,dynamic_16,3047.03,2.98
city2.jpg,dynamic_2,3047.40,4.82
city2.jpg,dynamic_32,3059.32,1.59
city2.jpg,dynamic_4,3077.12,28.19
city2.jpg,dynamic_64,3096.03,11.46
city2.jpg,dynamic_8,3044.90,10.02
city2.jpg,static,3406.70,32.41
firework.jpg,dynamic_1,6072.66,21.18
firework.jpg,dynamic_128,6155.47,8.99
firework.jpg,dynamic_16,6076.65,22.92
firework.jpg,dynamic_2,6053.86,10.35
firework.jpg,dynamic_32,6073.07,12.32
firework.jpg,dynamic_4,6050.79,17.07
firework.jpg,dynamic_64,6101.73,4.46
firework.jpg,dynamic_8,6070.01,11.18
firework.jpg,static,7640.67,75.01
flor1.jpg,dynamic_1,2872.34,2.87
flor1.jpg,dynamic_128,2944.85,7.94
flor1.jpg,dynamic_16,2877.68,1.48
flor1.jpg,dynamic_2,2869.94,0.81
flor1.jpg,dynamic_32,2887.76,4.91
flor1.jpg,dynamic_4,2871.60,0.18
flor1.jpg,dynamic_64,2920.95,4.89
flor1.jpg,dynamic_8,2882.56,17.68
flor1.jpg,static,3387.33,21.33
flor2.jpg,dynamic_1,316.74,0.00
flor2.jpg,dynamic_128,350.06,0.46
flor2.jpg,dynamic_16,314.90,0.85
flor2.jpg,dynamic_2,317.64,1.52
flor2.jpg,dynamic_32,323.24,0.68
flor2.jpg,dynamic_4,317.54,0.66
flor2.jpg,dynamic_64,328.42,0.78
flor2.jpg,dynamic_8,317.33,0.28
flor2.jpg,static,345.10,1.75
monument.jpg,dynamic_1,5133.07,7.74
monument.jpg,dynamic_128,5173.51,1.82
monument.jpg,dynamic_16,5120.19,0.24
monument.jpg,dynamic_2,5156.82,1.81
monument.jpg,dynamic_32,5142.60,19.11
monument.jpg,dynamic_4,5124.18,6.01
monument.jpg,dynamic_64,5144.79,7.34
monument.jpg,dynamic_8,5124.92,7.61
monument.jpg,static,6812.68,7.63
poke.jpg,dynamic_1,7.00,0.01
poke.jpg,dynamic_128,18.90,0.15
poke.jpg,dynamic_16,7.40,0.00
poke.jpg,dynamic_2,7.05,0.01
poke.jpg,dynamic_32,7.98,0.03
poke.jpg,dynamic_4,7.14,0.04
poke.jpg,dynamic_64,11.64,0.13
poke.jpg,dynamic_8,7.32,0.03
poke.jpg,static,7.68,0.07
rain_paisage.jpg,dynamic_1,6368.50,5.40
rain_paisage.jpg,dynamic_128,6397.01,8.47
rain_paisage.jpg,dynamic_16,6354.19,0.36
rain_paisage.jpg,dynamic_2,6356.56,10.13
rain_paisage.jpg,dynamic_32,6358.45,1.54
rain_paisage.jpg,dynamic_4,6383.50,2.74
rain_paisage.jpg,dynamic_64,6413.87,22.80
rain_paisage.jpg,dynamic_8,6343.03,1.19
rain_paisage.jpg,static,8309.70,26.13
sky.jpg,dynamic_1,2030.93,3.97
sky.jpg,dynamic_128,2060.87,14.81
sky.jpg,dynamic_16,2048.39,19.11
sky.jpg,dynamic_2,2029.76,5.61
sky.jpg,dynamic_32,2059.92,16.15
sky.jpg,dynamic_4,2035.84,12.43
sky.jpg,dynamic_64,2044.68,7.90
sky.jpg,dynamic_8,2195.57,232.72
sky.jpg,static,2145.23,17.59
stars.jpg,dynamic_1,3284.59,34.69
stars.jpg,dynamic_128,3388.19,32.53
stars.jpg,dynamic_16,3258.91,4.17
stars.jpg,dynamic_2,3269.61,10.73
stars.jpg,dynamic_32,3288.88,0.28
stars.jpg,dynamic_4,3266.49,5.37
stars.jpg,dynamic_64,3358.78,7.38
stars.jpg,dynamic_8,3299.48,38.74
stars.jpg,static,3502.93,44.29
