Campaign,Image,Operation,Build,Threads,Schedule,Median_ms,Min_ms,Max_ms,Range_over_median
regular,4000x3000.png,Flip_Horizontal,omp,16,"dynamic,16",1.865167,1.798694,3.561937,0.9453539549005531
regular,6000x6000.png,Equalize_Histogram,omp,16,static,14.906087,14.770348,26.426437,0.7819683998892533
regular,6000x6000.png,Equalize_Histogram,off-avx2,20,static,12.258549,11.863017,21.369701,0.7755146224891706
regular,6000x6000.png,Zoom_Out,omp-avx2,16,static,24.588169,23.377689,42.169949,0.7642805773784946
regular,4000x3000.png,Equalize_Histogram,off-avx2,20,static,4.236220,3.953024,7.179495,0.7616391499969312
regular,6000x6000.png,Equalize_Histogram,off,20,static,12.027016,11.913029,20.996517,0.7552569980783265
regular,6000x6000.png,Adjust_Contrast,omp,16,static,21.288672,21.121404,36.953181,0.7436714229990486
regular,6000x6000.png,Adjust_Brightness,off-avx2,12,static,17.916168,17.531743,30.832498,0.7423883834980786
regular,6000x6000.png,Equalize_Histogram,omp,20,static,12.618812,12.003849,21.267451,0.7341104693532164
regular,6000x6000.png,Adjust_Contrast,omp,20,static,17.138489,16.974739,29.432647,0.7268965192905862
regular,4000x3000.png,Adjust_Brightness,off,20,static,4.034227,3.877033,6.803834,0.7254923929664842
regular,6000x6000.png,Adjust_Brightness,omp-avx2,16,static,13.722885,13.607623,23.043959,0.6876349980343055
adaptive,control_bands_256_6000x6000.png,Adaptive_Median,off,20,static,729.141735,728.736556,945.525520,0.29732074519091967
adaptive,control_smooth_6000x6000.png,Adaptive_Median,off,20,static,813.492444,812.972731,1043.478492,0.2833532907405837
adaptive,control_noise_6000x6000.png,Adaptive_Median,omp-avx2,20,static,609.941887,608.422627,771.049625,0.26662703688031836
adaptive,control_bands_256_6000x6000.png,Adaptive_Median,omp-avx2,20,static,764.308727,761.886952,941.357377,0.2348140465495432
adaptive,control_half_noise_6000x6000.png,Adaptive_Median,off-avx2,20,"dynamic,256",862.745347,859.509259,1058.331722,0.23045324288489016
adaptive,control_half_noise_6000x6000.png,Adaptive_Median,omp,20,static,817.410851,815.678765,972.518176,0.19187341446241707
adaptive,stars.jpg,Adaptive_Median,off,20,static,1791.063435,1769.360473,2046.913137,0.1549652896576497
adaptive,sky.jpg,Adaptive_Median,off,20,static,1105.695487,1104.763419,1245.898769,0.1276439595344028
adaptive,control_noise_6000x6000.png,Adaptive_Median,off,20,"dynamic,16",574.253859,573.632009,616.846787,0.07525378771551261
adaptive,control_noise_6000x6000.png,Adaptive_Median,off-avx2,20,static,593.613253,592.941791,635.659694,0.07196251563473766
adaptive,stars.jpg,Adaptive_Median,off,20,"dynamic,64",1711.321920,1707.396454,1819.897466,0.06573924560026669
adaptive,control_noise_6000x6000.png,Adaptive_Median,off,20,static,565.023745,564.619663,599.938507,0.0625086012978092
smt,6000x6000.png,Grayscale,omp-avx2,40,static,9.326263,9.190567,17.853330,0.9288568207866322
smt,6000x6000.png,Grayscale,omp-avx2,20,static,9.670135,9.605451,14.899135,0.5474260700600352
smt,6000x6000.png,Grayscale,omp,40,static,14.895565,9.217470,16.094947,0.4617130669430801
smt,6000x6000.png,Grayscale,omp,40,"dynamic,16",10.791783,9.371872,12.685943,0.3070920718105618
smt,control_half_noise_6000x6000.png,Adaptive_Median,omp,40,static,585.694555,585.377890,741.566819,0.26667300842501435
smt,6000x6000.png,Gaussian_11x11,omp,40,static,546.673421,541.521660,594.213922,0.09638709323678649
smt,6000x6000.png,Gaussian_11x11,omp,20,static,554.390632,552.791252,594.628003,0.07546439024243838
smt,6000x6000.png,Grayscale,omp-avx2,40,"dynamic,16",9.510305,9.440493,10.124481,0.07192072178547369
smt,control_half_noise_6000x6000.png,Adaptive_Median,omp,20,static,816.875056,814.908437,866.094337,0.06266062309533901
smt,6000x6000.png,Gaussian_11x11,omp,20,"dynamic,16",562.169900,562.073102,592.271204,0.05371703821211357
smt,6000x6000.png,Gaussian_11x11,omp-avx2,40,static,541.811882,538.401259,566.973905,0.05273536249247477
smt,6000x6000.png,Gaussian_11x11,omp-avx2,40,"dynamic,16",569.087923,548.466437,570.446462,0.03862324978560466
layout,4000x3000.png,Grayscale,omp-avx2,20,static,2.181083,2.166920,4.209324,0.9364173669686111
layout,6000x6000.png,Gaussian_11x11,omp-avx2,4,static,19.841343,18.897033,35.620167,0.8428428458698589
layout,6000x6000.png,Gaussian_11x11,off,20,static,25.870326,24.028855,45.365811,0.8247656407576774
layout,6000x6000.png,Gaussian_11x11,off,20,static,45.409450,43.197417,78.984102,0.7880889330304593
layout,6000x6000.png,Grayscale,off,20,static,7.006073,6.912936,12.125909,0.7440648991239458
layout,6000x6000.png,Gaussian_11x11,off,20,static,19.509561,19.168562,33.618291,0.7406485978849036
layout,6000x6000.png,Gaussian_11x11,off-avx2,12,static,4.690252,4.318086,7.498324,0.6780526931175553
layout,6000x6000.png,Gaussian_11x11,off,20,static,55.028377,52.797179,90.066734,0.6772788337915181
layout,4000x3000.png,Gaussian_11x11,omp,20,static,4.933980,4.906642,8.148205,0.6569874624542461
layout,6000x6000.png,Gaussian_11x11,off,16,static,21.861711,21.374474,34.746071,0.611644578047894
layout,6000x6000.png,Gaussian_11x11,off-avx2,20,static,5.966176,5.762268,9.407863,0.6110438243860056
layout,6000x6000.png,Gaussian_11x11,off-avx2,20,static,5.966176,5.762268,9.407863,0.6110438243860056
