Experiment,Build,Image,Width,Height,Threads,Round,Order,Schedule,Chunk,Elapsed_ms
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,0,0,dynamic,16,6.520484
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,0,1,static,16,5.456516
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,0,2,static,,5.228917
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,0,3,dynamic,1,4.945167
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,0,4,static,1,4.939756
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,1,0,static,1,4.809613
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,1,1,dynamic,1,4.798014
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,1,2,static,16,5.257281
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,1,3,static,,5.381826
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,1,4,dynamic,16,5.036997
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,2,0,dynamic,16,5.041129
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,2,1,static,,5.351545
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,2,2,static,1,4.890279
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,2,3,static,16,5.232582
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,2,4,dynamic,1,4.827015
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,3,0,static,,5.232905
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,3,1,static,16,5.481268
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,3,2,dynamic,1,4.810078
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,3,3,dynamic,16,4.950643
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,3,4,static,1,4.976836
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,4,0,static,16,5.320393
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,4,1,static,,5.220376
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,4,2,static,1,4.978861
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,4,3,dynamic,16,5.049970
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,4,4,dynamic,1,4.770303
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,5,0,static,,5.208373
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,5,1,static,16,5.520374
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,5,2,static,1,4.985493
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,5,3,dynamic,16,5.260977
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,5,4,dynamic,1,4.767638
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,6,0,dynamic,1,4.806541
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,6,1,static,16,5.321007
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,6,2,static,,5.186142
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,6,3,dynamic,16,5.013618
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,6,4,static,1,4.845594
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,7,0,dynamic,1,4.779775
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,7,1,dynamic,16,5.050014
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,7,2,static,,5.261688
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,7,3,static,1,4.884947
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,7,4,static,16,5.321378
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,8,0,dynamic,16,5.009037
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,8,1,static,16,5.278160
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,8,2,static,1,4.826962
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,8,3,dynamic,1,4.836643
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,8,4,static,,5.253522
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,9,0,dynamic,16,5.008034
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,9,1,static,1,4.794148
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,9,2,static,,5.172015
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,9,3,static,16,5.420411
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,9,4,dynamic,1,4.775843
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,10,0,static,16,5.326861
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,10,1,static,,5.209715
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,10,2,dynamic,1,4.859517
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,10,3,dynamic,16,4.832979
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,10,4,static,1,4.941944
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,11,0,static,1,4.941579
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,11,1,static,,5.274997
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,11,2,dynamic,1,4.785578
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,11,3,dynamic,16,5.047731
flip-schedule-confirmation,omp-avx2,6000x6000.png,6000,6000,20,11,4,static,16,5.394359
