Experiment,Build,Image,Threads,Round,Order,Schedule,Chunk,Thread,Rows,Work_ms
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,0,368,4.760105
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,1,304,4.785214
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,2,304,4.771966
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,3,304,4.741693
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,4,304,4.774397
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,5,304,4.738254
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,6,304,4.749248
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,7,384,4.916601
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,8,304,4.756952
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,9,304,4.799398
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,10,288,4.971419
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,11,288,4.966384
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,12,272,4.728269
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,13,288,4.954820
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,14,288,4.962446
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,15,272,4.727935
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,16,272,4.760472
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,17,288,4.965030
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,18,288,4.943736
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,0,dynamic,16,19,272,4.751580
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,0,304,3.904719
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,1,304,4.706919
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,2,304,4.679758
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,3,304,4.696960
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,4,304,4.702684
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,5,304,4.669765
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,6,304,4.046988
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,7,304,4.693920
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,8,304,4.697474
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,9,304,4.690910
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,10,304,5.348392
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,11,304,5.335467
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,12,304,5.354613
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,13,304,5.360112
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,14,304,5.331447
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,15,288,5.040973
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,16,288,5.048411
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,17,288,5.057612
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,18,288,5.043702
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,1,static,16,19,288,5.030794
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,0,300,3.850859
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,1,300,4.627090
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,2,300,4.641987
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,3,300,4.601840
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,4,300,4.630897
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,5,300,4.592694
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,6,300,4.119758
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,7,300,4.603744
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,8,300,4.739240
