Experiment,Build,Image,Width,Height,Threads,Schedule,Chunk,Touch_Mode,Samples,Copy_ms_Median,Copy_ms_Min,Copy_ms_Max,Copy_ms_Mean,Copy_ms_StdDev,Horizontal_ms_Median,Horizontal_ms_Min,Horizontal_ms_Max,Horizontal_ms_Mean,Horizontal_ms_StdDev,Vertical_ms_Median,Vertical_ms_Min,Vertical_ms_Max,Vertical_ms_Mean,Vertical_ms_StdDev,Total_ms_Median,Total_ms_Min,Total_ms_Max,Total_ms_Mean,Total_ms_StdDev
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,1,static,,fresh,10,179.986043,177.352394,181.335970,179.855012,0.989774,58.107852,57.941727,59.757492,58.261914,0.541623,110.948686,110.874874,119.643715,111.834554,2.745457,349.063958,348.875095,356.753601,349.951480,2.429589
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,10,17.023049,16.812137,22.608839,17.636312,1.785428,7.495164,7.342199,8.024442,7.568346,0.225513,11.509821,11.453847,12.474565,11.644449,0.323582,35.913235,35.715518,43.107846,36.849107,2.293579
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,10,12.554274,12.430089,17.062991,13.047783,1.424287,5.523169,5.500496,5.974226,5.572668,0.143000,9.179472,9.051755,9.324780,9.180722,0.089403,27.254944,27.060219,32.361997,27.801173,1.619451
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,2,static,,fresh,10,91.686809,91.237051,94.088278,91.941780,0.794117,29.619733,29.492348,32.134654,29.982717,0.817717,56.562229,56.146473,61.106048,56.966778,1.478397,177.907757,177.404150,185.494462,178.891275,2.470995
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,10,10.546307,10.441300,14.445306,11.127073,1.260680,4.498178,4.426100,4.963336,4.606361,0.212208,7.190551,7.128167,7.741385,7.301021,0.231629,22.192872,22.064383,27.098121,23.034455,1.643879
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,10,48.589126,48.336085,50.085227,48.755702,0.534542,16.355267,16.275921,17.067533,16.515411,0.306428,31.108033,31.033295,32.275906,31.279103,0.373564,96.110267,95.849550,98.241699,96.550217,0.806122
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,10,26.412509,26.349158,27.134678,26.505784,0.234492,9.459277,9.379465,10.775377,9.602225,0.422904,16.747913,16.689620,17.076958,16.796641,0.132729,52.639691,52.472177,54.919758,52.904649,0.724867
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,10,179.895287,179.277832,181.084452,179.980508,0.515599,58.358329,58.160198,62.855360,58.781599,1.439927,47.158938,47.058614,49.015424,47.491558,0.652468,285.567987,284.907206,292.955236,286.253665,2.394914
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,12,static,,fresh,10,16.841190,16.716406,22.310611,17.467015,1.721167,7.429346,7.308843,7.862249,7.498966,0.193865,10.150340,10.066436,10.464489,10.194899,0.131084,34.449368,34.217222,40.492117,35.160880,1.936354
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,16,static,,fresh,10,12.334120,12.271018,16.684403,12.889687,1.377963,5.494312,5.432209,5.917732,5.591787,0.187494,7.764492,7.683467,7.891156,7.773728,0.068706,25.671554,25.447590,30.366854,26.255202,1.528308
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,2,static,,fresh,10,90.729702,90.267932,91.988617,90.861509,0.489960,29.584533,29.433872,30.167600,29.636831,0.234871,24.553992,24.460383,25.392947,24.646323,0.279763,145.093301,144.418025,146.029943,145.144662,0.531796
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,20,static,,fresh,10,10.491834,10.339057,14.768614,11.051652,1.368670,4.434353,4.400641,4.897127,4.491647,0.148644,6.452873,6.337608,6.764079,6.483960,0.130893,21.367221,21.110315,26.429820,22.027259,1.624878
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,4,static,,fresh,10,48.968869,48.500715,54.672541,49.934913,1.981403,16.448967,16.357812,19.655195,17.536616,1.476666,14.874116,14.775513,16.464545,15.053098,0.509542,80.815174,79.736054,88.882221,82.524627,3.240902
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,8,static,,fresh,10,26.377476,26.134123,28.068735,26.715100,0.614566,9.371839,9.100160,10.756462,9.790552,0.729926,13.381887,13.356125,13.701470,13.418445,0.103129,49.336135,48.675809,52.180424,49.924097,1.242747
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,1,fresh,10,54.121258,53.903457,60.819610,55.082236,2.117742,6.251924,6.140735,8.147503,6.596387,0.678811,11.811290,11.409223,13.204205,12.025644,0.642283,72.162091,71.488961,82.171318,73.704267,3.340275
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,1,pretouch-static,10,8.797410,8.752189,9.075684,8.833541,0.091787,7.661782,7.619339,7.791247,7.672176,0.045573,13.482587,13.366194,13.807862,13.517338,0.141489,29.974858,29.807040,30.369781,30.023055,0.176230
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,16,fresh,10,14.358579,14.204091,18.180809,14.766071,1.209899,4.907808,4.678744,5.266849,4.915781,0.149202,7.903879,7.563744,8.406939,7.926467,0.239969,27.173154,26.711291,31.190507,27.608318,1.311311
