Image,Operation,Result_Hash
4000x3000.png,Grayscale,00925fa85224b60c
4000x3000.png,Flip_Horizontal,45d5313341f5868e
4000x3000.png,Adjust_Brightness,e488c03148da4f5b
4000x3000.png,Flip_Vertical,754d30e4e81eccfc
4000x3000.png,Quantize,f01ef010a3fd2f20
4000x3000.png,Adjust_Contrast,7cc9f4cee5c661bd
4000x3000.png,Negative,043d4193294f2dcc
4000x3000.png,Equalize_Histogram,243220feba4dd030
4000x3000.png,Zoom_In,71b80276839f9533
4000x3000.png,Zoom_Out,a91f518a4f2dbd10
4000x3000.png,Rotate_CW,e0f27e61a205ef0a
4000x3000.png,Rotate_CCW,b4512f3b73b7723c
4000x3000.png,Gaussian_3x3,bc1a93797b2afda7
4000x3000.png,Gaussian_5x5,d67ccd9b6dbb62d8
4000x3000.png,Gaussian_7x7,98f465f1820de349
4000x3000.png,Gaussian_9x9,8f9bd96ceab3a369
4000x3000.png,Gaussian_11x11,1e8adb9534bf99dc
6000x6000.png,Grayscale,937793859b387046
6000x6000.png,Flip_Horizontal,3dfbc0e2f0b456c2
6000x6000.png,Adjust_Brightness,5d4bea966648e7a7
6000x6000.png,Flip_Vertical,bd012cf684012198
6000x6000.png,Quantize,b2e8843413e8e7a6
6000x6000.png,Adjust_Contrast,c036bcbf5e6d6190
6000x6000.png,Negative,0a497e94a83bbbc0
6000x6000.png,Equalize_Histogram,5251e13888abb30f
6000x6000.png,Zoom_In,4e063cbe88523a0e
6000x6000.png,Zoom_Out,8eace74e8cd425e6
6000x6000.png,Rotate_CW,dd5c83f3b3cee726
6000x6000.png,Rotate_CCW,51196bd3ed2b4ba4
6000x6000.png,Gaussian_3x3,87566478e34b4f70
6000x6000.png,Gaussian_5x5,4b23a258f94a27f0
6000x6000.png,Gaussian_7x7,3771268fea0417e2
6000x6000.png,Gaussian_9x9,3f6b7f707a108bd5
6000x6000.png,Gaussian_11x11,c923a906c8989668
sky.jpg,Adaptive_Median,1e7ae9152e9643d5
stars.jpg,Adaptive_Median,626f977055f1c658
rain_paisage.jpg,Adaptive_Median,d0fdcd4b2e74abf3
firework.jpg,Adaptive_Median,cae2b8384ddb6aac
control_smooth_6000x6000.png,Adaptive_Median,596e3c6929662ab9
control_noise_6000x6000.png,Adaptive_Median,fcb58a627e9d9740
control_half_noise_6000x6000.png,Adaptive_Median,9d92a48896bfc25a
control_bands_256_6000x6000.png,Adaptive_Median,8f9bc97f03d5aae1
