Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	195684000000	173546500000	688206000000	3850005775	5974679235	5939678185	9310013965	6650009975	6440009660	43400065100	70000105	0	0	84490126735	12320018480	0	2450003675	200270300405	195230292845	175000262500	718481077720	711971067955	700001050	150287508490	112041861155	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0x1f7d8 in func@0x1f784]	8004000000	6773500000	3496000000	0	311509345	350010500	5460008190	1260001890	70000105	70000105	0	0	0	700001050	70000105	0	2590003885	4200006300	910001365	0	7490011235	4900007350	0	234507035	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0xe850 in _Z15flip_horizontalR10ImageState._omp_fn.0]	3553500000	2921000000	12339500000	0	119003570	91002730	70000105	0	0	140000210	0	0	0	1610002415	210000315	0	70000105	2870004305	3220004830	3290004935	13090019635	12670019005	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xe850 in _Z15flip_horizontalR10ImageState._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2265500000	1725000000	4358500000	0	52501575	73502205	700001050	350000525	0	350000525	140000210	0	0	280000420	0	0	140000210	1890002835	1400002100	840001260	5460008190	3850005775	0	679020370	395511865	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
clear_page_erms	609500000	540500000	23000000	0	14000420	45501365	1120001680	0	0	0	0	0	0	0	0	560000840	700001050	70000105	70000105	0	210000315	0	0	3500105	45501365	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x1dd60 in stbi__create_png_image_raw]	448500000	356500000	1265000000	0	17500525	0	0	0	0	0	0	0	0	140000210	70000105	0	0	420000630	420000630	420000630	1190001785	1190001785	0	514515435	168005040	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0x205c0 in stbi__parse_zlib]	437000000	368000000	322000000	0	14000420	7000210	70000105	140000210	70000105	140000210	0	0	0	140000210	0	0	0	210000315	280000420	140000210	1050001575	560000840	0	87502625	175005250	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
[Loop@0x1f620 in func@0x1f5fd]	425500000	356500000	138000000	0	7000210	7000210	210000315	0	70000105	0	0	0	0	140000210	0	0	70000105	210000315	0	0	210000315	210000315	0	14000420	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	230000000	195500000	690000000	0	0	3500105	0	560000840	70000105	0	0	0	0	0	0	0	0	0	0	70000105	350000525	490000735	0	73502205	17500525	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
[Loop@0xe840 in flip_horizontal._omp_fn.0]	138000000	80500000	425500000	0	7000210	10500315	70000105	0	0	140000210	0	0	0	0	0	0	140000210	140000210	70000105	280000420	420000630	560000840	0	73502205	0	0	0	0	0	flip_profile_runner	[Loop@0xe840 in flip_horizontal._omp_fn.0]	[Unknown]	0xe840
