Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	197121500000	174098500000	686791500000	2870004305	6090182700	6034181020	10220015330	6650009975	6090009135	42910064365	70000105	0	0	82390123585	9660014490	210000315	2100003150	201670302505	195580293370	175000262500	721911082865	711901067850	840001260	147452423440	109301278940	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0xe850 in _Z15flip_horizontalR10ImageState._omp_fn.0]	3461500000	3139500000	13029500000	0	94502835	112003360	70000105	0	0	140000210	0	0	0	840001260	350000525	0	0	2800004200	3010004515	4340006510	14630021945	12390018585	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xe850 in _Z15flip_horizontalR10ImageState._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2392000000	1702000000	4335500000	0	59501785	66501995	560000840	350000525	0	280000420	70000105	0	0	210000315	0	0	210000315	1610002415	1260001890	1120001680	5950008925	3500005250	0	693020790	472514175	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
func@0xe704	632500000	575000000	46000000	0	28000840	49001470	630000945	630000945	70000105	70000105	0	0	0	0	0	0	70000105	140000210	70000105	0	70000105	350000525	0	45501365	14000420	0	0	0	0	libgomp.so.1.0.0	func@0xe704	[Unknown]	0xe704
clear_page_erms	621000000	540500000	23000000	0	24500735	10500315	490000735	0	0	0	0	0	0	0	70000105	490000735	700001050	140000210	70000105	70000105	70000105	140000210	0	3500105	56001680	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x205c0 in stbi__parse_zlib]	425500000	368000000	437000000	0	14000420	0	210000315	140000210	0	350000525	70000105	0	0	210000315	0	0	0	420000630	280000420	0	770001155	560000840	0	101503045	140004200	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
GOMP_loop_maybe_nonmonotonic_runtime_next	368000000	333500000	207000000	70000105	14000420	10500315	350000525	280000420	140000210	140000210	0	0	0	140000210	0	0	70000105	70000105	70000105	70000105	350000525	980001470	0	31500945	0	0	0	0	0	libgomp.so.1.0.0	GOMP_loop_maybe_nonmonotonic_runtime_next	[Unknown]	0xffe0
[Loop@0x1dd60 in stbi__create_png_image_raw]	356500000	287500000	1288000000	0	7000210	10500315	0	0	0	0	0	0	0	210000315	0	0	0	560000840	490000735	420000630	1470002205	1470002205	0	528515855	178505355	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	230000000	207000000	690000000	0	17500525	31500945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52501575	77002310	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
[Loop@0x1f7d8 in func@0x1f784]	161000000	126500000	103500000	70000105	3500105	3500105	0	0	0	70000105	0	0	0	0	0	0	0	70000105	140000210	0	0	140000210	0	3500105	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
