Thread,Rows,Work_ms,Init_Mode,Control_ms
0,300,3.8417,serial,6.86379
1,300,3.97663,serial,6.86379
2,300,4.74518,serial,6.86379
3,300,4.75899,serial,6.86379
4,300,4.75934,serial,6.86379
5,300,4.72809,serial,6.86379
6,300,4.74864,serial,6.86379
7,300,4.7354,serial,6.86379
8,300,3.91738,serial,6.86379
9,300,4.74417,serial,6.86379
10,300,5.20997,serial,6.86379
11,300,5.2332,serial,6.86379
12,300,5.29404,serial,6.86379
13,300,4.12893,serial,6.86379
14,300,5.22071,serial,6.86379
15,300,5.27782,serial,6.86379
16,300,5.25277,serial,6.86379
17,300,5.24806,serial,6.86379
18,300,5.26679,serial,6.86379
19,300,5.27373,serial,6.86379
