Thread,Rows,Work_ms,Init_Mode,Control_ms
0,343,4.63603,serial,6.21872
1,311,4.73618,serial,6.21872
2,306,4.73825,serial,6.21872
3,311,4.74548,serial,6.21872
4,309,4.73767,serial,6.21872
5,309,4.73618,serial,6.21872
6,311,4.74024,serial,6.21872
7,309,4.74194,serial,6.21872
8,307,4.74304,serial,6.21872
9,307,4.73706,serial,6.21872
10,280,4.74114,serial,6.21872
11,281,4.72148,serial,6.21872
12,281,4.73541,serial,6.21872
13,285,4.74099,serial,6.21872
14,279,4.72794,serial,6.21872
15,284,4.73366,serial,6.21872
16,284,4.74174,serial,6.21872
17,341,4.71561,serial,6.21872
18,278,4.72098,serial,6.21872
19,284,4.74169,serial,6.21872
