Thread,Rows,Work_ms,Init_Mode,Control_ms
0,308,4.30484,parallel-runtime,4.33869
1,304,4.30553,parallel-runtime,4.33869
2,309,4.29818,parallel-runtime,4.33869
3,307,4.29902,parallel-runtime,4.33869
4,310,4.30183,parallel-runtime,4.33869
5,308,4.29871,parallel-runtime,4.33869
6,308,4.29986,parallel-runtime,4.33869
7,310,4.31077,parallel-runtime,4.33869
8,309,4.30438,parallel-runtime,4.33869
9,307,4.29867,parallel-runtime,4.33869
10,292,4.31182,parallel-runtime,4.33869
11,292,4.30978,parallel-runtime,4.33869
12,293,4.30497,parallel-runtime,4.33869
13,292,4.30829,parallel-runtime,4.33869
14,293,4.30609,parallel-runtime,4.33869
15,294,4.30662,parallel-runtime,4.33869
16,289,4.29844,parallel-runtime,4.33869
17,289,4.30582,parallel-runtime,4.33869
18,293,4.30164,parallel-runtime,4.33869
19,293,4.30929,parallel-runtime,4.33869
