Thread,Rows,Work_ms,Init_Mode,Control_ms
0,300,3.80657,parallel-static,3.82874
1,300,3.80745,parallel-static,3.82874
2,300,3.79722,parallel-static,3.82874
3,300,3.7971,parallel-static,3.82874
4,300,3.79911,parallel-static,3.82874
5,300,3.80761,parallel-static,3.82874
6,300,3.79827,parallel-static,3.82874
7,300,3.79736,parallel-static,3.82874
8,300,3.79712,parallel-static,3.82874
9,300,3.79873,parallel-static,3.82874
10,300,3.80677,parallel-static,3.82874
11,300,3.80704,parallel-static,3.82874
12,300,3.8067,parallel-static,3.82874
13,300,3.80592,parallel-static,3.82874
14,300,3.80683,parallel-static,3.82874
15,300,3.80652,parallel-static,3.82874
16,300,3.80603,parallel-static,3.82874
17,300,3.80677,parallel-static,3.82874
18,300,3.80693,parallel-static,3.82874
19,300,3.80692,parallel-static,3.82874
