Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	210335000000	186392000000	697544000000	6510009765	6489194670	6510195300	21840032760	18270027405	13720020580	42980064470	70000105	0	0	92050138075	18620027930	1610002415	2310003465	203420305130	197400296100	176470264705	725901088850	713651070475	560000840	144200825895	105580667325	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2208000000	1644500000	4163000000	0	49001470	45501365	350000525	420000630	0	350000525	0	0	0	280000420	0	0	140000210	1960002940	1400002100	1050001575	5740008610	3220004830	0	626518795	416512495	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
func@0xe704	1184500000	1184500000	126500000	140000210	35001050	31500945	1400002100	420000630	70000105	70000105	0	1750105	0	280000420	0	0	0	140000210	70000105	0	70000105	420000630	0	45501365	7000210	0	0	0	0	libgomp.so.1.0.0	func@0xe704	[Unknown]	0xe704
GOMP_loop_maybe_nonmonotonic_runtime_next	632500000	483000000	264500000	140000210	14000420	10500315	140000210	420000630	70000105	350000525	0	0	0	70000105	0	0	0	280000420	0	70000105	350000525	280000420	0	28000840	0	0	0	0	0	libgomp.so.1.0.0	GOMP_loop_maybe_nonmonotonic_runtime_next	[Unknown]	0xffe0
[Loop@0x1f620 in func@0x1f5fd]	621000000	287500000	138000000	0	14000420	14000420	210000315	280000420	0	0	0	0	0	0	0	0	70000105	0	0	0	420000630	210000315	0	10500315	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0x1f7d8 in func@0x1f784]	598000000	448500000	230000000	0	21000630	7000210	280000420	140000210	0	0	0	0	0	0	0	0	280000420	70000105	70000105	0	420000630	420000630	0	14000420	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0x205c0 in stbi__parse_zlib]	552000000	379500000	391000000	0	14000420	21000630	350000525	0	70000105	140000210	140000210	0	0	0	0	0	140000210	280000420	350000525	0	630000945	910001365	0	91002730	119003570	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
clear_page_erms	552000000	609500000	0	0	45501365	45501365	1260001890	0	70000105	0	0	0	0	70000105	0	280000420	490000735	70000105	140000210	70000105	140000210	70000105	0	0	49001470	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x1dd60 in stbi__create_png_image_raw]	402500000	322000000	1276500000	0	14000420	10500315	0	0	0	0	0	0	0	140000210	0	0	0	280000420	280000420	350000525	1330001995	1470002205	0	514515435	168005040	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	230000000	230000000	690000000	0	0	42001260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56001680	42001260	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
