Thread,Rows,Work_ms,Init_Mode,Control_ms
0,338,4.51188,parallel-static,4.54492
1,296,4.51111,parallel-static,4.54492
2,299,4.51477,parallel-static,4.54492
3,299,4.51651,parallel-static,4.54492
4,299,4.52068,parallel-static,4.54492
5,297,4.51449,parallel-static,4.54492
6,299,4.51655,parallel-static,4.54492
7,298,4.51029,parallel-static,4.54492
8,295,4.51614,parallel-static,4.54492
9,340,4.51187,parallel-static,4.54492
10,294,4.51291,parallel-static,4.54492
11,293,4.52043,parallel-static,4.54492
12,294,4.52128,parallel-static,4.54492
13,294,4.51902,parallel-static,4.54492
14,296,4.51782,parallel-static,4.54492
15,295,4.5193,parallel-static,4.54492
16,293,4.51383,parallel-static,4.54492
17,292,4.51285,parallel-static,4.54492
18,295,4.52125,parallel-static,4.54492
19,294,4.51976,parallel-static,4.54492
