Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	228827000000	202388500000	697107000000	19110028665	7105213150	6996709895	39200058800	36190054285	29610044415	43890065835	0	0	0	103950155925	39620059430	2100003150	2310003465	205520308280	198310297465	177800266700	726881090320	713091069635	700001050	142842785155	104870146010	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2277000000	1840000000	4163000000	0	56001680	63001890	490000735	420000630	70000105	350000525	70000105	0	0	420000630	0	0	70000105	2240003360	1400002100	980001470	5810008715	3640005460	0	672020160	479514385	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
func@0xe704	1265000000	1265000000	138000000	70000105	28000840	31500945	1540002310	1050001575	0	0	0	1750105	0	140000210	0	0	0	0	0	0	0	70000105	0	38501155	7000210	0	0	0	0	libgomp.so.1.0.0	func@0xe704	[Unknown]	0xe704
clear_page_erms	1092500000	1046500000	11500000	0	59501785	108503255	3220004830	0	0	0	0	0	0	0	0	350000525	560000840	70000105	0	0	140000210	70000105	0	7000210	38501155	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x1f7d8 in func@0x1f784]	690000000	529000000	322000000	70000105	14000420	38501155	210000315	70000105	70000105	0	0	0	0	0	0	0	210000315	140000210	210000315	0	280000420	420000630	0	35001050	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0x1dd60 in stbi__create_png_image_raw]	448500000	310500000	1288000000	0	7000210	10500315	0	0	0	0	0	0	0	140000210	0	0	0	420000630	490000735	490000735	1330001995	1400002100	0	497014910	136504095	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0x205c0 in stbi__parse_zlib]	425500000	276000000	391000000	0	21000630	10500315	210000315	0	0	140000210	70000105	0	0	420000630	0	0	70000105	70000105	210000315	70000105	840001260	630000945	0	87502625	133003990	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
GOMP_loop_maybe_nonmonotonic_runtime_next	333500000	287500000	276000000	70000105	0	17500525	490000735	140000210	140000210	140000210	0	0	0	280000420	0	0	0	0	0	0	840001260	210000315	70000105	17500525	0	0	0	0	0	libgomp.so.1.0.0	GOMP_loop_maybe_nonmonotonic_runtime_next	[Unknown]	0xffe0
[Loop@0x1f620 in func@0x1f5fd]	299000000	529000000	115000000	0	14000420	3500105	210000315	0	140000210	0	0	0	0	0	0	0	140000210	350000525	0	0	280000420	210000315	0	10500315	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
__memcpy_avx_unaligned_erms	253000000	69000000	0	0	0	7000210	770001155	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	3500105	14000420	0	0	0	0	libc.so.6	__memcpy_avx_unaligned_erms	[Unknown]	0x152a80
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	241500000	218500000	667000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
update_curr	230000000	92000000	0	140000210	3500105	3500105	210000315	0	280000420	0	0	0	0	0	0	0	0	0	0	0	210000315	0	0	7000210	0	0	0	0	0	vmlinux	update_curr	[Unknown]	0xffffffff844ec230
update_load_avg	126500000	115000000	34500000	0	3500105	7000210	70000105	210000315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	update_load_avg	[Unknown]	0xffffffff844e8870
[Loop@0x1fc30 in func@0x1fbf4]	80500000	34500000	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500105	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1fc30 in func@0x1fbf4]	[Unknown]	0x1fc30
[Loop@0xe840 in flip_horizontal._omp_fn.0]	80500000	34500000	57500000	0	0	3500105	70000105	70000105	0	0	0	0	0	0	0	0	0	0	0	70000105	70000105	140000210	0	7000210	0	0	0	0	0	flip_profile_runner	[Loop@0xe840 in flip_horizontal._omp_fn.0]	[Unknown]	0xe840
[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	69000000	69000000	11500000	70000105	0	3500105	70000105	70000105	0	0	0	0	0	70000105	0	70000105	0	70000105	0	0	0	0	0	10500315	10500315	0	0	0	0	libc.so.6	[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	[Unknown]	0x152f85
[Loop@0x1ab20 in stbi__convert_format]	69000000	0	46000000	70000105	0	3500105	70000105	70000105	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500105	3500105	0	0	0	0	flip_profile_runner	[Loop@0x1ab20 in stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)]	[Unknown]	0x1ab20
[Loop@0x1fb28 in stbi__compute_huffman_codes]	69000000	0	46000000	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	70000105	0	70000105	70000105	0	10500315	3500105	0	0	0	0	flip_profile_runner	[Loop@0x1fb28 in stbi__compute_huffman_codes(stbi__zbuf*)]	[Unknown]	0x1fb28
func@0x1e7c4	69000000	46000000	0	0	3500105	0	0	0	70000105	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libgomp.so.1.0.0	func@0x1e7c4	[Unknown]	0x1e7c4
update_cfs_group	69000000	0	23000000	0	0	0	70000105	0	0	0	0	0	0	70000105	0	0	0	70000105	0	0	70000105	70000105	0	3500105	0	0	0	0	0	vmlinux	update_cfs_group	[Unknown]	0xffffffff844ec590
[Loop@0xe800 in flip_horizontal._omp_fn.0]	57500000	57500000	34500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66501995	0	0	0	0	flip_profile_runner	[Loop@0xe800 in flip_horizontal._omp_fn.0]	[Unknown]	0xe800
[Loop@0x1524a0 in __memcmp_avx2_movbe]	46000000	34500000	11500000	0	0	0	0	0	0	0	0	0	0	70000105	140000210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libc.so.6	[Loop@0x1524a0 in __memcmp_avx2_movbe]	[Unknown]	0x1524a0
task_tick_fair	46000000	34500000	0	70000105	3500105	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	3500105	3500105	0	0	0	0	vmlinux	task_tick_fair	[Unknown]	0xffffffff844ec9b0
__update_load_avg_se	34500000	11500000	11500000	0	0	0	0	70000105	0	70000105	0	0	0	70000105	0	0	0	0	0	0	0	140000210	0	3500105	7000210	0	0	0	0	vmlinux	__update_load_avg_se	[Unknown]	0xffffffff844fe1b0
get_page_from_freelist	34500000	11500000	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	get_page_from_freelist	[Unknown]	0xffffffff846f3f80
hrtimer_active	34500000	23000000	0	70000105	3500105	3500105	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	hrtimer_active	[Unknown]	0xffffffff84554750
scheduler_tick	34500000	23000000	0	0	0	0	0	70000105	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	scheduler_tick	[Unknown]	0xffffffff844e2c80
[Loop@0x11848 in stbi__zbuild_huffman]	23000000	23000000	115000000	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	70000105	70000105	70000105	0	14000420	7000210	0	0	0	0	flip_profile_runner	[Loop@0x11848 in stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)]	[Unknown]	0x11848
