Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x31158 in gaussian_11_aos._omp_fn.0]	207770500000	183574500000	468165000000	70000105	6401692045	6464693935	770001155	0	0	840001260	70000105	0	0	28630042945	210000315	0	0	221760332640	200130300195	129500194250	606900910350	604870907305	0	144662839755	28000840	0	0	0	0	layout_benchmark	[Loop@0x31158 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x31158
[Loop@0xbdf0 in apply_11_by_11_convolution._omp_fn.0]	26139500000	23506000000	60444000000	0	798023940	857525725	0	0	0	2520003780	0	0	0	3080004620	0	0	0	25900038850	23450035175	15120022680	73360110040	73080109620	0	15960478800	38501155	0	0	0	0	layout_benchmark	[Loop@0xbdf0 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0xbdf0
[Loop@0x315f8 in gaussian_11_planar._omp_fn.0]	26047500000	23230000000	59064000000	0	808524255	812024360	70000105	70000105	70000105	140000210	0	1750105	0	1610002415	210000315	0	0	28350042525	24990037485	16240024360	77070115605	75950113925	0	17875036235	70002100	0	0	0	0	layout_benchmark	[Loop@0x315f8 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x315f8
roundf	6382500000	5474000000	12615500000	0	185505565	171505145	0	0	0	140000210	0	0	0	980001470	0	0	0	7070010605	6300009450	3710005565	20090030135	20720031080	0	3048591455	56001680	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x31137 in gaussian_11_aos._omp_fn.0]	4439000000	3841000000	12834000000	0	175005250	129503885	70000105	70000105	0	70000105	0	0	0	560000840	0	0	0	5670008505	3920005880	2380003570	13160019740	13370020055	0	1032530975	2205066150	0	0	0	0	layout_benchmark	[Loop@0x31137 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x31137
[Loop@0x152d0 in stbi__parse_zlib]	2185000000	1725000000	4232000000	0	70002100	66501995	560000840	420000630	70000105	420000630	70000105	0	0	560000840	70000105	0	280000420	1750002625	1330001995	1050001575	4620006930	3360005040	0	637019110	441013230	0	0	0	0	layout_benchmark	[Loop@0x152d0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x152d0
[Loop@0x31158 in _Z15gaussian_11_aosPKhPhii._omp_fn.0]	1955000000	1840000000	3392500000	0	84002520	70002100	0	0	0	0	0	0	0	280000420	70000105	0	0	2240003360	2100003150	770001155	5950008925	5880008820	0	0	0	0	0	0	0	layout_benchmark	[Loop@0x31158 in _Z15gaussian_11_aosPKhPhii._omp_fn.0]	[Unknown]	0x31158
[Loop@0x35870 in _Z10hash_imageB5cxx11RK10ImageState]	1771000000	1345500000	2564500000	0	52501575	45501365	770001155	700001050	70000105	70000105	0	0	0	770001155	70000105	0	0	1400002100	770001155	420000630	3010004515	2730004095	0	493514805	0	0	0	0	0	layout_benchmark	[Loop@0x35870 in _Z10hash_imageB5cxx11RK10ImageState]	[Unknown]	0x35870
[Loop@0xbcf0 in apply_11_by_11_convolution._omp_fn.0]	1426000000	1000500000	4013500000	0	45501365	52501575	0	0	0	70000105	0	0	0	210000315	0	0	0	1540002310	1190001785	1120001680	3570005355	3990005985	0	927527825	546016380	0	0	0	0	layout_benchmark	[Loop@0xbcf0 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0xbcf0
[Loop@0x30d08 in gaussian_11_vertical_pass._omp_fn.0]	1265000000	1058000000	3450000000	0	59501785	45501365	140000210	0	0	700001050	0	0	0	210000315	0	0	0	980001470	1190001785	770001155	3430005145	3780005670	0	1316039480	136504095	0	0	0	0	layout_benchmark	[Loop@0x30d08 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x30d08
