Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x315f8 in gaussian_11_planar._omp_fn.0]	104454500000	93000500000	234715000000	0	3241097230	3220096600	630000945	0	0	490000735	0	1750105	0	8330012495	420000630	0	0	111720167580	101290151935	64820097230	303170454755	304010456015	0	70425612705	287008610	0	0	0	0	layout_benchmark	[Loop@0x315f8 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x315f8
[Loop@0xbdf0 in apply_11_by_11_convolution._omp_fn.0]	26358000000	23184000000	60582000000	0	780523415	889026670	0	0	0	2520003780	0	0	0	3780005670	70000105	0	0	26250039375	23030034545	15400023100	71540107310	72030108045	0	15785473550	24500735	0	0	0	0	layout_benchmark	[Loop@0xbdf0 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0xbdf0
[Loop@0x31158 in gaussian_11_aos._omp_fn.0]	26197000000	23103500000	58995000000	0	780523415	808524255	70000105	0	0	70000105	0	0	0	4620006930	70000105	0	0	29610044415	26810040215	16730025095	76300114450	76090114135	0	17658029725	10500315	0	0	0	0	layout_benchmark	[Loop@0x31158 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x31158
roundf	4324000000	3358000000	8038500000	0	143504305	115503465	0	0	0	0	0	0	0	420000630	0	0	0	5180007770	3500005250	1750002625	11480017220	12950019425	0	2058061740	21000630	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x315b7 in gaussian_11_planar._omp_fn.0]	2564500000	2334500000	7751000000	0	87502625	101503045	70000105	0	0	70000105	0	0	0	210000315	0	0	0	2380003570	2170003255	1610002415	10360015540	6090009135	0	1400042000	1169035070	0	0	0	0	layout_benchmark	[Loop@0x315b7 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x315b7
[Loop@0x152d0 in stbi__parse_zlib]	2196500000	1702000000	4174500000	0	77002310	66501995	560000840	350000525	0	560000840	70000105	0	0	490000735	0	0	70000105	1890002835	1610002415	1190001785	5460008190	4060006090	0	672020160	444513335	0	0	0	0	layout_benchmark	[Loop@0x152d0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x152d0
[Loop@0x35870 in _Z10hash_imageB5cxx11RK10ImageState]	1748000000	1345500000	2576000000	70000105	59501785	59501785	700001050	770001155	210000315	0	0	0	0	490000735	0	0	0	1050001575	630000945	210000315	1750002625	1820002730	0	444513335	0	0	0	0	0	layout_benchmark	[Loop@0x35870 in _Z10hash_imageB5cxx11RK10ImageState]	[Unknown]	0x35870
[Loop@0x30d08 in gaussian_11_vertical_pass._omp_fn.0]	1276500000	1023500000	3450000000	0	38501155	35001050	0	0	0	490000735	0	0	0	350000525	0	0	0	1330001995	1120001680	1260001890	4480006720	4410006615	0	1386041580	119003570	0	0	0	0	layout_benchmark	[Loop@0x30d08 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x30d08
[Loop@0xbcf0 in apply_11_by_11_convolution._omp_fn.0]	1242000000	1322500000	3921500000	0	73502205	42001260	0	0	0	0	0	0	0	210000315	0	0	0	1260001890	1400002100	980001470	5110007665	4690007035	0	850525515	546016380	0	0	0	0	layout_benchmark	[Loop@0xbcf0 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0xbcf0
clear_page_erms	1242000000	931500000	23000000	0	21000630	35001050	980001470	0	0	0	0	0	0	0	0	560000840	840001260	140000210	70000105	70000105	0	280000420	0	3500105	91002730	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x30b00 in gaussian_11_horizontal_pass._omp_fn.0]	908500000	908500000	3381000000	0	17500525	42001260	0	0	0	280000420	0	0	0	350000525	0	0	0	1050001575	910001365	630000945	3640005460	3290004935	0	1522545675	133003990	0	0	0	0	layout_benchmark	[Loop@0x30b00 in gaussian_11_horizontal_pass._omp_fn.0]	[Unknown]	0x30b00
[Loop@0x1f7d8 in func@0x1f784]	862500000	897000000	322000000	0	14000420	14000420	350000525	70000105	0	0	0	0	0	210000315	0	0	70000105	420000630	0	0	910001365	980001470	0	45501365	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0x32020 in compare_images]	770500000	575000000	2898000000	0	17500525	17500525	70000105	70000105	0	280000420	0	0	0	420000630	140000210	0	0	770001155	700001050	490000735	2310003465	2310003465	0	353510605	0	0	0	0	0	layout_benchmark	[Loop@0x32020 in compare_images(ImageState const&, ImageState const&)]	[Unknown]	0x32020
