Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x30d08 in gaussian_11_vertical_pass._omp_fn.0]	123935500000	109813500000	344551500000	910001365	3804614135	3773113190	3010004515	2240003360	2240003360	69720104580	0	1750105	0	50610075915	6370009555	0	420000630	130200195300	126420189630	111580167370	438760658140	435750653625	70000105	136413092270	11445343350	0	0	0	0	layout_benchmark	[Loop@0x30d08 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x30d08
[Loop@0x30b00 in gaussian_11_horizontal_pass._omp_fn.0]	92241500000	81052000000	334489000000	420000630	2887586625	2863085890	5390008085	1120001680	910001365	24710037065	0	0	0	26180039270	980001470	1680002520	3710005565	91910137865	91280136920	79450119175	345590518385	345660518490	70000105	124141724140	11462843875	0	0	0	0	layout_benchmark	[Loop@0x30b00 in gaussian_11_horizontal_pass._omp_fn.0]	[Unknown]	0x30b00
[Loop@0x315f8 in gaussian_11_planar._omp_fn.0]	26484500000	23080500000	58857000000	0	805024150	819024570	210000315	0	0	0	0	0	0	1540002310	140000210	0	0	27300040950	24570036855	15120022680	73570110355	76230114345	0	18564556920	45501365	0	0	0	0	layout_benchmark	[Loop@0x315f8 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x315f8
[Loop@0x31158 in gaussian_11_aos._omp_fn.0]	26450000000	22965500000	59029500000	0	801524045	780523415	0	0	0	70000105	0	0	0	4480006720	210000315	0	0	31500047250	27090040635	16940025410	77490116235	75810113715	0	17885536550	3500105	0	0	0	0	layout_benchmark	[Loop@0x31158 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x31158
[Loop@0xbdf0 in apply_11_by_11_convolution._omp_fn.0]	26208500000	23264500000	60053000000	0	812024360	875026250	0	0	0	2730004095	0	0	0	2940004410	0	0	0	26180039270	23450035175	15820023730	73640110460	73640110460	0	16142484260	31500945	0	0	0	0	layout_benchmark	[Loop@0xbdf0 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0xbdf0
[Loop@0x1f7d8 in func@0x1f784]	15260500000	14007000000	7199000000	0	497014910	493514805	10220015330	2030003045	210000315	140000210	0	0	0	1260001890	0	0	5740008610	9030013545	2940004410	70000105	15890023835	13580020370	0	679020370	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0x152d0 in stbi__parse_zlib]	2231000000	1713500000	4232000000	0	63001890	52501575	490000735	420000630	0	490000735	140000210	0	0	420000630	0	0	140000210	1470002205	1190001785	840001260	5320007980	3850005775	0	640519215	448013440	0	0	0	0	layout_benchmark	[Loop@0x152d0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x152d0
roundf	1886000000	2139000000	4128500000	0	52501575	70002100	0	0	0	0	0	0	0	210000315	0	0	0	1960002940	2240003360	1470002205	7700011550	7490011235	0	1193535805	7000210	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x35870 in _Z10hash_imageB5cxx11RK10ImageState]	1782500000	1357000000	2564500000	140000210	45501365	45501365	490000735	700001050	0	0	0	0	0	700001050	70000105	0	70000105	1330001995	700001050	280000420	1890002835	2030003045	0	441013230	0	0	0	0	0	layout_benchmark	[Loop@0x35870 in _Z10hash_imageB5cxx11RK10ImageState]	[Unknown]	0x35870
[Loop@0xbcf0 in apply_11_by_11_convolution._omp_fn.0]	1495000000	1196000000	4174500000	0	42001260	31500945	0	0	0	0	0	0	0	70000105	0	0	0	1610002415	1330001995	840001260	4200006300	3850005775	0	885526565	574017220	0	0	0	0	layout_benchmark	[Loop@0xbcf0 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0xbcf0
