Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x45b38 in gaussian_11_aos._omp_fn.0]	209702500000	184874000000	470212000000	0	6531195930	6454193620	630000945	70000105	0	1260001890	0	0	0	26460039690	630000945	0	70000105	225400338100	203770305655	130410195615	615090922635	614040921060	70000105	145058351620	49001470	0	0	0	0	layout_benchmark	[Loop@0x45b38 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x45b38
[Loop@0x46013 in gaussian_11_planar._omp_fn.0]	48150500000	42297000000	84686000000	70000105	1477044310	1452543575	10150015225	6370009555	1050001575	19390029085	0	0	0	14770022155	4480006720	0	1400002100	43820065730	29960044940	19600029400	94150141225	91910137865	70000105	20654119605	7119213570	0	0	0	0	layout_benchmark	[Loop@0x46013 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x46013
[Loop@0x12800 in apply_11_by_11_convolution._omp_fn.0]	26082000000	23230000000	60053000000	0	794523835	850525515	70000105	0	0	2030003045	0	0	0	4480006720	140000210	0	0	26320039480	23450035175	15330022995	75040112560	74130111195	0	16397991925	24500735	0	0	0	0	layout_benchmark	[Loop@0x12800 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0x12800
[Loop@0x48d10 in gaussian_11_planar._omp_fn.0]	6934500000	6210000000	16985500000	0	241507245	203006090	280000420	0	0	70000105	0	0	0	1750002625	630000945	0	0	4970007455	6720010080	4060006090	20230030345	21840032760	0	6132183960	224006720	0	0	0	0	layout_benchmark	[Loop@0x48d10 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x48d10
roundf	6095000000	5681000000	13121500000	0	147004410	185505565	70000105	0	0	70000105	0	0	0	1050001575	210000315	0	0	6230009345	6510009765	4270006405	18830028245	19810029715	0	2586577595	147004410	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x45b17 in gaussian_11_aos._omp_fn.0]	4703500000	4542500000	14432500000	0	129503885	143504305	140000210	0	0	0	0	0	0	700001050	0	0	0	5530008295	4200006300	2800004200	14070021105	13440020160	0	1267038010	2317069510	0	0	0	0	layout_benchmark	[Loop@0x45b17 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x45b17
[Loop@0x21c68 in stbi__parse_zlib]	2231000000	1794000000	4128500000	0	59501785	52501575	420000630	210000315	70000105	210000315	70000105	0	0	560000840	0	0	70000105	2030003045	1470002205	1120001680	5670008505	3500005250	0	672020160	437513125	0	0	0	0	layout_benchmark	[Loop@0x21c68 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x21c68
[Loop@0x4d058 in _Z10hash_imageB5cxx11RK10ImageState]	1782500000	1345500000	2599000000	0	42001260	42001260	630000945	700001050	70000105	140000210	0	0	0	700001050	0	0	0	1330001995	840001260	420000630	2450003675	2380003570	0	476014280	0	0	0	0	0	layout_benchmark	[Loop@0x4d058 in _Z10hash_imageB5cxx11RK10ImageState]	[Unknown]	0x4d058
[Loop@0x12710 in apply_11_by_11_convolution._omp_fn.0]	1587000000	1345500000	4048000000	0	63001890	52501575	0	0	0	70000105	0	0	0	70000105	0	0	0	1330001995	1120001680	980001470	3850005775	3430005145	0	787523625	514515435	0	0	0	0	layout_benchmark	[Loop@0x12710 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0x12710
[Loop@0x1f7d8 in func@0x1f784]	1092500000	989000000	747500000	0	24500735	17500525	490000735	0	0	0	0	0	0	210000315	0	0	140000210	560000840	70000105	0	1190001785	1050001575	0	73502205	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
