Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x46013 in gaussian_11_planar._omp_fn.0]	191682000000	169452500000	337111000000	140000210	6020180600	5897676925	39620059430	23380035070	1610002415	76720115080	0	10500630	0	41020061530	8750013125	560000840	4900007350	165620248430	118370177555	79380119070	373660560490	363300544950	0	83547506350	28676360265	0	0	0	0	layout_benchmark	[Loop@0x46013 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x46013
[Loop@0x12800 in apply_11_by_11_convolution._omp_fn.0]	26392500000	23149500000	60478500000	0	808524255	826024780	0	0	0	2310003465	0	0	0	5180007770	70000105	0	0	26740040110	24220036330	15470023205	72730109095	74480111720	0	16170485100	28000840	0	0	0	0	layout_benchmark	[Loop@0x12800 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0x12800
[Loop@0x48d10 in gaussian_11_planar._omp_fn.0]	26197000000	23333500000	70253500000	0	791023730	826024780	1400002100	980001470	70000105	140000210	0	5250315	0	5740008610	910001365	0	0	25690038535	25200037800	14420021630	77490116235	89950134925	0	24007220195	875026250	0	0	0	0	layout_benchmark	[Loop@0x48d10 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x48d10
[Loop@0x45b38 in gaussian_11_aos._omp_fn.0]	26139500000	23092000000	58937500000	0	791023730	784023520	140000210	0	0	70000105	0	1750105	0	3500005250	70000105	0	0	31080046620	27370041055	17010025515	78050117075	75950113925	0	17577527310	14000420	0	0	0	0	layout_benchmark	[Loop@0x45b38 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x45b38
roundf	3461500000	3070500000	8751500000	0	98002940	133003990	0	0	0	70000105	0	0	0	910001365	140000210	0	0	3640005460	2870004305	2170003255	11760017640	9310013965	0	1106033180	14000420	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x21c68 in stbi__parse_zlib]	2231000000	1667500000	4140000000	0	66501995	63001890	560000840	350000525	70000105	280000420	140000210	0	0	210000315	0	0	280000420	2100003150	1540002310	980001470	6090009135	3990005985	0	707021210	455013650	0	0	0	0	layout_benchmark	[Loop@0x21c68 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x21c68
[Loop@0x4d058 in _Z10hash_imageB5cxx11RK10ImageState]	1759500000	1368500000	2587500000	0	42001260	42001260	700001050	630000945	70000105	70000105	0	0	0	630000945	0	0	0	1400002100	910001365	420000630	2380003570	2240003360	0	413012390	0	0	0	0	0	layout_benchmark	[Loop@0x4d058 in _Z10hash_imageB5cxx11RK10ImageState]	[Unknown]	0x4d058
[Loop@0x12710 in apply_11_by_11_convolution._omp_fn.0]	1472000000	1610000000	3358000000	0	35001050	63001890	0	0	0	210000315	0	0	0	420000630	0	0	0	1400002100	1330001995	1190001785	5460008190	3990005985	0	780523415	518015540	0	0	0	0	layout_benchmark	[Loop@0x12710 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0x12710
clear_page_erms	1092500000	770500000	11500000	0	21000630	24500735	1190001785	0	140000210	0	0	0	0	140000210	70000105	700001050	770001155	350000525	210000315	70000105	0	70000105	0	0	77002310	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x497e0 in compare_images]	805000000	609500000	3013000000	0	14000420	14000420	0	70000105	0	210000315	0	0	0	210000315	140000210	0	0	630000945	630000945	560000840	3290004935	3850005775	0	693020790	0	0	0	0	0	layout_benchmark	[Loop@0x497e0 in compare_images(ImageState const&, ImageState const&)]	[Unknown]	0x497e0
