Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x43cc8 in gaussian_11_horizontal_pass._omp_fn.0]	73335500000	64963500000	80477000000	630000945	2289068670	2201566045	34860052290	5250007875	3150004725	910001365	0	1750105	0	20510030765	2170003255	21210031815	28420042630	43050064575	34090051135	14910022365	89880134820	90090135135	0	12243367290	5124153720	0	0	0	0	layout_benchmark	[Loop@0x43cc8 in gaussian_11_horizontal_pass._omp_fn.0]	[Unknown]	0x43cc8
[Loop@0x44ac0 in gaussian_11_vertical_pass._omp_fn.0]	67758000000	59892000000	79373000000	22470033705	2149064470	2019560585	32830049245	33670050505	29330043995	1960002940	0	388523310	54253255	36470054705	20790031185	0	420000630	39200058800	30800046200	18130027195	93450140175	92330138495	0	23062191845	371011130	21000630	3500105	0	0	layout_benchmark	[Loop@0x44ac0 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x44ac0
[Loop@0x46013 in gaussian_11_planar._omp_fn.0]	48461000000	42964000000	84950500000	0	1442043260	1494544835	10080015120	5110007665	210000315	19180028770	0	0	0	12040018060	3290004935	0	840001260	42490063735	31080046620	19530029295	93240139860	92890139335	0	20598117925	7038711155	0	0	0	0	layout_benchmark	[Loop@0x46013 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x46013
[Loop@0x45b38 in gaussian_11_aos._omp_fn.0]	26496000000	23483000000	58650000000	0	794523835	773523205	70000105	0	0	70000105	0	0	0	2100003150	0	0	0	27580041370	25970038955	16590024885	77560116340	77140115710	0	17864535920	10500315	0	0	0	0	layout_benchmark	[Loop@0x45b38 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x45b38
[Loop@0x12800 in apply_11_by_11_convolution._omp_fn.0]	26220000000	23368000000	59696500000	0	815524465	892526775	0	0	0	630000945	0	0	0	2310003465	70000105	0	0	26880040320	24220036330	15750023625	73080109620	72240108360	0	15256957695	28000840	0	0	0	0	layout_benchmark	[Loop@0x12800 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0x12800
[Loop@0x1f7d8 in func@0x1f784]	22218000000	19745500000	10488000000	0	658019740	777023310	14630021945	3360005040	350000525	490000735	0	0	0	1330001995	70000105	0	8890013335	10710016065	2240003360	0	20650030975	21560032340	0	1333540005	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0x48d10 in gaussian_11_planar._omp_fn.0]	6221500000	5405000000	16755500000	0	231006930	199505985	210000315	210000315	0	0	0	1750105	0	1890002835	420000630	0	0	6860010290	6230009345	4130006195	21490032235	21840032760	0	5848675455	175005250	0	0	0	0	layout_benchmark	[Loop@0x48d10 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x48d10
[Loop@0x21c68 in stbi__parse_zlib]	2369000000	1828500000	4128500000	0	42001260	52501575	770001155	350000525	70000105	420000630	70000105	0	0	420000630	0	0	210000315	1820002730	1540002310	910001365	5110007665	4060006090	0	647519425	413012390	0	0	0	0	layout_benchmark	[Loop@0x21c68 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x21c68
roundf	1805500000	1529500000	4669000000	0	49001470	52501575	0	0	0	0	0	0	0	140000210	140000210	0	0	2030003045	1120001680	840001260	5670008505	4200006300	0	728021840	0	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x4d058 in _Z10hash_imageB5cxx11RK10ImageState]	1759500000	1345500000	2564500000	70000105	56001680	56001680	770001155	770001155	140000210	70000105	0	0	0	560000840	0	0	0	1050001575	560000840	280000420	2170003255	2240003360	0	462013860	0	0	0	0	0	layout_benchmark	[Loop@0x4d058 in _Z10hash_imageB5cxx11RK10ImageState]	[Unknown]	0x4d058
[Loop@0x12710 in apply_11_by_11_convolution._omp_fn.0]	1460500000	1184500000	3979000000	0	52501575	31500945	0	0	0	0	0	0	0	280000420	0	0	0	1610002415	630000945	490000735	3710005565	4200006300	0	735022050	469014070	0	0	0	0	layout_benchmark	[Loop@0x12710 in apply_11_by_11_convolution._omp_fn.0]	[Unknown]	0x12710
