Image,Operation,Width,Height,Layout,Phase,Threads,Schedule,Chunk,Simd_Build,OMP_Places,OMP_Proc_Bind,Hostname,Compiler,Build_Flags,Samples,Median_ms,Min_ms,Max_ms,Mean_ms,StdDev_ms
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3062.561071,3059.688687,3080.365765,3066.799939,8.510035
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,3063.725969,3059.364414,3064.778543,3062.527101,2.623588
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,295.766346,295.467010,296.002925,295.736427,0.215504
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,295.732699,295.571558,296.227539,295.788368,0.265843
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,222.155605,222.110238,222.956136,222.371656,0.362101
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,222.920115,222.090343,223.668825,222.749331,0.668347
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,1533.200180,1531.492592,1559.443542,1538.027760,12.013025
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,1533.359394,1530.932093,1562.057568,1538.560594,13.182637
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,179.002364,178.949566,185.168377,180.233419,2.759202
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,178.808367,178.778876,179.025273,178.852899,0.100916
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,774.217518,769.423628,793.690031,776.727488,9.706221
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,769.437527,766.283366,774.017976,770.219117,3.077262
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,8,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,427.136879,426.435132,461.206165,434.165294,15.172557
4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,8,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,434.852659,427.813332,455.379794,437.525007,10.694413
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,23.573035,23.200491,24.761131,23.901300,0.657666
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,24.594002,23.777338,24.723707,24.319399,0.475328
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.555350,2.449953,2.961814,2.603860,0.210262
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,2.482802,2.451543,2.492038,2.475237,0.016770
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.006230,1.906602,2.154064,1.996780,0.101208
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,1.930864,1.895667,2.030404,1.952140,0.056864
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,11.838164,11.807800,12.423003,12.041564,0.300891
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,11.833361,11.820788,12.028478,11.870822,0.088371
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,1.743357,1.633825,1.826996,1.736545,0.071764
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,1.757045,1.681929,1.816126,1.752034,0.048303
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,6.504114,6.107969,7.153631,6.564434,0.475934
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,6.340320,6.199546,6.697009,6.385185,0.189072
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,8,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3.532824,3.507748,3.677404,3.569539,0.071982
4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,8,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,3.574805,3.445235,3.665285,3.555714,0.087517
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3120.784494,3115.261209,3135.295359,3121.843254,8.068035
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,6232.616898,6230.927688,6244.895023,6235.100927,5.618296
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,301.087969,300.879627,320.778343,304.980381,8.832222
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,602.534408,600.191560,629.932513,608.817135,12.575437
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,225.822435,225.726340,248.331950,230.759059,9.874972
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,450.295099,449.955691,452.688278,450.741623,1.115105
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,1564.310257,1559.820020,1572.097725,1565.297912,4.476844
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,3124.207739,3119.420137,3127.287080,3123.828306,3.539568
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,182.005885,181.662567,199.269619,185.360894,7.777275
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,361.811804,361.478028,363.110531,362.030257,0.655067
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,787.838952,785.512852,798.560888,789.501541,5.203899
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,1574.493286,1565.164231,1584.904588,1574.722073,6.990861
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,8,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,439.518826,434.386194,460.858841,443.536020,11.076863
4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,8,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,872.566334,870.787582,875.200123,872.899947,1.652299
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3072.462309,3067.306565,3085.355315,3073.051326,7.319604
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,6183.122086,6182.363934,6195.127678,6185.836867,5.345163
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,295.562439,295.378215,315.430682,299.576175,8.866125
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,597.042692,594.682184,624.485519,603.426708,12.559106
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,221.596534,221.282200,243.770164,226.330334,9.788741
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,445.756541,445.556589,448.361648,446.264129,1.179402
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,1539.821733,1535.177772,1547.751989,1540.590110,4.609757
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,3099.854379,3094.727616,3102.921946,3099.271410,3.591506
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,177.811346,177.570152,195.018036,181.188371,7.731895
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,357.579656,357.490225,359.231156,357.913999,0.743190
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,774.771858,772.036177,786.238627,776.485223,5.620443
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,1561.707264,1551.964740,1571.949029,1561.785806,7.078052
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,8,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,432.116632,426.922307,453.359627,436.069195,11.008148
4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,8,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,865.105406,863.072052,867.540204,865.386314,1.684892
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,24.749150,24.693656,25.519626,24.890628,0.352426
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,25.014715,24.730025,25.101032,24.944661,0.174585
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.850008,2.642267,2.897708,2.800345,0.104532
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,2.964192,2.742798,3.040173,2.915191,0.133906
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.407722,2.277714,2.618944,2.431945,0.143935
