Image,Operation,Result_Hash
6000x6000.png,Grayscale,937793859b387046
6000x6000.png,Flip_Horizontal,3dfbc0e2f0b456c2
6000x6000.png,Adjust_Brightness,5d4bea966648e7a7
6000x6000.png,Flip_Vertical,bd012cf684012198
6000x6000.png,Quantize,b2e8843413e8e7a6
6000x6000.png,Adjust_Contrast,c036bcbf5e6d6190
6000x6000.png,Negative,0a497e94a83bbbc0
6000x6000.png,Equalize_Histogram,5251e13888abb30f
6000x6000.png,Zoom_In,4e063cbe88523a0e
6000x6000.png,Zoom_Out,8eace74e8cd425e6
6000x6000.png,Rotate_CW,dd5c83f3b3cee726
6000x6000.png,Rotate_CCW,51196bd3ed2b4ba4
6000x6000.png,Gaussian_3x3,87566478e34b4f70
6000x6000.png,Gaussian_5x5,4b23a258f94a27f0
6000x6000.png,Gaussian_7x7,3771268fea0417e2
6000x6000.png,Gaussian_9x9,3f6b7f707a108bd5
6000x6000.png,Gaussian_11x11,c923a906c8989668
