Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Samples,Median_ms,Min_ms,Max_ms,Scalar_to_Auto,Auto_to_Omp,Original_to_Variant,All_Exact,Max_Abs_Error
4000x3000.png,Adjust_Brightness,linear_bytes,kernel,4000,3000,1,static,auto-avx2,10,4.800985,4.437903,4.853767,6.206273,,,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,kernel,4000,3000,1,static,off-avx2,10,29.796219,29.686769,30.125130,,,,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,kernel,4000,3000,1,static,omp-avx2,10,4.812574,4.724141,5.133522,,0.997592,,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,kernel,4000,3000,20,static,auto-avx2,10,1.207523,1.165706,1.233209,1.817590,,,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,kernel,4000,3000,20,static,off-avx2,10,2.194781,1.989656,3.568626,,,,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,kernel,4000,3000,20,static,omp-avx2,10,1.211912,1.192790,1.454645,,0.996378,,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,total,4000,3000,1,static,auto-avx2,10,4.800985,4.437903,4.853767,6.206273,,12.274714,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,total,4000,3000,1,static,off-avx2,10,29.796219,29.686769,30.125130,,,1.976396,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,total,4000,3000,1,static,omp-avx2,10,4.812574,4.724141,5.133522,,0.997592,12.338263,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,total,4000,3000,20,static,auto-avx2,10,1.207523,1.165706,1.233209,1.817590,,3.879915,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,total,4000,3000,20,static,off-avx2,10,2.194781,1.989656,3.568626,,,2.117776,yes,0
4000x3000.png,Adjust_Brightness,linear_bytes,total,4000,3000,20,static,omp-avx2,10,1.211912,1.192790,1.454645,,0.996378,3.860325,yes,0
4000x3000.png,Adjust_Brightness,original,total,4000,3000,1,static,auto-avx2,10,58.930713,57.797629,59.422320,0.999294,,,yes,0
4000x3000.png,Adjust_Brightness,original,total,4000,3000,1,static,off-avx2,10,58.889115,57.773815,62.611803,,,,yes,0
4000x3000.png,Adjust_Brightness,original,total,4000,3000,1,static,omp-avx2,10,59.378797,59.067251,59.669730,,0.992454,,yes,0
4000x3000.png,Adjust_Brightness,original,total,4000,3000,20,static,auto-avx2,10,4.685086,4.600086,6.351628,0.992096,,,yes,0
4000x3000.png,Adjust_Brightness,original,total,4000,3000,20,static,off-avx2,10,4.648056,4.511739,7.262718,,,,yes,0
4000x3000.png,Adjust_Brightness,original,total,4000,3000,20,static,omp-avx2,10,4.678374,4.627908,4.812068,,1.001435,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,kernel,4000,3000,1,static,auto-avx2,10,9.843397,9.767471,10.267979,6.025859,,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,kernel,4000,3000,1,static,off-avx2,10,59.314915,59.061761,60.197780,,,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,kernel,4000,3000,1,static,omp-avx2,10,9.810062,9.764804,9.959741,,1.003398,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,kernel,4000,3000,20,static,auto-avx2,10,1.307325,1.212982,1.363729,2.941747,,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,kernel,4000,3000,20,static,off-avx2,10,3.845818,3.729122,3.911485,,,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,kernel,4000,3000,20,static,omp-avx2,10,1.314300,1.292060,1.379717,,0.994693,,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,total,4000,3000,1,static,auto-avx2,10,9.843397,9.767471,10.267979,6.025859,,8.975920,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,total,4000,3000,1,static,off-avx2,10,59.314915,59.061761,60.197780,,,1.492289,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,total,4000,3000,1,static,omp-avx2,10,9.810062,9.764804,9.959741,,1.003398,9.017918,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,total,4000,3000,20,static,auto-avx2,10,1.307325,1.212982,1.363729,2.941747,,4.897850,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,total,4000,3000,20,static,off-avx2,10,3.845818,3.729122,3.911485,,,1.642902,yes,0
4000x3000.png,Adjust_Contrast,linear_bytes,total,4000,3000,20,static,omp-avx2,10,1.314300,1.292060,1.379717,,0.994693,4.831627,yes,0
4000x3000.png,Adjust_Contrast,original,total,4000,3000,1,static,auto-avx2,10,88.353535,87.853495,94.300286,1.001827,,,yes,0
4000x3000.png,Adjust_Contrast,original,total,4000,3000,1,static,off-avx2,10,88.514984,88.383323,91.794005,,,,yes,0
4000x3000.png,Adjust_Contrast,original,total,4000,3000,1,static,omp-avx2,10,88.466335,88.210530,88.704481,,0.998725,,yes,0
4000x3000.png,Adjust_Contrast,original,total,4000,3000,20,static,auto-avx2,10,6.403080,6.241317,10.014403,0.986760,,,yes,0
4000x3000.png,Adjust_Contrast,original,total,4000,3000,20,static,off-avx2,10,6.318301,6.228180,6.394506,,,,yes,0
