Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.72693 ms; lookup=38.7916 ms; lookup medio=38.7916 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.77075 ms; lookup=38.6888 ms; lookup medio=38.6888 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.75061 ms; lookup=64.2966 ms; lookup medio=64.2966 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.76873 ms; lookup=39.1007 ms; lookup medio=39.1007 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.74226 ms; lookup=64.2768 ms; lookup medio=64.2768 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.76087 ms; lookup=38.4351 ms; lookup medio=38.4351 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=10.0669 ms; lookup=64.0701 ms; lookup medio=64.0701 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.7905 ms; lookup=38.681 ms; lookup medio=38.681 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=10.1331 ms; lookup=39.0764 ms; lookup medio=39.0764 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.76339 ms; lookup=38.7066 ms; lookup medio=38.7066 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.81664 ms; lookup=38.5082 ms; lookup medio=38.5082 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.72673 ms; lookup=64.389 ms; lookup medio=64.389 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.92775 ms; lookup=38.6791 ms; lookup medio=38.6791 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.74656 ms; lookup=64.4371 ms; lookup medio=64.4371 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.83917 ms; lookup=38.4817 ms; lookup medio=38.4817 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.76953 ms; lookup=65.0058 ms; lookup medio=65.0058 ms
