Function                                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Instructions Retired  Microarchitecture Usage(%)  Microarchitecture Usage:Microarchitecture Usage(%)  Microarchitecture Usage:CPI Rate  Module                   Function (Full)                                                                                                  Source File  Start Address     
--------------------------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  --------------------  --------------------------  --------------------------------------------------  --------------------------------  -----------------------  ---------------------------------------------------------------------------------------------------------------  -----------  ------------------
quantize_lut._omp_fn.0                                      6.545s                   6.545s                        0.005s                        6.540s                          0s                             0s                            0s                  0s                      0s        25,415,000,000                       43.6%                                               43.6%                             0.772  vectorization_benchmark  quantize_lut._omp_fn.0                                                                                           [Unknown]    0x43490           
__memcpy_avx_unaligned_erms                                 1.057s                   1.057s                        0.005s                        1.052s                          0s                             0s                            0s                  0s                      0s           954,500,000                        7.6%                                                7.6%                             3.253  libc.so.6                __memcpy_avx_unaligned_erms                                                                                      [Unknown]    0x152a80          
stbi__parse_zlib                                            0.932s                   0.932s                            0s                        0.932s                          0s                             0s                            0s                  0s                      0s         4,738,000,000                       35.7%                                               35.7%                             0.587  vectorization_benchmark  stbi__parse_zlib(stbi__zbuf*, int)                                                                               [Unknown]    0x21080           
_Z12hash_pictureB5cxx11RK7Picture                           0.286s                   0.286s                            0s                        0.286s                          0s                             0s                            0s                  0s                      0s         1,242,000,000                       36.1%                                               36.1%                             0.685  vectorization_benchmark  _Z12hash_pictureB5cxx11RK7Picture                                                                                [Unknown]    0x487e0           
quantize_gray._omp_fn.0                                     0.271s                   0.271s                            0s                        0.271s                          0s                             0s                            0s                  0s                      0s         1,230,500,000                       41.5%                                               41.5%                             0.579  vectorization_benchmark  quantize_gray._omp_fn.0                                                                                          [Unknown]    0xed90            
clear_page_erms                                             0.200s                   0.200s                            0s                        0.200s                          0s                             0s                            0s                  0s                      0s            11,500,000                        5.2%                                                5.2%                            64.000  vmlinux                  clear_page_erms                                                                                                  [Unknown]    0xffffffff84deb980
stbi__create_png_image_raw                                  0.155s                   0.155s                            0s                        0.155s                          0s                             0s                            0s                  0s                      0s         1,299,500,000                       75.0%                                               75.0%                             0.319  vectorization_benchmark  stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)  [Unknown]    0x1d270           
(anonymous namespace)::apply_gray_scale_buffer._omp_fn.0    0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s           460,000,000                       41.2%                                               41.2%                             0.750  vectorization_benchmark  (anonymous namespace)::apply_gray_scale_buffer._omp_fn.0                                                         [Unknown]    0xd280            
difference                                                  0.105s                   0.105s                            0s                        0.105s                          0s                             0s                            0s                  0s                      0s           448,500,000                       34.2%                                               34.2%                             0.718  vectorization_benchmark  difference(Picture const&, Picture const&)                                                                       [Unknown]    0x46c20           
roundf64                                                    0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s           517,500,000                       42.0%                                               42.0%                             0.800  libm.so.6                roundf64                                                                                                         [Unknown]    0x311c0           
find_min_and_max_luminance_on_gray_scale_image._omp_fn.0    0.035s                   0.035s                            0s                        0.035s                          0s                             0s                            0s                  0s                      0s            80,500,000                       23.4%                                               23.4%                             1.143  vectorization_benchmark  find_min_and_max_luminance_on_gray_scale_image._omp_fn.0                                                         [Unknown]    0xe660            
stbi__compute_huffman_codes                                 0.025s                   0.025s                            0s                        0.025s                          0s                             0s                            0s                  0s                      0s            92,000,000                       12.1%                                               12.1%                             0.500  vectorization_benchmark  stbi__compute_huffman_codes(stbi__zbuf*)                                                                         [Unknown]    0x20380           
roundf64                                                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s           126,500,000                      100.0%                                              100.0%                             0.364  libm.so.6                roundf64                                                                                                         [Unknown]    0x311c0           
stbi__convert_format                                        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s            46,000,000                       12.0%                                               12.0%                             1.250  vectorization_benchmark  stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)                                       [Unknown]    0x18510           
stbi__zbuild_huffman                                        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s           115,000,000                       27.8%                                               27.8%                             0.500  vectorization_benchmark  stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)                                                 [Unknown]    0x12330           
copy_user_enhanced_fast_string                              0.015s                   0.015s                        0.005s                        0.010s                          0s                             0s                            0s                  0s                      0s                     0                       14.5%                                               14.5%                                    vmlinux                  copy_user_enhanced_fast_string                                                                                   [Unknown]    0xffffffff84debf50
entry_SYSRETQ_unsafe_stack                                  0.015s                   0.015s                        0.005s                        0.010s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                                    vmlinux                  entry_SYSRETQ_unsafe_stack                                                                                       [Unknown]    0xffffffff8500021b
__mod_node_page_state                                       0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  __mod_node_page_state                                                                                            [Unknown]    0xffffffff846acb90
__schedule                                                  0.005s                       0s                            0s                            0s                          0s                             0s                            0s              0.005s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  __schedule                                                                                                       [Unknown]    0xffffffff84e46f70
__update_load_avg_se                                        0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  __update_load_avg_se                                                                                             [Unknown]    0xffffffff844fe1b0
asm_exc_page_fault                                          0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                                    vmlinux                  asm_exc_page_fault                                                                                               [Unknown]    0xffffffff85000be0
asm_sysvec_apic_timer_interrupt                             0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  asm_sysvec_apic_timer_interrupt                                                                                  [Unknown]    0xffffffff85000ef0
filemap_get_read_batch                                      0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  vmlinux                  filemap_get_read_batch                                                                                           [Unknown]    0xffffffff84680660
fsnotify_perm.part.0                                        0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  fsnotify_perm.part.0                                                                                             [Unknown]    0xffffffff84845180
raw_notifier_call_chain                                     0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  raw_notifier_call_chain                                                                                          [Unknown]    0xffffffff844d2740
release_pages                                               0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  release_pages                                                                                                    [Unknown]    0xffffffff846900b0
task_tick_fair                                              0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  task_tick_fair                                                                                                   [Unknown]    0xffffffff844ec9b0
tick_program_event                                          0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  tick_program_event                                                                                               [Unknown]    0xffffffff84567a50
xas_start                                                   0.005s                   0.005s                            0s                        0.005s                          0s                             0s                            0s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  vmlinux                  xas_start                                                                                                        [Unknown]    0xffffffff84de8920
__count_memcg_events                                            0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  vmlinux                  __count_memcg_events                                                                                             [Unknown]    0xffffffff84749730
__memcpy_avx_unaligned_erms                                     0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  libc.so.6                __memcpy_avx_unaligned_erms                                                                                      [Unknown]    0x152a80          
__rcu_read_unlock                                               0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  vmlinux                  __rcu_read_unlock                                                                                                [Unknown]    0xffffffff84536fa0
check_new_pages                                                 0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                                                                                                             0.000  vmlinux                  check_new_pages                                                                                                  [Unknown]    0xffffffff846ef9b0
ext4_file_read_iter                                             0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  ext4.ko                  ext4_file_read_iter                                                                                              [Unknown]    0x11b10           
filemap_read                                                    0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             1.000  vmlinux                  filemap_read                                                                                                     [Unknown]    0xffffffff846831e0
get_page_from_freelist                                          0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  vmlinux                  get_page_from_freelist                                                                                           [Unknown]    0xffffffff846f3f80
ktime_get                                                       0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  vmlinux                  ktime_get                                                                                                        [Unknown]    0xffffffff84557cb0
ktime_get_coarse_real_ts64                                      0s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                      0s            11,500,000                        0.0%                                                0.0%                             0.000  vmlinux                  ktime_get_coarse_real_ts64                                                                                       [Unknown]    0xffffffff84556870
