Image,Threads,Schedule,Chunk,Simd,Total_operations_ms,Operations
4000x3000.png,1,dynamic,1,off,9003.909144000001,17
4000x3000.png,1,dynamic,1,omp,9001.082188,17
4000x3000.png,1,dynamic,16,off,9003.62586,17
4000x3000.png,1,dynamic,16,omp,9013.02846,17
4000x3000.png,1,static,,off,9009.107600000001,17
4000x3000.png,1,static,,omp,9008.855959,17
4000x3000.png,12,dynamic,1,off,953.3064880000001,17
4000x3000.png,12,dynamic,1,omp,955.045552,17
4000x3000.png,12,dynamic,16,off,928.512578,17
4000x3000.png,12,dynamic,16,omp,930.14225,17
4000x3000.png,12,static,,off,903.245655,17
4000x3000.png,12,static,,omp,908.320084,17
4000x3000.png,16,dynamic,1,off,736.106212,17
4000x3000.png,16,dynamic,1,omp,738.172314,17
4000x3000.png,16,dynamic,16,off,710.783799,17
4000x3000.png,16,dynamic,16,omp,710.633303,17
4000x3000.png,16,static,,off,711.097159,17
4000x3000.png,16,static,,omp,689.481205,17
4000x3000.png,2,dynamic,1,off,4576.8049280000005,17
4000x3000.png,2,dynamic,1,omp,4581.756082,17
4000x3000.png,2,dynamic,16,off,4555.0803590000005,17
4000x3000.png,2,dynamic,16,omp,4553.664455,17
4000x3000.png,2,static,,off,4559.131601,17
4000x3000.png,2,static,,omp,4560.479911,17
4000x3000.png,20,dynamic,1,off,613.610507,17
4000x3000.png,20,dynamic,1,omp,619.778083,17
4000x3000.png,20,dynamic,16,off,594.4758860000001,17
4000x3000.png,20,dynamic,16,omp,596.091387,17
4000x3000.png,20,static,,off,557.007252,17
4000x3000.png,20,static,,omp,563.353316,17
4000x3000.png,4,dynamic,1,off,2404.667796,17
4000x3000.png,4,dynamic,1,omp,2414.402477,17
4000x3000.png,4,dynamic,16,off,2377.473141,17
4000x3000.png,4,dynamic,16,omp,2371.814085,17
4000x3000.png,4,static,,off,2335.431685,17
4000x3000.png,4,static,,omp,2347.906974,17
4000x3000.png,8,dynamic,1,off,1353.178029,17
4000x3000.png,8,dynamic,1,omp,1357.961875,17
4000x3000.png,8,dynamic,16,off,1330.724686,17
4000x3000.png,8,dynamic,16,omp,1328.948942,17
4000x3000.png,8,static,,off,1308.335899,17
4000x3000.png,8,static,,omp,1299.717887,17
6000x6000.png,1,dynamic,1,off,26992.563466,17
6000x6000.png,1,dynamic,1,omp,26996.851447,17
6000x6000.png,1,dynamic,16,off,26990.794017,17
6000x6000.png,1,dynamic,16,omp,27003.366355000002,17
6000x6000.png,1,static,,off,27015.639584,17
6000x6000.png,1,static,,omp,26990.821223,17
6000x6000.png,12,dynamic,1,off,2819.306441,17
6000x6000.png,12,dynamic,1,omp,2825.291512,17
6000x6000.png,12,dynamic,16,off,2731.915842,17
6000x6000.png,12,dynamic,16,omp,2735.737895,17
6000x6000.png,12,static,,off,2683.803427,17
6000x6000.png,12,static,,omp,2681.760458,17
6000x6000.png,16,dynamic,1,off,2179.708996,17
6000x6000.png,16,dynamic,1,omp,2181.350736,17
6000x6000.png,16,dynamic,16,off,2073.8445150000002,17
6000x6000.png,16,dynamic,16,omp,2077.330896,17
6000x6000.png,16,static,,off,2029.400644,17
6000x6000.png,16,static,,omp,2034.747249,17
6000x6000.png,2,dynamic,1,off,13749.533157,17
6000x6000.png,2,dynamic,1,omp,13714.120649,17
6000x6000.png,2,dynamic,16,off,13613.200751,17
6000x6000.png,2,dynamic,16,omp,13598.084323000001,17
6000x6000.png,2,static,,off,13583.745003,17
6000x6000.png,2,static,,omp,13587.234223000001,17
6000x6000.png,20,dynamic,1,off,1783.821989,17
6000x6000.png,20,dynamic,1,omp,1786.81068,17
6000x6000.png,20,dynamic,16,off,1685.6040560000001,17
6000x6000.png,20,dynamic,16,omp,1690.448863,17
6000x6000.png,20,static,,off,1744.1671939999999,17
6000x6000.png,20,static,,omp,1700.394957,17
6000x6000.png,4,dynamic,1,off,7101.538944,17
6000x6000.png,4,dynamic,1,omp,7105.636197,17
6000x6000.png,4,dynamic,16,off,7047.292066,17
6000x6000.png,4,dynamic,16,omp,7033.456482,17
6000x6000.png,4,static,,off,6957.895915,17
6000x6000.png,4,static,,omp,6934.740974,17
6000x6000.png,8,dynamic,1,off,4013.45873,17
6000x6000.png,8,dynamic,1,omp,4009.3694689999998,17
6000x6000.png,8,dynamic,16,off,3887.340874,17
6000x6000.png,8,dynamic,16,omp,3891.800738,17
6000x6000.png,8,static,,off,3858.0158539999998,17
6000x6000.png,8,static,,omp,3891.320612,17
