Image,Simd,Chunk,Static_ms,Dynamic_ms,Speedup_static_over_dynamic
control_bands_256_6000x6000.png,off,1,777.46315,603.464628,1.2883325946984918
control_bands_256_6000x6000.png,off,4,777.46315,606.7293,1.2814003708078712
control_bands_256_6000x6000.png,off,16,777.46315,606.436701,1.2820186323122948
control_bands_256_6000x6000.png,off,64,777.46315,658.836688,1.1800544264772335
control_bands_256_6000x6000.png,off,256,777.46315,940.62191,0.8265416122403528
control_bands_256_6000x6000.png,omp,1,742.959936,623.617463,1.1913712814036446
control_bands_256_6000x6000.png,omp,4,742.959936,621.76122,1.194928072226827
control_bands_256_6000x6000.png,omp,16,742.959936,626.361411,1.1861521526587149
control_bands_256_6000x6000.png,omp,64,742.959936,674.616215,1.1013075575125333
control_bands_256_6000x6000.png,omp,256,742.959936,972.663397,0.7638407472631562
control_half_noise_6000x6000.png,off,1,813.536092,600.298729,1.355218748097666
control_half_noise_6000x6000.png,off,4,813.536092,598.801824,1.358606569641979
control_half_noise_6000x6000.png,off,16,813.536092,603.980876,1.3469567072848845
control_half_noise_6000x6000.png,off,64,813.536092,627.244365,1.2970002400898413
control_half_noise_6000x6000.png,off,256,813.536092,829.165641,0.981150269346484
control_half_noise_6000x6000.png,omp,1,849.225565,614.654682,1.3816303525692495
control_half_noise_6000x6000.png,omp,4,849.225565,620.615795,1.3683595742193444
control_half_noise_6000x6000.png,omp,16,849.225565,624.845666,1.359096511681654
control_half_noise_6000x6000.png,omp,64,849.225565,642.219956,1.322328210243283
control_half_noise_6000x6000.png,omp,256,849.225565,853.668741,0.9947951989025682
control_noise_6000x6000.png,off,1,571.888265,573.45325,0.9972709458007257
control_noise_6000x6000.png,off,4,571.888265,568.173317,1.0065384063081584
control_noise_6000x6000.png,off,16,571.888265,582.688415,0.9814649652850916
control_noise_6000x6000.png,off,64,571.888265,600.137741,0.9529283461611191
control_noise_6000x6000.png,off,256,571.888265,910.269468,0.6282626025637499
control_noise_6000x6000.png,omp,1,595.52888,587.738642,1.0132545955690284
control_noise_6000x6000.png,omp,4,595.52888,581.483306,1.024154732999334
control_noise_6000x6000.png,omp,16,595.52888,588.371483,1.0121647585017304
control_noise_6000x6000.png,omp,64,595.52888,614.148827,0.9696817022496731
control_noise_6000x6000.png,omp,256,595.52888,931.602941,0.6392518247749928
control_smooth_6000x6000.png,off,1,860.02085,814.972531,1.0552758740772823
control_smooth_6000x6000.png,off,4,860.02085,816.339637,1.0535086268266058
control_smooth_6000x6000.png,off,16,860.02085,823.741921,1.0440416204094096
control_smooth_6000x6000.png,off,64,860.02085,862.028431,0.997671096534866
control_smooth_6000x6000.png,off,256,860.02085,1278.88633,0.6724763802894038
control_smooth_6000x6000.png,omp,1,833.933628,833.383689,1.0006598869251448
control_smooth_6000x6000.png,omp,4,833.933628,830.496724,1.004138371531975
control_smooth_6000x6000.png,omp,16,833.933628,839.430478,0.9934516911834121
control_smooth_6000x6000.png,omp,64,833.933628,880.834268,0.9467542968026308
control_smooth_6000x6000.png,omp,256,833.933628,1296.097055,0.6434191211089513
firework.jpg,off,1,3948.429423,3071.130152,1.2856600754704843
firework.jpg,off,4,3948.429423,3059.310378,1.2906272771124498
firework.jpg,off,16,3948.429423,3080.695818,1.2816680569142773
firework.jpg,off,64,3948.429423,3148.241106,1.254169960323236
firework.jpg,off,256,3948.429423,3619.899024,1.0907567854301563
firework.jpg,omp,1,4045.779205,3131.048394,1.2921484103384957
firework.jpg,omp,4,4045.779205,3131.021602,1.2921594671897765
firework.jpg,omp,16,4045.779205,3142.979298,1.2872433514196184
firework.jpg,omp,64,4045.779205,3214.630356,1.2585519194916728
firework.jpg,omp,256,4045.779205,3713.494418,1.0894803518188565
rain_paisage.jpg,off,1,4307.074345,3172.158236,1.3577741160955124
rain_paisage.jpg,off,4,4307.074345,3166.493875,1.3602029610747313
rain_paisage.jpg,off,16,4307.074345,3187.625889,1.351185645675373
rain_paisage.jpg,off,64,4307.074345,3213.542364,1.3402886463394388
