Image,Simd,Static_ms,Dynamic16_ms,Speedup_static_over_dynamic16
control_bands_256_6000x6000.png,off,777.46315,606.436701,1.2820186323122948
control_bands_256_6000x6000.png,omp,742.959936,626.361411,1.1861521526587149
control_half_noise_6000x6000.png,off,813.536092,603.980876,1.3469567072848845
control_half_noise_6000x6000.png,omp,849.225565,624.845666,1.359096511681654
control_noise_6000x6000.png,off,571.888265,582.688415,0.9814649652850916
control_noise_6000x6000.png,omp,595.52888,588.371483,1.0121647585017304
control_smooth_6000x6000.png,off,860.02085,823.741921,1.0440416204094096
control_smooth_6000x6000.png,omp,833.933628,839.430478,0.9934516911834121
firework.jpg,off,3948.429423,3080.695818,1.2816680569142773
firework.jpg,omp,4045.779205,3142.979298,1.2872433514196184
rain_paisage.jpg,off,4307.074345,3187.625889,1.351185645675373
rain_paisage.jpg,omp,4422.436247,3235.882422,1.3666863223870251
sky.jpg,off,1134.190242,1044.556219,1.0858106259573184
sky.jpg,omp,1135.438395,1072.780964,1.0584065462593348
stars.jpg,off,1876.249873,1660.692676,1.1297995710556141
stars.jpg,omp,1817.263049,1699.345679,1.0693898666158317
