Image,Threads,Schedule,Chunk,Simd,Total_operations_ms,Operations
4000x3000.png,1,dynamic,1,off,9008.678279,17
4000x3000.png,1,dynamic,1,off-avx2,8989.933584,17
4000x3000.png,1,dynamic,1,omp,9008.458063,17
4000x3000.png,1,dynamic,1,omp-avx2,8976.443795,17
4000x3000.png,1,dynamic,16,off,9003.372336,17
4000x3000.png,1,dynamic,16,off-avx2,8986.619587000001,17
4000x3000.png,1,dynamic,16,omp,9011.600829,17
4000x3000.png,1,dynamic,16,omp-avx2,8988.693836,17
4000x3000.png,1,static,,off,9011.251921,17
4000x3000.png,1,static,,off-avx2,8986.046859,17
4000x3000.png,1,static,,omp,9011.504925,17
4000x3000.png,1,static,,omp-avx2,8978.981937999999,17
4000x3000.png,12,dynamic,1,off,954.001476,17
4000x3000.png,12,dynamic,1,off-avx2,950.122784,17
4000x3000.png,12,dynamic,1,omp,956.51932,17
4000x3000.png,12,dynamic,1,omp-avx2,951.2635429999999,17
4000x3000.png,12,dynamic,16,off,928.921325,17
4000x3000.png,12,dynamic,16,off-avx2,926.3139209999999,17
4000x3000.png,12,dynamic,16,omp,930.114965,17
4000x3000.png,12,dynamic,16,omp-avx2,925.844932,17
4000x3000.png,12,static,,off,906.103985,17
4000x3000.png,12,static,,off-avx2,906.230846,17
4000x3000.png,12,static,,omp,912.573355,17
4000x3000.png,12,static,,omp-avx2,901.03187,17
4000x3000.png,16,dynamic,1,off,738.867651,17
4000x3000.png,16,dynamic,1,off-avx2,736.726139,17
4000x3000.png,16,dynamic,1,omp,738.081787,17
4000x3000.png,16,dynamic,1,omp-avx2,735.85889,17
4000x3000.png,16,dynamic,16,off,708.119406,17
4000x3000.png,16,dynamic,16,off-avx2,707.3023,17
4000x3000.png,16,dynamic,16,omp,708.583782,17
4000x3000.png,16,dynamic,16,omp-avx2,706.41268,17
4000x3000.png,16,static,,off,688.211079,17
4000x3000.png,16,static,,off-avx2,686.554424,17
4000x3000.png,16,static,,omp,702.765825,17
4000x3000.png,16,static,,omp-avx2,689.778599,17
4000x3000.png,2,dynamic,1,off,4594.524103,17
4000x3000.png,2,dynamic,1,off-avx2,4570.609590999999,17
4000x3000.png,2,dynamic,1,omp,4578.784458,17
4000x3000.png,2,dynamic,1,omp-avx2,4564.163881,17
4000x3000.png,2,dynamic,16,off,4560.893724,17
4000x3000.png,2,dynamic,16,off-avx2,4551.91806,17
4000x3000.png,2,dynamic,16,omp,4564.420183,17
4000x3000.png,2,dynamic,16,omp-avx2,4541.869801,17
4000x3000.png,2,static,,off,4554.769955,17
4000x3000.png,2,static,,off-avx2,4544.220263,17
4000x3000.png,2,static,,omp,4560.292767999999,17
4000x3000.png,2,static,,omp-avx2,4549.743649,17
4000x3000.png,20,dynamic,1,off,614.1612660000001,17
4000x3000.png,20,dynamic,1,off-avx2,614.955116,17
4000x3000.png,20,dynamic,1,omp,611.180114,17
4000x3000.png,20,dynamic,1,omp-avx2,610.026675,17
4000x3000.png,20,dynamic,16,off,595.765764,17
4000x3000.png,20,dynamic,16,off-avx2,596.306393,17
4000x3000.png,20,dynamic,16,omp,599.1478989999999,17
4000x3000.png,20,dynamic,16,omp-avx2,598.034279,17
4000x3000.png,20,static,,off,578.3836709999999,17
4000x3000.png,20,static,,off-avx2,574.459486,17
4000x3000.png,20,static,,omp,577.228003,17
4000x3000.png,20,static,,omp-avx2,575.865147,17
4000x3000.png,4,dynamic,1,off,2406.233576,17
4000x3000.png,4,dynamic,1,off-avx2,2401.662526,17
4000x3000.png,4,dynamic,1,omp,2406.421448,17
4000x3000.png,4,dynamic,1,omp-avx2,2388.6942010000002,17
4000x3000.png,4,dynamic,16,off,2369.2595929999998,17
4000x3000.png,4,dynamic,16,off-avx2,2362.134843,17
4000x3000.png,4,dynamic,16,omp,2377.709596,17
4000x3000.png,4,dynamic,16,omp-avx2,2367.650679,17
4000x3000.png,4,static,,off,2386.895376,17
4000x3000.png,4,static,,off-avx2,2346.950931,17
4000x3000.png,4,static,,omp,2349.009893,17
4000x3000.png,4,static,,omp-avx2,2360.782367,17
4000x3000.png,8,dynamic,1,off,1353.107902,17
4000x3000.png,8,dynamic,1,off-avx2,1352.269992,17
4000x3000.png,8,dynamic,1,omp,1358.101861,17
4000x3000.png,8,dynamic,1,omp-avx2,1353.2482989999999,17
4000x3000.png,8,dynamic,16,off,1331.2097899999999,17
4000x3000.png,8,dynamic,16,off-avx2,1328.006324,17
4000x3000.png,8,dynamic,16,omp,1331.35566,17
4000x3000.png,8,dynamic,16,omp-avx2,1325.665618,17
4000x3000.png,8,static,,off,1304.513203,17
4000x3000.png,8,static,,off-avx2,1305.785492,17
4000x3000.png,8,static,,omp,1303.557293,17
4000x3000.png,8,static,,omp-avx2,1298.202417,17
6000x6000.png,1,dynamic,1,off,27003.601883,17
6000x6000.png,1,dynamic,1,off-avx2,26943.871592,17
6000x6000.png,1,dynamic,1,omp,27002.773671,17
6000x6000.png,1,dynamic,1,omp-avx2,26910.44232,17
6000x6000.png,1,dynamic,16,off,26993.587742,17
6000x6000.png,1,dynamic,16,off-avx2,26938.353928,17
6000x6000.png,1,dynamic,16,omp,26999.409832,17
6000x6000.png,1,dynamic,16,omp-avx2,26909.871774,17
6000x6000.png,1,static,,off,27001.491003,17
6000x6000.png,1,static,,off-avx2,26958.40109,17
6000x6000.png,1,static,,omp,27005.832256,17
6000x6000.png,1,static,,omp-avx2,26970.56804,17
6000x6000.png,12,dynamic,1,off,2817.8200030000003,17
6000x6000.png,12,dynamic,1,off-avx2,2812.124853,17
6000x6000.png,12,dynamic,1,omp,2820.214794,17
6000x6000.png,12,dynamic,1,omp-avx2,2817.990442,17
6000x6000.png,12,dynamic,16,off,2731.499633,17
6000x6000.png,12,dynamic,16,off-avx2,2725.074146,17
6000x6000.png,12,dynamic,16,omp,2736.245873,17
6000x6000.png,12,dynamic,16,omp-avx2,2727.750342,17
6000x6000.png,12,static,,off,2684.01778,17
6000x6000.png,12,static,,off-avx2,2686.129922,17
6000x6000.png,12,static,,omp,2692.702124,17
6000x6000.png,12,static,,omp-avx2,2680.053346,17
6000x6000.png,16,dynamic,1,off,2174.463806,17
6000x6000.png,16,dynamic,1,off-avx2,2177.812461,17
6000x6000.png,16,dynamic,1,omp,2182.767014,17
6000x6000.png,16,dynamic,1,omp-avx2,2175.749071,17
6000x6000.png,16,dynamic,16,off,2073.809352,17
6000x6000.png,16,dynamic,16,off-avx2,2071.964439,17
6000x6000.png,16,dynamic,16,omp,2081.168256,17
6000x6000.png,16,dynamic,16,omp-avx2,2073.545962,17
6000x6000.png,16,static,,off,2035.528205,17
6000x6000.png,16,static,,off-avx2,2024.592683,17
6000x6000.png,16,static,,omp,2065.821308,17
6000x6000.png,16,static,,omp-avx2,2052.627463,17
6000x6000.png,2,dynamic,1,off,13705.347128000001,17
6000x6000.png,2,dynamic,1,off-avx2,13692.710088,17
6000x6000.png,2,dynamic,1,omp,13722.495702,17
6000x6000.png,2,dynamic,1,omp-avx2,13669.341367,17
6000x6000.png,2,dynamic,16,off,13602.089311,17
6000x6000.png,2,dynamic,16,off-avx2,13575.119072,17
6000x6000.png,2,dynamic,16,omp,13612.760830000001,17
6000x6000.png,2,dynamic,16,omp-avx2,13574.263522,17
6000x6000.png,2,static,,off,13621.403594,17
6000x6000.png,2,static,,off-avx2,13562.716049,17
6000x6000.png,2,static,,omp,13608.698263999999,17
6000x6000.png,2,static,,omp-avx2,13537.860772,17
6000x6000.png,20,dynamic,1,off,1785.105139,17
6000x6000.png,20,dynamic,1,off-avx2,1796.133232,17
6000x6000.png,20,dynamic,1,omp,1797.274009,17
6000x6000.png,20,dynamic,1,omp-avx2,1784.988359,17
6000x6000.png,20,dynamic,16,off,1685.836065,17
