Image,Simd,Chunk,Static_median_ms,Static_min_ms,Static_max_ms,Dynamic_median_ms,Dynamic_min_ms,Dynamic_max_ms,Speedup_static_over_dynamic
control_bands_256_6000x6000.png,off,1,729.141735,728.736556,945.52552,603.471075,602.72446,604.169106,1.2082463687261233
control_bands_256_6000x6000.png,off,4,729.141735,728.736556,945.52552,603.239873,601.852154,622.602549,1.208709449814502
control_bands_256_6000x6000.png,off,16,729.141735,728.736556,945.52552,606.243614,605.971946,607.355801,1.2027206854833774
control_bands_256_6000x6000.png,off,64,729.141735,728.736556,945.52552,657.781383,656.182272,662.092202,1.1084864270170445
control_bands_256_6000x6000.png,off,256,729.141735,728.736556,945.52552,942.161033,933.921997,943.841965,0.7739035148569979
control_bands_256_6000x6000.png,omp,1,742.329836,741.621643,744.717947,619.548853,618.903999,640.546915,1.1981780490843714
control_bands_256_6000x6000.png,omp,4,742.329836,741.621643,744.717947,618.455016,617.863513,632.795484,1.2002972193534607
control_bands_256_6000x6000.png,omp,16,742.329836,741.621643,744.717947,622.259481,621.74019,640.957085,1.1929586589938996
control_bands_256_6000x6000.png,omp,64,742.329836,741.621643,744.717947,674.728461,673.727956,675.282629,1.100190489815428
control_bands_256_6000x6000.png,omp,256,742.329836,741.621643,744.717947,965.669419,960.47851,1007.50496,0.7687204558768367
control_half_noise_6000x6000.png,off,1,802.63787,801.122106,838.419808,598.827495,597.335019,603.777019,1.340349059957576
control_half_noise_6000x6000.png,off,4,802.63787,801.122106,838.419808,598.889635,597.636784,599.78096,1.3402099871038844
control_half_noise_6000x6000.png,off,16,802.63787,801.122106,838.419808,603.52461,603.092292,604.987365,1.3299173831536049
control_half_noise_6000x6000.png,off,64,802.63787,801.122106,838.419808,626.085599,625.951191,629.833327,1.2819938220620213
control_half_noise_6000x6000.png,off,256,802.63787,801.122106,838.419808,827.071616,824.249143,841.00261,0.970457520815223
control_half_noise_6000x6000.png,omp,1,817.410851,815.678765,972.518176,615.067507,613.536378,615.79745,1.32897745645341
control_half_noise_6000x6000.png,omp,4,817.410851,815.678765,972.518176,614.737911,613.819088,645.650215,1.3296899969457063
control_half_noise_6000x6000.png,omp,16,817.410851,815.678765,972.518176,620.009253,618.594505,641.101142,1.3183849225553415
control_half_noise_6000x6000.png,omp,64,817.410851,815.678765,972.518176,641.938404,641.305431,644.024108,1.273347794596193
control_half_noise_6000x6000.png,omp,256,817.410851,815.678765,972.518176,849.475786,848.970086,870.420571,0.9622532678053286
control_noise_6000x6000.png,off,1,565.023745,564.619663,599.938507,568.024564,566.792266,597.218708,0.9947170964247242
control_noise_6000x6000.png,off,4,565.023745,564.619663,599.938507,567.588053,566.627334,571.270108,0.9954820965902185
control_noise_6000x6000.png,off,16,565.023745,564.619663,599.938507,574.253859,573.632009,616.846787,0.9839267706166167
control_noise_6000x6000.png,off,64,565.023745,564.619663,599.938507,600.115846,599.45531,601.206267,0.9415244552632591
control_noise_6000x6000.png,off,256,565.023745,564.619663,599.938507,910.625317,907.561056,911.597394,0.6204788450879408
control_noise_6000x6000.png,omp,1,600.015514,577.487764,613.644303,581.587224,580.891563,612.579423,1.0316862015524606
control_noise_6000x6000.png,omp,4,600.015514,577.487764,613.644303,581.09912,580.154658,582.890181,1.0325527837660469
