Image,Threads,Schedule,Chunk,Simd,Total_median_ms,Operations
4000x3000.png,1,dynamic,1,off,9007.255254,17
4000x3000.png,1,dynamic,1,off-avx2,8988.32997,17
4000x3000.png,1,dynamic,1,omp,9005.325516,17
4000x3000.png,1,dynamic,1,omp-avx2,8974.485239,17
4000x3000.png,1,dynamic,16,off,9006.12129,17
4000x3000.png,1,dynamic,16,off-avx2,8984.683991,17
4000x3000.png,1,dynamic,16,omp,9004.951693,17
4000x3000.png,1,dynamic,16,omp-avx2,8979.494376999999,17
4000x3000.png,1,static,,off,9009.007779,17
4000x3000.png,1,static,,off-avx2,8985.579095,17
4000x3000.png,1,static,,omp,9008.046295,17
4000x3000.png,1,static,,omp-avx2,8979.356715,17
4000x3000.png,12,dynamic,1,off,952.602915,17
4000x3000.png,12,dynamic,1,off-avx2,950.617304,17
4000x3000.png,12,dynamic,1,omp,955.337473,17
4000x3000.png,12,dynamic,1,omp-avx2,951.258134,17
4000x3000.png,12,dynamic,16,off,927.708464,17
4000x3000.png,12,dynamic,16,off-avx2,925.746436,17
4000x3000.png,12,dynamic,16,omp,930.697301,17
4000x3000.png,12,dynamic,16,omp-avx2,924.010962,17
4000x3000.png,12,static,,off,903.8756529999999,17
4000x3000.png,12,static,,off-avx2,904.833029,17
4000x3000.png,12,static,,omp,904.483438,17
4000x3000.png,12,static,,omp-avx2,900.61927,17
4000x3000.png,16,dynamic,1,off,736.73637,17
4000x3000.png,16,dynamic,1,off-avx2,738.2598370000001,17
4000x3000.png,16,dynamic,1,omp,736.621219,17
4000x3000.png,16,dynamic,1,omp-avx2,734.726277,17
4000x3000.png,16,dynamic,16,off,707.3820509999999,17
4000x3000.png,16,dynamic,16,off-avx2,705.887106,17
4000x3000.png,16,dynamic,16,omp,708.472144,17
4000x3000.png,16,dynamic,16,omp-avx2,706.6904440000001,17
4000x3000.png,16,static,,off,686.5998989999999,17
4000x3000.png,16,static,,off-avx2,683.876131,17
4000x3000.png,16,static,,omp,687.028193,17
4000x3000.png,16,static,,omp-avx2,689.571521,17
4000x3000.png,2,dynamic,1,off,4583.243871,17
4000x3000.png,2,dynamic,1,off-avx2,4567.676483,17
4000x3000.png,2,dynamic,1,omp,4580.097579,17
4000x3000.png,2,dynamic,1,omp-avx2,4563.594799,17
4000x3000.png,2,dynamic,16,off,4558.90669,17
4000x3000.png,2,dynamic,16,off-avx2,4547.96763,17
4000x3000.png,2,dynamic,16,omp,4558.627824,17
4000x3000.png,2,dynamic,16,omp-avx2,4540.572444,17
4000x3000.png,2,static,,off,4558.24759,17
4000x3000.png,2,static,,off-avx2,4544.950607,17
4000x3000.png,2,static,,omp,4567.328315,17
4000x3000.png,2,static,,omp-avx2,4552.440587,17
4000x3000.png,20,dynamic,1,off,607.964104,17
4000x3000.png,20,dynamic,1,off-avx2,613.015201,17
4000x3000.png,20,dynamic,1,omp,610.107086,17
4000x3000.png,20,dynamic,1,omp-avx2,611.509482,17
4000x3000.png,20,dynamic,16,off,593.822901,17
4000x3000.png,20,dynamic,16,off-avx2,597.301864,17
4000x3000.png,20,dynamic,16,omp,596.709421,17
4000x3000.png,20,dynamic,16,omp-avx2,593.818772,17
4000x3000.png,20,static,,off,582.615944,17
4000x3000.png,20,static,,off-avx2,553.462138,17
4000x3000.png,20,static,,omp,562.939271,17
4000x3000.png,20,static,,omp-avx2,554.221421,17
4000x3000.png,4,dynamic,1,off,2394.847883,17
4000x3000.png,4,dynamic,1,off-avx2,2390.443843,17
4000x3000.png,4,dynamic,1,omp,2390.773607,17
4000x3000.png,4,dynamic,1,omp-avx2,2387.00477,17
4000x3000.png,4,dynamic,16,off,2368.755638,17
4000x3000.png,4,dynamic,16,off-avx2,2361.857946,17
4000x3000.png,4,dynamic,16,omp,2374.333065,17
4000x3000.png,4,dynamic,16,omp-avx2,2359.110747,17
4000x3000.png,4,static,,off,2358.4586010000003,17
4000x3000.png,4,static,,off-avx2,2341.675176,17
4000x3000.png,4,static,,omp,2345.960995,17
4000x3000.png,4,static,,omp-avx2,2347.196648,17
4000x3000.png,8,dynamic,1,off,1354.527779,17
4000x3000.png,8,dynamic,1,off-avx2,1352.1004110000001,17
4000x3000.png,8,dynamic,1,omp,1356.99685,17
4000x3000.png,8,dynamic,1,omp-avx2,1352.8669399999999,17
4000x3000.png,8,dynamic,16,off,1330.985177,17
4000x3000.png,8,dynamic,16,off-avx2,1327.954862,17
4000x3000.png,8,dynamic,16,omp,1330.270471,17
4000x3000.png,8,dynamic,16,omp-avx2,1325.878489,17
4000x3000.png,8,static,,off,1302.275116,17
4000x3000.png,8,static,,off-avx2,1301.4523570000001,17
4000x3000.png,8,static,,omp,1302.898723,17
4000x3000.png,8,static,,omp-avx2,1296.801485,17
6000x6000.png,1,dynamic,1,off,26999.376753,17
6000x6000.png,1,dynamic,1,off-avx2,26939.724954,17
6000x6000.png,1,dynamic,1,omp,26995.694733,17
6000x6000.png,1,dynamic,1,omp-avx2,26907.469266,17
6000x6000.png,1,dynamic,16,off,26992.542815,17
6000x6000.png,1,dynamic,16,off-avx2,26935.795951,17
6000x6000.png,1,dynamic,16,omp,26993.021230000002,17
6000x6000.png,1,dynamic,16,omp-avx2,26910.173247,17
6000x6000.png,1,static,,off,26997.532357,17
6000x6000.png,1,static,,off-avx2,26938.580147,17
6000x6000.png,1,static,,omp,26997.842418,17
6000x6000.png,1,static,,omp-avx2,26915.525523,17
6000x6000.png,12,dynamic,1,off,2816.924201,17
6000x6000.png,12,dynamic,1,off-avx2,2812.9409339999997,17
6000x6000.png,12,dynamic,1,omp,2823.650579,17
6000x6000.png,12,dynamic,1,omp-avx2,2817.12143,17
6000x6000.png,12,dynamic,16,off,2731.883299,17
6000x6000.png,12,dynamic,16,off-avx2,2725.755374,17
6000x6000.png,12,dynamic,16,omp,2736.705644,17
6000x6000.png,12,dynamic,16,omp-avx2,2727.554494,17
6000x6000.png,12,static,,off,2675.148473,17
