Image,Operation,Threads,Simd,AoS_kernel_ms,SoA_kernel_ms,SoA_end_to_end_ms,Speedup_AoS_over_SoA_kernel,Speedup_AoS_over_SoA_total
4000x3000.png,Grayscale,1,off,46.219261,38.554089,88.510534,1.1988160581358829,0.5221893814356605
4000x3000.png,Grayscale,2,off,24.112984,19.688715,44.923328,1.2247109067300737,0.5367586301709437
4000x3000.png,Grayscale,4,off,12.893373,10.110477,25.724154,1.2752487345552541,0.5012165997762259
4000x3000.png,Grayscale,8,off,7.462035,5.488801,13.71615,1.3595018292701813,0.5440327642961035
4000x3000.png,Grayscale,12,off,5.501418,3.804229,9.744385,1.4461321860487368,0.5645731362215266
4000x3000.png,Grayscale,16,off,4.4833,2.881785,8.066475,1.5557371559640987,0.5557941975894055
4000x3000.png,Grayscale,20,off,3.904738,2.291062,7.592295,1.7043353693614576,0.514302724011646
4000x3000.png,Grayscale,1,omp,48.027262,39.003435,88.468726,1.231359802027693,0.5428727661343287
4000x3000.png,Grayscale,2,omp,25.446156,19.674491,44.672536,1.2933577798785238,0.5696152105624807
4000x3000.png,Grayscale,4,omp,13.26412,10.145982,25.79134,1.3073273735356519,0.5142858029090385
4000x3000.png,Grayscale,8,omp,7.664324,5.510413,13.5497,1.39088013911117,0.565645291039654
4000x3000.png,Grayscale,12,omp,5.637723,3.782573,9.76652,1.4904465822602764,0.5772499313982873
4000x3000.png,Grayscale,16,omp,4.6397,2.868303,8.167738,1.6175766646689698,0.5680520114626596
4000x3000.png,Grayscale,20,omp,4.048747,2.362877,7.639792,1.7134819120927578,0.5299551349041963
4000x3000.png,Gaussian_11x11,1,off,3066.799939,3073.051326,3121.843254,0.9979657394762304,0.9823683284131984
4000x3000.png,Gaussian_11x11,2,off,1538.02776,1540.59011,1565.297912,0.9983367736925169,0.9825782991269971
4000x3000.png,Gaussian_11x11,4,off,776.727488,776.485223,789.501541,1.0003120020739917,0.9838201037786195
4000x3000.png,Gaussian_11x11,8,off,434.165294,436.069195,443.53602,0.9956339474977132,0.9788726832152211
4000x3000.png,Gaussian_11x11,12,off,295.736427,299.576175,304.980381,0.9871827324052055,0.969690004420317
4000x3000.png,Gaussian_11x11,16,off,222.371656,226.330334,230.759059,0.9825092910435947,0.9636529849083845
4000x3000.png,Gaussian_11x11,20,off,180.233419,181.188371,185.360894,0.9947295072264876,0.97233788158143
