Image,Operation,Simd,Phase,Mean_ms,StdDev_ms
4000x3000.png,Grayscale,off,AoS: kernel,3.904738,0.053704
4000x3000.png,Grayscale,off,SoA: conversão,2.325573,0.047445
4000x3000.png,Grayscale,off,SoA: kernel,2.291062,0.015132
4000x3000.png,Grayscale,off,SoA: reconstrução,2.975659,0.038715
4000x3000.png,Grayscale,off,SoA: total,7.592295,0.063321
4000x3000.png,Grayscale,omp,AoS: kernel,4.048747,0.070437
4000x3000.png,Grayscale,omp,SoA: conversão,2.359595,0.069405
4000x3000.png,Grayscale,omp,SoA: kernel,2.362877,0.08443
4000x3000.png,Grayscale,omp,SoA: reconstrução,2.91732,0.261957
4000x3000.png,Grayscale,omp,SoA: total,7.639792,0.299719
4000x3000.png,Gaussian_11x11,off,AoS: kernel,180.233419,2.759202
4000x3000.png,Gaussian_11x11,off,SoA: conversão,1.736545,0.071764
4000x3000.png,Gaussian_11x11,off,SoA: kernel,181.188371,7.731895
4000x3000.png,Gaussian_11x11,off,SoA: reconstrução,2.435978,0.248968
4000x3000.png,Gaussian_11x11,off,SoA: total,185.360894,7.777275
4000x3000.png,Gaussian_11x11,omp,AoS: kernel,178.852899,0.100916
4000x3000.png,Gaussian_11x11,omp,SoA: conversão,1.752034,0.048303
4000x3000.png,Gaussian_11x11,omp,SoA: kernel,357.913999,0.74319
4000x3000.png,Gaussian_11x11,omp,SoA: reconstrução,2.364224,0.254391
4000x3000.png,Gaussian_11x11,omp,SoA: total,362.030257,0.655067
6000x6000.png,Grayscale,off,AoS: kernel,9.592844,0.027332
6000x6000.png,Grayscale,off,SoA: conversão,6.273904,0.130233
6000x6000.png,Grayscale,off,SoA: kernel,7.288922,0.970618
6000x6000.png,Grayscale,off,SoA: reconstrução,6.185763,0.297181
6000x6000.png,Grayscale,off,SoA: total,19.748588,1.099089
6000x6000.png,Grayscale,omp,AoS: kernel,9.921797,0.0329
6000x6000.png,Grayscale,omp,SoA: conversão,6.311132,0.13831
6000x6000.png,Grayscale,omp,SoA: kernel,7.601749,1.538143
6000x6000.png,Grayscale,omp,SoA: reconstrução,6.379431,0.669904
6000x6000.png,Grayscale,omp,SoA: total,20.292312,2.13028
6000x6000.png,Gaussian_11x11,off,AoS: kernel,533.008975,0.816123
6000x6000.png,Gaussian_11x11,off,SoA: conversão,6.000324,0.103489
6000x6000.png,Gaussian_11x11,off,SoA: kernel,540.71008,14.607746
6000x6000.png,Gaussian_11x11,off,SoA: reconstrução,5.286467,0.191096
6000x6000.png,Gaussian_11x11,off,SoA: total,551.996871,14.770485
6000x6000.png,Gaussian_11x11,omp,AoS: kernel,546.600923,13.40307
6000x6000.png,Gaussian_11x11,omp,SoA: conversão,6.027382,0.203664
6000x6000.png,Gaussian_11x11,omp,SoA: kernel,1140.025928,81.955608
6000x6000.png,Gaussian_11x11,omp,SoA: reconstrução,5.513878,0.089296
6000x6000.png,Gaussian_11x11,omp,SoA: total,1151.567188,81.888224
