Image,Operation,Layout,Threads,Off_ms,OMP_ms,Speedup_off_over_omp
4000x3000.png,Grayscale,AoS,1,46.219261,48.027262,0.9623546934655571
4000x3000.png,Grayscale,AoS,2,24.112984,25.446156,0.9476081180984666
4000x3000.png,Grayscale,AoS,4,12.893373,13.26412,0.9720488807399209
4000x3000.png,Grayscale,AoS,8,7.462035,7.664324,0.9736064132988116
4000x3000.png,Grayscale,AoS,12,5.501418,5.637723,0.9758226858609407
4000x3000.png,Grayscale,AoS,16,4.4833,4.6397,0.9662909239821539
4000x3000.png,Grayscale,AoS,20,3.904738,4.048747,0.964431217855796
4000x3000.png,Grayscale,SoA,1,38.554089,39.003435,0.9884793223981425
4000x3000.png,Grayscale,SoA,2,19.688715,19.674491,1.0007229666068616
4000x3000.png,Grayscale,SoA,4,10.110477,10.145982,0.9965005851577501
4000x3000.png,Grayscale,SoA,8,5.488801,5.510413,0.9960779709252282
4000x3000.png,Grayscale,SoA,12,3.804229,3.782573,1.005725203452782
4000x3000.png,Grayscale,SoA,16,2.881785,2.868303,1.004700340236021
4000x3000.png,Grayscale,SoA,20,2.291062,2.362877,0.9696069664227127
4000x3000.png,Gaussian_11x11,AoS,1,3066.799939,3062.527101,1.0013952000616109
4000x3000.png,Gaussian_11x11,AoS,2,1538.02776,1538.560594,0.9996536801981813
4000x3000.png,Gaussian_11x11,AoS,4,776.727488,770.219117,1.0084500252672903
4000x3000.png,Gaussian_11x11,AoS,8,434.165294,437.525007,0.9923210949174386
4000x3000.png,Gaussian_11x11,AoS,12,295.736427,295.788368,0.9998243980980347
4000x3000.png,Gaussian_11x11,AoS,16,222.371656,222.749331,0.9983044842455665
4000x3000.png,Gaussian_11x11,AoS,20,180.233419,178.852899,1.0077187454479002
4000x3000.png,Gaussian_11x11,SoA,1,3073.051326,6185.836867,0.49678829107085143
4000x3000.png,Gaussian_11x11,SoA,2,1540.59011,3099.27141,0.49708138016863784
4000x3000.png,Gaussian_11x11,SoA,4,776.485223,1561.785806,0.4971777948147135
4000x3000.png,Gaussian_11x11,SoA,8,436.069195,865.386314,0.503901191809234
4000x3000.png,Gaussian_11x11,SoA,12,299.576175,603.426708,0.4964582625003731
4000x3000.png,Gaussian_11x11,SoA,16,226.330334,446.264129,0.5071667635648125
4000x3000.png,Gaussian_11x11,SoA,20,181.188371,357.913999,0.5062343789464351
6000x6000.png,Grayscale,AoS,1,138.496297,143.929601,0.96225026705938
6000x6000.png,Grayscale,AoS,2,72.31983,74.858435,0.9660879231578913
6000x6000.png,Grayscale,AoS,4,37.334082,38.537021,0.9687848471733194
6000x6000.png,Grayscale,AoS,8,21.089823,21.811265,0.966923422369129
6000x6000.png,Grayscale,AoS,12,14.866244,15.404596,0.9650525077061417
6000x6000.png,Grayscale,AoS,16,11.583435,11.954832,0.9689333149976511
6000x6000.png,Grayscale,AoS,20,9.592844,9.921797,0.966845421247784
6000x6000.png,Grayscale,SoA,1,115.48961,116.247845,0.9934774274740319
6000x6000.png,Grayscale,SoA,2,58.984542,58.829718,1.002631731126095
6000x6000.png,Grayscale,SoA,4,31.00818,30.52742,1.0157484648227724
6000x6000.png,Grayscale,SoA,8,16.667617,16.539633,1.007738019338156
6000x6000.png,Grayscale,SoA,12,11.706058,11.479542,1.019732146108268
6000x6000.png,Grayscale,SoA,16,8.556506,8.635631,0.9908373806152672
6000x6000.png,Grayscale,SoA,20,7.288922,7.601749,0.9588480230010226
6000x6000.png,Gaussian_11x11,AoS,1,9201.871827,9203.744954,0.9997964820831781
6000x6000.png,Gaussian_11x11,AoS,2,4612.105964,4606.079862,1.0013082929911215
6000x6000.png,Gaussian_11x11,AoS,4,2366.127913,2341.576232,1.010485108562547
6000x6000.png,Gaussian_11x11,AoS,8,1285.077994,1289.402744,0.9966459277210907
6000x6000.png,Gaussian_11x11,AoS,12,884.651132,891.558974,0.9922519516919808
6000x6000.png,Gaussian_11x11,AoS,16,668.190016,669.341742,0.9982793154412295
6000x6000.png,Gaussian_11x11,AoS,20,533.008975,546.600923,0.9751336899956168
6000x6000.png,Gaussian_11x11,SoA,1,9229.913691,18629.281989,0.4954519286599436
6000x6000.png,Gaussian_11x11,SoA,2,4631.579773,9331.641232,0.49633067301359796
6000x6000.png,Gaussian_11x11,SoA,4,2364.272811,4730.029548,0.49984313776637734
6000x6000.png,Gaussian_11x11,SoA,8,1297.017824,2613.630368,0.49625143627042523
6000x6000.png,Gaussian_11x11,SoA,12,892.584794,1798.866678,0.49619285571089994
6000x6000.png,Gaussian_11x11,SoA,16,672.106154,1351.813996,0.4971883380322687
6000x6000.png,Gaussian_11x11,SoA,20,540.71008,1140.025928,0.47429630039081
