Image,Num_Threads,Grayscale,Flip_Horizontal,Adjust_Brightness,Flip_Vertical,Quantize,Adjust_Contrast,Negative,Equalize_Histogram,Zoom_In,Zoom_Out,Rotate_CW,Rotate_CCW,Gaussian_3x3,Gaussian_5x5,Gaussian_7x7,Gaussian_9x9,Gaussian_11x11,Adaptive_Median,Total_Time_ms
4000x3000.png,1,18.7434,8.78447,26.4556,2.07353,65.2329,38.4402,16.9395,30.3023,121.729,121.617,57.8668,57.54,196.194,402.283,670.267,1052.16,1534.46,1407.09,5828.18
6000x6000.png,1,53.3611,24.9177,79.6021,6.55114,180.116,116.927,49.5281,90.3263,316.809,316.625,198.536,199.726,553.38,1086.81,946.713,3145.36,4587.89,4602.01,16555.2
8k.jpeg,1,4.32707,2.19769,6.36014,0.322321,14.9537,9.1572,4.27317,7.43508,22.4592,23.1034,5.33163,11.8801,43.3408,84.5309,152.358,241.488,350.446,304.89,1288.85
poke.jpg,1,0.442309,0.160505,0.542589,0.012038,1.15223,0.733631,0.310956,0.730691,1.60147,1.77364,0.359006,0.36863,3.04847,6.42868,11.6401,18.4489,25.649,33.4109,106.814
4000x3000.png,2,19.3768,7.92378,27.0006,2.16539,60.4184,41.8533,17.7498,30.1702,112.191,105.741,53.6358,53.9181,193.861,378.451,666.324,1052.43,1530.58,1417.68,5771.47
6000x6000.png,2,52.5093,23.0152,76.6838,6.42845,175.217,111.592,50.2485,98.2919,316.602,322.048,173.463,216.419,567.262,1091.19,1988.24,2093.13,4599.08,4573.33,16534.8
8k.jpeg,2,4.68788,2.23387,6.37234,0.315224,14.9848,9.05232,4.18346,7.65803,22.1468,23.4161,13.8403,6.59661,43.3181,84.8098,153.159,244.445,354.523,309.002,1304.74
poke.jpg,2,0.341339,0.138446,0.510575,0.010217,1.14595,0.73358,0.314921,0.702146,1.60146,1.80013,0.37944,0.435188,3.1895,7.27597,11.5463,19.2547,25.6189,33.419,108.418
4000x3000.png,3,18.8185,9.08168,26.6744,2.10654,59.1913,38.5833,18.1295,30.7142,115.112,105.627,59.7619,57.2474,193.218,368.392,662.382,1044.33,1534.34,1411.17,5754.88
6000x6000.png,3,54.9763,26.0006,78.7108,6.48146,175.044,113.152,46.8744,97.9602,321.534,314.284,178.637,178.975,553.85,1082.71,1968.34,3118.87,3557.92,4567.19,16441.5
8k.jpeg,3,4.28735,2.17236,6.34593,0.324921,15.1824,9.00816,4.32505,7.04212,22.8781,23.8231,14.8564,13.7134,43.2259,84.3053,151.78,240.646,355.538,305.319,1304.77
poke.jpg,3,0.428645,0.16368,0.523356,0.011671,1.17659,0.948266,0.320659,0.779669,1.89372,1.86875,0.3766,0.475799,3.04814,6.60317,11.8871,20.739,25.6904,33.7209,110.656
4000x3000.png,4,17.7308,7.90059,26.8912,2.6392,65.838,42.0607,17.425,28.9193,104.962,108.873,58.783,48.7683,191.093,372.026,655.091,1059.27,1535.8,1430.75,5774.82
6000x6000.png,4,54.349,23.0852,80.1703,7.06786,177.081,113.227,48.7362,97.0057,327.01,318.355,191.308,208.756,571.601,1091.47,1991.72,3164.48,4645.73,3564.62,16675.8
8k.jpeg,4,4.28627,2.14807,6.39275,0.436539,14.3177,9.00844,4.07536,8.41981,22.3077,24.2089,5.41102,4.78478,44.2907,84.3777,152.419,242.528,357.008,311.321,1297.74
poke.jpg,4,0.344916,0.147239,0.513606,0.010787,1.15228,0.822166,0.343596,0.706895,1.64331,1.80345,0.407918,0.432546,2.96173,6.40257,11.7691,18.5924,25.642,33.3514,107.048
4000x3000.png,5,17.2169,9.17446,27.1689,2.04471,59.1661,37.8605,15.5708,26.7068,113.241,118.099,52.9936,54.2351,194.372,368.592,664.311,1050.12,1543.19,1413.49,5767.55
6000x6000.png,5,56.2758,23.4589,77.8789,6.38941,184.447,116.605,51.1402,95.5585,326.257,325.091,179.788,189.122,565.582,1090.8,1980.08,3187.48,4615.11,4595.87,17666.9
8k.jpeg,5,4.3789,2.16429,6.41743,0.319998,14.0935,9.03199,3.91273,7.57358,22.1777,23.1512,5.28184,4.54001,44.5008,84.4601,153.426,243.275,362.887,309.254,1300.85
poke.jpg,5,0.341786,0.155349,0.523457,0.011675,1.39603,0.869281,0.316935,0.674986,1.61667,1.78715,0.367286,0.367634,3.05953,6.50018,11.6562,18.5002,25.7705,33.4256,107.34
4000x3000.png,6,-1022.45,8.57018,25.8342,2.20123,60.8761,38.7681,17.5703,30.5717,122.74,113.85,58.2373,56.6097,206.401,389.59,664.877,1049.88,1535.49,1424.63,4784.24
6000x6000.png,6,55.8018,24.5064,80.5744,6.39345,178.295,115.068,47.8137,95.8794,325.866,312.363,229.367,176.499,554.547,1094.19,1975.81,3138.23,4636.62,4599.32,17647.1
8k.jpeg,6,4.75629,2.26218,6.57895,0.295056,15.4224,8.94984,3.9835,7.30826,22.021,23.2222,5.29828,4.55105,43.4939,84.3859,152.173,242.16,352.378,310.628,1289.87
poke.jpg,6,0.404784,0.161149,0.589891,0.016545,1.18785,0.901845,0.310866,0.708179,1.72344,1.80171,0.37647,0.391065,3.03192,7.03195,11.6544,18.488,25.8968,33.4113,108.088
