Job,Case,Threads,Schedule,Init,Elapsed_s,CPI,Physical_Cores,Physical_Cores_Used,Memory_Bound_pct,Cache_Bound_pct,DRAM_Bound_pct,NUMA_Remote_pct
824168,00_t10_static_serial,10,static,serial,9.795,0.301,41.9,8.373,1.9,2.6,2.1,0.0
824168,01_t10_static_parallel-static,10,static,parallel-static,9.701,0.3,42.3,8.453,2.0,2.3,1.9,0.0
824168,02_t10_dynamic_1_serial,10,"dynamic,1",serial,9.436,0.293,42.2,8.448,1.7,2.8,2.1,0.0
824168,03_t10_dynamic_1_parallel-static,10,"dynamic,1",parallel-static,9.434,0.293,42.3,8.453,1.6,2.9,2.1,0.0
824168,04_t20_static_serial,20,static,serial,6.5,0.359,76.2,15.245,10.8,5.6,64.3,0.0
824168,05_t20_static_parallel-static,20,static,parallel-static,5.654,0.304,73.7,14.743,2.0,2.7,1.9,0.0
824168,06_t20_dynamic_1_serial,20,"dynamic,1",serial,6.26,0.346,75.1,15.015,13.7,9.7,69.0,100.0
824168,07_t20_dynamic_1_parallel-static,20,"dynamic,1",parallel-static,5.701,0.311,74.0,14.805,5.4,6.1,1.2,0.0
824168,08_t20_dynamic_1_parallel-runtime,20,"dynamic,1",parallel-runtime,6.192,0.346,76.3,15.252,13.5,9.5,69.6,0.0
824169,00_t10_static_serial,10,static,serial,9.729,0.299,41.9,8.381,1.6,2.4,2.1,0.0
824169,01_t10_static_parallel-static,10,static,parallel-static,9.678,0.299,42.2,8.444,1.8,2.4,2.2,0.0
824169,02_t10_dynamic_1_serial,10,"dynamic,1",serial,9.541,0.293,41.6,8.324,1.4,2.9,2.6,0.0
824169,03_t10_dynamic_1_parallel-static,10,"dynamic,1",parallel-static,9.395,0.293,42.3,8.465,1.5,2.9,1.8,0.0
824169,04_t20_static_serial,20,static,serial,6.486,0.357,76.3,15.262,10.5,5.7,63.7,0.0
824169,05_t20_static_parallel-static,20,static,parallel-static,5.646,0.305,74.1,14.818,2.2,3.1,2.1,0.0
824169,06_t20_dynamic_1_serial,20,"dynamic,1",serial,6.179,0.343,75.6,15.119,13.3,9.3,69.9,0.0
824169,07_t20_dynamic_1_parallel-static,20,"dynamic,1",parallel-static,5.715,0.311,74.1,14.827,5.8,6.0,1.6,0.0
824169,08_t20_dynamic_1_parallel-runtime,20,"dynamic,1",parallel-runtime,6.084,0.338,75.4,15.088,11.5,7.9,69.5,0.0
