Job,Case,Threads,Init,Schedule,Control_ms,Work_Mean_ms,Work_CV_pct,Rows_Min,Rows_Max,First_Half_Work_ms,Second_Half_Work_ms
824168,t10_static_serial,10,serial,static,9.98403,8.693878000000002,8.01934177536505,600,600,8.56277,8.824985999999999
824169,t10_static_serial,10,serial,static,10.0535,8.76877,8.226881610597188,600,600,8.297723999999999,9.239816000000001
824168,t10_static_parallel-static,10,parallel-static,static,9.18696,8.843641,7.029245214187305,600,600,8.534915999999999,9.152366
824169,t10_static_parallel-static,10,parallel-static,static,9.20512,8.375686,9.491557989062732,600,600,7.580832000000001,9.170539999999999
824168,t10_dynamic_1_serial,10,serial,"dynamic,1",9.15481,8.348523,0.2018697246189591,587,654,8.343779999999999,8.353266000000001
824169,t10_dynamic_1_serial,10,serial,"dynamic,1",9.17989,8.374236999999999,0.2233882473160275,585,645,8.368964,8.37951
824168,t10_dynamic_1_parallel-static,10,parallel-static,"dynamic,1",8.37815,8.357555999999999,0.03482702229221222,586,652,8.357208,8.357904
824169,t10_dynamic_1_parallel-static,10,parallel-static,"dynamic,1",8.38273,8.364581,0.016585442579566626,585,654,8.364488,8.364673999999999
824168,t20_static_serial,20,serial,static,6.86379,4.818077000000001,10.054724907509085,300,300,4.495552,5.1406019999999994
824169,t20_static_serial,20,serial,static,6.69138,4.8305995,8.333849543511212,300,300,4.504433000000001,5.156766
824168,t20_static_parallel-static,20,parallel-static,static,4.56831,3.9009435000000003,6.6291575256848825,300,300,4.005547,3.79634
824169,t20_static_parallel-static,20,parallel-static,static,3.82874,3.8036485,0.11304080085395427,300,300,3.800654,3.8066429999999998
824168,t20_dynamic_1_serial,20,serial,"dynamic,1",6.21872,4.7306355,0.48802250092651034,278,343,4.729207,4.732063999999999
824169,t20_dynamic_1_serial,20,serial,"dynamic,1",6.23013,4.7198905,0.4002894848199756,277,346,4.71523,4.724551
824168,t20_dynamic_1_parallel-static,20,parallel-static,"dynamic,1",4.5248,4.4985135,0.07309215892330487,290,338,4.499205,4.497822
824169,t20_dynamic_1_parallel-static,20,parallel-static,"dynamic,1",4.54492,4.516137,0.07877918963124937,292,340,4.514429,4.5178449999999994
824168,t20_dynamic_1_parallel-runtime,20,parallel-runtime,"dynamic,1",4.33869,4.3042275000000005,0.10097940711491016,289,310,4.302179000000001,4.3062759999999995
824169,t20_dynamic_1_parallel-runtime,20,parallel-runtime,"dynamic,1",4.64593,4.6175435,0.0915997330961085,275,343,4.616965,4.6181220000000005
