Taps,Threads,Kernel,Off_AVX2_div_OMP_AVX2
3,1,AoS direto,0.9409030249268602
5,1,AoS direto,0.8793811010018696
7,1,AoS direto,0.8712922782723579
9,1,AoS direto,0.8809429059488545
11,1,AoS direto,0.8780340210528232
3,1,SoA separável,0.956008491199402
5,1,SoA separável,0.9347911288745314
7,1,SoA separável,0.9997850765608273
9,1,SoA separável,1.1179104871147285
11,1,SoA separável,1.042502756685387
3,20,AoS direto,0.9429153331399888
5,20,AoS direto,0.8820644014541758
7,20,AoS direto,0.8713314310806379
9,20,AoS direto,0.8814123030226428
11,20,AoS direto,0.8681930904875179
3,20,SoA separável,1.0056618259467844
5,20,SoA separável,0.934647183136944
7,20,SoA separável,0.9926225082896492
9,20,SoA separável,1.2185563840339684
11,20,SoA separável,1.011242461606413
