Taps,Threads,Build,AoS_Direct_div_Separable
3,1,off-avx2,0.9283936501834494
5,1,off-avx2,1.2216236756506453
7,1,off-avx2,1.528024185874748
9,1,off-avx2,1.7941061157135645
11,1,off-avx2,2.518637478310064
3,1,omp-avx2,0.9432982881737229
5,1,omp-avx2,1.2985984956013892
7,1,omp-avx2,1.7533677455408794
9,1,omp-avx2,2.2767083181089918
11,1,omp-avx2,2.990415463720864
3,20,off-avx2,0.8722093561430588
5,20,off-avx2,1.2190282942503194
7,20,off-avx2,1.5197946940074236
9,20,off-avx2,1.6299818076223638
11,20,off-avx2,2.503469872198804
3,20,omp-avx2,0.9302507053159492
5,20,omp-avx2,1.29169861010935
7,20,omp-avx2,1.731353153850978
9,20,omp-avx2,2.253457015208505
11,20,omp-avx2,2.915958516438122
