Image,Taps,Threads,Build,Component,Samples,Median_ms,Min_ms,Max_ms,Mean_ms,StdDev_ms
6000x6000.png,11,1,off-avx2,AoS_Direct,5,6932.020113,6922.053428,6959.592182,6936.746623,15.757427
6000x6000.png,11,1,off-avx2,AoS_to_SoA,5,73.189452,71.001142,75.63707,73.168699,1.955519
6000x6000.png,11,1,off-avx2,SoA_Separable_Horizontal,5,873.170428,869.868442,876.185472,873.444344,2.677495
6000x6000.png,11,1,off-avx2,SoA_Separable_Kernel,5,2752.289749,2747.306121,2757.057642,2752.07866,3.475905
6000x6000.png,11,1,off-avx2,SoA_Separable_Vertical,5,1876.330774,1875.123822,1883.887214,1878.634316,4.242167
6000x6000.png,11,1,omp-avx2,AoS_Direct,5,7894.933393,7888.721509,7915.607236,7897.531949,10.55062
6000x6000.png,11,1,omp-avx2,AoS_to_SoA,5,72.18054,70.987511,74.677029,72.611893,1.561891
6000x6000.png,11,1,omp-avx2,SoA_Separable_Horizontal,5,724.554535,722.446083,731.934103,726.369697,4.304083
6000x6000.png,11,1,omp-avx2,SoA_Separable_Kernel,5,2640.079109,2637.338104,2643.733806,2640.75266,2.668774
6000x6000.png,11,1,omp-avx2,SoA_Separable_Vertical,5,1913.781703,1908.145006,1920.714327,1914.382963,4.646459
6000x6000.png,11,20,off-avx2,AoS_Direct,5,399.500688,399.221191,459.883688,411.531345,27.03042
6000x6000.png,11,20,off-avx2,AoS_to_SoA,5,7.683213,7.513109,8.664774,7.834936,0.472431
6000x6000.png,11,20,off-avx2,SoA_Separable_Horizontal,5,50.72533,50.659686,50.821145,50.732093,0.057847
6000x6000.png,11,20,off-avx2,SoA_Separable_Kernel,5,159.578788,159.404444,159.796613,159.570552,0.147814
6000x6000.png,11,20,off-avx2,SoA_Separable_Vertical,5,108.82061,108.669627,109.071283,108.838459,0.148283
6000x6000.png,11,20,omp-avx2,AoS_Direct,5,460.151886,455.105722,485.39768,464.579223,12.585815
6000x6000.png,11,20,omp-avx2,AoS_to_SoA,5,7.619562,7.588839,7.753343,7.640357,0.064733
6000x6000.png,11,20,omp-avx2,SoA_Separable_Horizontal,5,42.389555,42.121993,54.022873,46.298094,5.70228
6000x6000.png,11,20,omp-avx2,SoA_Separable_Kernel,5,157.804675,153.515594,192.27714,163.978981,16.261282
6000x6000.png,11,20,omp-avx2,SoA_Separable_Vertical,5,111.880845,111.393601,138.254267,117.680887,11.621747
6000x6000.png,3,1,off-avx2,AoS_Direct,5,1520.507747,1515.519958,1563.274738,1528.227884,19.73162
6000x6000.png,3,1,off-avx2,AoS_to_SoA,5,75.384223,71.740549,76.074731,74.732175,1.712938
6000x6000.png,3,1,off-avx2,SoA_Separable_Horizontal,5,245.367901,244.850386,245.41058,245.269134,0.235295
6000x6000.png,3,1,off-avx2,SoA_Separable_Kernel,5,1637.783441,1609.038552,1692.031079,1647.153369,32.11454
6000x6000.png,3,1,off-avx2,SoA_Separable_Vertical,5,1392.410796,1363.694392,1447.180693,1401.884234,32.294162
6000x6000.png,3,1,omp-avx2,AoS_Direct,5,1616.00899,1610.889561,1618.86904,1615.410584,3.546747
6000x6000.png,3,1,omp-avx2,AoS_to_SoA,5,74.571741,70.609031,76.673533,74.439425,2.32491
6000x6000.png,3,1,omp-avx2,SoA_Separable_Horizontal,5,328.205559,327.728441,332.901657,329.439163,2.252359
6000x6000.png,3,1,omp-avx2,SoA_Separable_Kernel,5,1713.147379,1709.563995,1728.296204,1715.14658,7.545908
6000x6000.png,3,1,omp-avx2,SoA_Separable_Vertical,5,1382.710064,1379.019911,1400.480129,1385.707417,8.687775
6000x6000.png,3,20,off-avx2,AoS_Direct,5,88.085869,87.413232,88.584222,88.051328,0.52928
6000x6000.png,3,20,off-avx2,AoS_to_SoA,5,7.703959,7.550648,7.773338,7.688526,0.085046
6000x6000.png,3,20,off-avx2,SoA_Separable_Horizontal,5,18.381429,18.327865,18.437665,18.381405,0.046949
6000x6000.png,3,20,off-avx2,SoA_Separable_Kernel,5,100.991658,100.845199,101.57911,101.154741,0.327054
6000x6000.png,3,20,off-avx2,SoA_Separable_Vertical,5,82.574333,82.517334,83.141445,82.773336,0.311706
6000x6000.png,3,20,omp-avx2,AoS_Direct,5,93.418641,92.989138,93.605169,93.329867,0.25936
6000x6000.png,3,20,omp-avx2,AoS_to_SoA,5,7.588796,7.42521,7.816339,7.630133,0.156273
6000x6000.png,3,20,omp-avx2,SoA_Separable_Horizontal,5,19.564807,19.326694,23.096926,20.217933,1.615468
6000x6000.png,3,20,omp-avx2,SoA_Separable_Kernel,5,100.42308,100.035219,109.704268,102.532941,4.123833
6000x6000.png,3,20,omp-avx2,SoA_Separable_Vertical,5,80.73309,80.470412,86.607342,82.315008,2.623004
6000x6000.png,5,1,off-avx2,AoS_Direct,5,2217.923388,2210.809383,2224.234032,2217.769443,5.441076
6000x6000.png,5,1,off-avx2,AoS_to_SoA,5,74.257446,71.822899,75.437917,74.183906,1.430693
6000x6000.png,5,1,off-avx2,SoA_Separable_Horizontal,5,338.522936,338.391723,346.984077,340.500637,3.697413
6000x6000.png,5,1,off-avx2,SoA_Separable_Kernel,5,1815.553703,1812.881405,1821.312814,1816.212202,3.094945
6000x6000.png,5,1,off-avx2,SoA_Separable_Vertical,5,1475.409676,1474.328737,1477.410328,1475.711565,1.40009
6000x6000.png,5,1,omp-avx2,AoS_Direct,5,2522.141294,2517.450527,2543.473818,2527.833921,10.961257
6000x6000.png,5,1,omp-avx2,AoS_to_SoA,5,73.062463,71.756751,74.759516,73.01313,1.151257
6000x6000.png,5,1,omp-avx2,SoA_Separable_Horizontal,5,445.203431,444.755668,454.30565,447.151924,4.04596
6000x6000.png,5,1,omp-avx2,SoA_Separable_Kernel,5,1942.202538,1936.39727,1943.9963,1940.926045,3.283899
6000x6000.png,5,1,omp-avx2,SoA_Separable_Vertical,5,1493.506249,1489.69065,1498.217134,1493.774121,4.004585
6000x6000.png,5,20,off-avx2,AoS_Direct,5,128.663692,128.415421,131.931437,129.313357,1.477655
6000x6000.png,5,20,off-avx2,AoS_to_SoA,5,7.578599,7.45395,7.673363,7.56975,0.089871
6000x6000.png,5,20,off-avx2,SoA_Separable_Horizontal,5,19.857049,19.834545,20.086912,19.932817,0.125247
6000x6000.png,5,20,off-avx2,SoA_Separable_Kernel,5,105.546108,105.375486,106.127204,105.627126,0.295007
6000x6000.png,5,20,off-avx2,SoA_Separable_Vertical,5,85.711496,85.32452,86.040292,85.694309,0.25854
6000x6000.png,5,20,omp-avx2,AoS_Direct,5,145.866551,145.48981,149.140318,146.773364,1.62281
6000x6000.png,5,20,omp-avx2,AoS_to_SoA,5,7.613829,7.529568,7.688252,7.613091,0.059466
6000x6000.png,5,20,omp-avx2,SoA_Separable_Horizontal,5,26.150783,25.979586,26.448515,26.208532,0.216524
6000x6000.png,5,20,omp-avx2,SoA_Separable_Kernel,5,112.92615,112.828007,115.561545,113.49696,1.167001
6000x6000.png,5,20,omp-avx2,SoA_Separable_Vertical,5,86.85065,86.775367,89.11303,87.288428,1.021524
6000x6000.png,7,1,off-avx2,AoS_Direct,5,3342.232402,3334.668625,3435.442844,3359.386754,42.676353
6000x6000.png,7,1,off-avx2,AoS_to_SoA,5,72.912527,71.736889,74.299546,73.063664,0.979636
6000x6000.png,7,1,off-avx2,SoA_Separable_Horizontal,5,582.354952,580.542902,586.299055,582.834672,2.338959
6000x6000.png,7,1,off-avx2,SoA_Separable_Kernel,5,2187.290249,2181.71602,2195.04508,2188.112968,6.559081
6000x6000.png,7,1,off-avx2,SoA_Separable_Vertical,5,1603.360049,1599.361068,1613.628939,1605.278296,5.837703
6000x6000.png,7,1,omp-avx2,AoS_Direct,5,3835.948608,3825.665055,3850.519647,3836.761999,9.694847
6000x6000.png,7,1,omp-avx2,AoS_to_SoA,5,72.943554,71.161909,74.972768,73.220267,1.648503
6000x6000.png,7,1,omp-avx2,SoA_Separable_Horizontal,5,550.157522,549.708591,553.779933,550.798633,1.703128
6000x6000.png,7,1,omp-avx2,SoA_Separable_Kernel,5,2187.76045,2178.877877,2196.575351,2187.427787,6.537644
6000x6000.png,7,1,omp-avx2,SoA_Separable_Vertical,5,1637.995417,1628.720355,1642.795418,1636.629153,5.290777
6000x6000.png,7,20,off-avx2,AoS_Direct,5,192.465683,192.129037,192.592292,192.423058,0.177994
6000x6000.png,7,20,off-avx2,AoS_to_SoA,5,7.584899,7.526511,7.694327,7.609603,0.074113
6000x6000.png,7,20,off-avx2,SoA_Separable_Horizontal,5,33.997853,33.723871,35.655246,34.252694,0.800297
6000x6000.png,7,20,off-avx2,SoA_Separable_Kernel,5,126.639265,126.556949,140.824007,129.485753,6.339034
6000x6000.png,7,20,off-avx2,SoA_Separable_Vertical,5,92.915394,92.480814,105.168761,95.233059,5.559199
6000x6000.png,7,20,omp-avx2,AoS_Direct,5,220.886882,220.514421,233.961324,223.372643,5.922829
6000x6000.png,7,20,omp-avx2,AoS_to_SoA,5,7.938108,7.808278,9.421103,8.486905,0.825698
6000x6000.png,7,20,omp-avx2,SoA_Separable_Horizontal,5,32.036642,32.007317,32.420606,32.112277,0.174669
6000x6000.png,7,20,omp-avx2,SoA_Separable_Kernel,5,127.580489,127.091411,129.62347,128.074056,1.025698
6000x6000.png,7,20,omp-avx2,SoA_Separable_Vertical,5,95.573172,95.010797,97.607266,95.96178,1.007482
6000x6000.png,9,1,off-avx2,AoS_Direct,5,4860.228496,4860.099255,4880.101474,4864.82952,8.664929
6000x6000.png,9,1,off-avx2,AoS_to_SoA,5,71.743215,71.415457,74.549754,72.726714,1.535329
6000x6000.png,9,1,off-avx2,SoA_Separable_Horizontal,5,730.237941,729.099853,739.662422,732.761701,4.645285
6000x6000.png,9,1,off-avx2,SoA_Separable_Kernel,5,2708.997229,2694.317993,2724.855686,2707.967287,11.245671
6000x6000.png,9,1,off-avx2,SoA_Separable_Vertical,5,1973.850139,1962.694275,1995.755833,1975.205587,13.210901
6000x6000.png,9,1,omp-avx2,AoS_Direct,5,5517.075469,5508.86152,5539.027852,5520.089696,12.23832
6000x6000.png,9,1,omp-avx2,AoS_to_SoA,5,74.188443,70.699055,74.894867,73.254502,1.776349
6000x6000.png,9,1,omp-avx2,SoA_Separable_Horizontal,5,649.786563,649.017913,660.419004,651.966203,4.825805
6000x6000.png,9,1,omp-avx2,SoA_Separable_Kernel,5,2423.268464,2414.409304,2430.396206,2421.940858,6.036091
6000x6000.png,9,1,omp-avx2,SoA_Separable_Vertical,5,1766.771071,1762.967479,1781.261434,1769.974655,7.417242
6000x6000.png,9,20,off-avx2,AoS_Direct,5,280.111469,279.895046,280.379192,280.142477,0.181217
6000x6000.png,9,20,off-avx2,AoS_to_SoA,5,7.653131,7.590445,7.795142,7.665012,0.082828
6000x6000.png,9,20,off-avx2,SoA_Separable_Horizontal,5,42.10577,42.064581,44.833938,42.697646,1.201692
6000x6000.png,9,20,off-avx2,SoA_Separable_Kernel,5,171.849445,171.051772,180.135897,173.354543,3.810876
6000x6000.png,9,20,off-avx2,SoA_Separable_Vertical,5,129.714201,128.961688,135.301959,130.656896,2.616676
6000x6000.png,9,20,omp-avx2,AoS_Direct,5,317.798456,317.47315,364.496058,327.414235,20.751617
6000x6000.png,9,20,omp-avx2,AoS_to_SoA,5,7.623259,7.399883,7.697123,7.567332,0.126277
6000x6000.png,9,20,omp-avx2,SoA_Separable_Horizontal,5,37.870025,37.675937,38.126021,37.904171,0.191549
6000x6000.png,9,20,omp-avx2,SoA_Separable_Kernel,5,141.027077,140.586288,141.891675,141.177979,0.513316
6000x6000.png,9,20,omp-avx2,SoA_Separable_Vertical,5,103.250065,102.910351,103.765654,103.273807,0.336749
