Round,Schedule,Static_ms,Schedule_ms,Static_div_Schedule
0,"static,1",5.228917,4.939756,1.0585375067108578
1,"static,1",5.381826,4.809613,1.1189727739009356
2,"static,1",5.351545,4.890279,1.0943230437363594
3,"static,1",5.232905,4.976836,1.051452167602067
4,"static,1",5.220376,4.978861,1.048508082471071
5,"static,1",5.208373,4.985493,1.0447057091445118
6,"static,1",5.186142,4.845594,1.0702799285288862
7,"static,1",5.261688,4.884947,1.0771228428885717
8,"static,1",5.253522,4.826962,1.0883702834205036
9,"static,1",5.172015,4.794148,1.0788183844136643
10,"static,1",5.209715,4.941944,1.0541833335221928
11,"static,1",5.274997,4.941579,1.0674719558262653
0,"static,16",5.228917,5.456516,0.9582885856103053
1,"static,16",5.381826,5.257281,1.0236900024936846
2,"static,16",5.351545,5.232582,1.0227350474392947
3,"static,16",5.232905,5.481268,0.9546887690950342
4,"static,16",5.220376,5.320393,0.9812012007383665
5,"static,16",5.208373,5.520374,0.9434819090155847
6,"static,16",5.186142,5.321007,0.9746542336817073
7,"static,16",5.261688,5.321378,0.9887829806489974
8,"static,16",5.253522,5.27816,0.9953320854237083
9,"static,16",5.172015,5.420411,0.9541739547056488
10,"static,16",5.209715,5.326861,0.9780084368636613
11,"static,16",5.274997,5.394359,0.9778728112088944
0,"dynamic,1",5.228917,4.945167,1.0573792553416297
1,"dynamic,1",5.381826,4.798014,1.121677844208041
2,"dynamic,1",5.351545,4.827015,1.1086655003143764
3,"dynamic,1",5.232905,4.810078,1.0879043957291337
4,"dynamic,1",5.220376,4.770303,1.0943489333906042
5,"dynamic,1",5.208373,4.767638,1.09244305041616
6,"dynamic,1",5.186142,4.806541,1.0789759205216392
7,"dynamic,1",5.261688,4.779775,1.1008233651165589
8,"dynamic,1",5.253522,4.836643,1.0861918070033287
9,"dynamic,1",5.172015,4.775843,1.0829533131637703
10,"dynamic,1",5.209715,4.859517,1.0720643635982752
11,"dynamic,1",5.274997,4.785578,1.1022695691095203
0,"dynamic,16",5.228917,6.520484,0.8019216058194454
1,"dynamic,16",5.381826,5.036997,1.0684592426797157
2,"dynamic,16",5.351545,5.041129,1.0615766825248867
3,"dynamic,16",5.232905,4.950643,1.0570152200431338
4,"dynamic,16",5.220376,5.04997,1.0337439628354228
5,"dynamic,16",5.208373,5.260977,0.9900010967544622
6,"dynamic,16",5.186142,5.013618,1.034411077987992
7,"dynamic,16",5.261688,5.050014,1.0419155273628946
8,"dynamic,16",5.253522,5.009037,1.0488087830055957
9,"dynamic,16",5.172015,5.008034,1.0327435876034388
10,"dynamic,16",5.209715,4.832979,1.0779510939319208
11,"dynamic,16",5.274997,5.047731,1.0450233976414354
