Schedule,Touch_Mode,Total_Median_ms,Total_Min_ms,Total_Max_ms,Copy_Median_ms,Horizontal_Median_ms,Vertical_Median_ms
static,fresh,21.20663,21.077859,26.38831,10.410501,4.453214,6.319783
static,pretouch-static,17.33795,16.594596,17.815426,6.132746,4.859561,6.2916
"static,1",fresh,70.699038,68.418855,80.66017,54.204117,5.782025,10.46892
"static,1",pretouch-static,28.83203,28.721547,29.02098,8.766765,7.850668,12.237769
"static,16",fresh,25.391278,24.859406,30.210652,14.253151,4.598567,6.484231
"static,16",pretouch-static,27.91935,27.397941,28.197553,8.820991,7.902853,11.162469
"dynamic,1",fresh,72.162091,71.488961,82.171318,54.121258,6.251924,11.81129
"dynamic,1",pretouch-static,29.974858,29.80704,30.369781,8.79741,7.661782,13.482587
"dynamic,16",fresh,27.173154,26.711291,31.190507,14.358579,4.907808,7.903879
"dynamic,16",pretouch-static,28.724272,28.539409,29.045958,8.632342,7.641234,12.432399
"dynamic,64",fresh,23.508393,22.697474,26.839987,11.13773,4.912357,7.355035
"dynamic,64",pretouch-static,28.58495,28.365894,28.807889,8.742444,7.72204,12.153958
