Operation,Schedule,Static_median_ms,Static_min_ms,Static_max_ms,Dynamic_median_ms,Dynamic_min_ms,Dynamic_max_ms,Static_over_dynamic_median,Ranges_overlap
Adjust_Brightness,"dynamic,1",12.266039,12.113011,12.318745,12.25631,12.161045,12.295862,1.0007937951961072,True
Adjust_Brightness,"dynamic,16",12.266039,12.113011,12.318745,12.376501,12.301605,12.403356,0.9910748603341122,True
Equalize_Histogram,"dynamic,1",13.184511,13.077658,13.943984,13.352545,13.117389,14.088831,0.987415582572461,True
Equalize_Histogram,"dynamic,16",13.184511,13.077658,13.943984,13.205556,13.05718,13.367696,0.9984063525988607,True
Flip_Horizontal,"dynamic,1",5.843055,5.70606,5.970556,5.389741,5.350866,5.63439,1.0841068244281125,False
Flip_Horizontal,"dynamic,16",5.843055,5.70606,5.970556,5.531046,5.436144,5.570354,1.0564104872749205,False
Gaussian_11x11,"dynamic,1",553.177937,552.731794,557.34479,556.910779,556.354634,563.069758,0.9932972351393472,True
Gaussian_11x11,"dynamic,16",553.177937,552.731794,557.34479,562.785895,562.420792,566.929965,0.9829278628242807,False
Negative,"dynamic,1",7.795477,7.711725,7.832142,7.777085,7.71301,7.823585,1.0023648963589828,True
Negative,"dynamic,16",7.795477,7.711725,7.832142,7.852043,7.569402,7.945435,0.992796014998899,True
Zoom_In,"dynamic,1",26.532041,23.686763,27.671573,82.696445,75.321854,83.546613,0.32083653656454036,False
Zoom_In,"dynamic,16",26.532041,23.686763,27.671573,31.929702,31.13089,34.540326,0.8309517263894289,False
