Image,Operation,Layout,Threads,Scalar_build,SIMD_build,Scalar_median_ms,Scalar_min_ms,Scalar_max_ms,SIMD_median_ms,SIMD_min_ms,SIMD_max_ms,Speedup_scalar_over_simd
4000x3000.png,Gaussian_11x11,AoS_Naive,1,off,omp,3058.34172,3058.047364,3059.169352,3060.048799,3058.665736,3065.997466,0.999442139942161
4000x3000.png,Gaussian_11x11,AoS_Naive,2,off,omp,1532.016753,1530.687852,1536.108061,1531.85428,1530.319628,1538.683354,1.0001060629605056
4000x3000.png,Gaussian_11x11,AoS_Naive,4,off,omp,768.424405,766.148002,772.435196,765.648944,765.022709,774.270193,1.0036249785515279
4000x3000.png,Gaussian_11x11,AoS_Naive,8,off,omp,425.829912,425.14111,428.192721,428.46264,425.698217,430.31652,0.9938554082568318
4000x3000.png,Gaussian_11x11,AoS_Naive,12,off,omp,294.458567,294.220784,312.334354,294.797349,294.691109,298.43711,0.9988507969927505
4000x3000.png,Gaussian_11x11,AoS_Naive,16,off,omp,220.97047,220.854278,221.267791,221.041244,220.836728,224.080791,0.9996798154103765
4000x3000.png,Gaussian_11x11,AoS_Naive,20,off,omp,177.375476,177.240512,177.493737,177.500552,177.324799,181.600782,0.9992953486702396
4000x3000.png,Gaussian_11x11,SoA_Naive,1,off,omp,3067.050413,3066.84758,3074.789371,6178.860401,6177.79136,6186.919465,0.4963780072622489
4000x3000.png,Gaussian_11x11,SoA_Naive,2,off,omp,1534.829117,1534.618889,1536.183217,3091.768013,3090.420091,3094.945894,0.49642441171086665
4000x3000.png,Gaussian_11x11,SoA_Naive,4,off,omp,771.621442,768.233581,775.600905,1558.180506,1549.742374,1627.834729,0.4952067100241338
4000x3000.png,Gaussian_11x11,SoA_Naive,8,off,omp,429.666528,426.97761,430.723061,865.524925,860.399837,866.971979,0.4964230556387501
4000x3000.png,Gaussian_11x11,SoA_Naive,12,off,omp,295.585823,295.417327,310.919357,595.049351,594.649803,597.857291,0.49674169462290535
4000x3000.png,Gaussian_11x11,SoA_Naive,16,off,omp,221.59469,221.167118,221.947999,445.883817,445.574844,447.629702,0.4969785436281039
4000x3000.png,Gaussian_11x11,SoA_Naive,20,off,omp,177.674621,177.57473,177.924443,358.806939,357.206378,459.556534,0.49518167484492265
4000x3000.png,Gaussian_11x11,SoA_Separable,1,off,omp,229.808856,229.479646,229.866157,135.516173,135.225851,136.1004,1.6958039096927566
4000x3000.png,Gaussian_11x11,SoA_Separable,2,off,omp,115.993266,115.197417,119.018422,72.361274,69.331376,73.853689,1.6029743478535219
4000x3000.png,Gaussian_11x11,SoA_Separable,4,off,omp,60.207672,58.117304,60.310081,37.152427,34.925699,37.572868,1.6205582477828433
4000x3000.png,Gaussian_11x11,SoA_Separable,8,off,omp,33.957277,33.63917,34.224497,20.969387,20.418815,21.33066,1.6193738519871848
4000x3000.png,Gaussian_11x11,SoA_Separable,12,off,omp,23.691983,23.495149,23.927814,14.80456,14.705413,15.022997,1.6003165916447364
4000x3000.png,Gaussian_11x11,SoA_Separable,16,off,omp,17.826718,17.756783,17.940083,11.438233,11.268207,11.513533,1.5585202714440245
4000x3000.png,Gaussian_11x11,SoA_Separable,20,off,omp,14.385094,14.19638,14.54234,9.681294,9.533808,15.443587,1.485864802783595
4000x3000.png,Grayscale,AoS,1,off,omp,46.097137,46.054638,46.464824,47.852556,47.838397,48.209707,0.9633160870236481
4000x3000.png,Grayscale,AoS,2,off,omp,24.263333,24.24829,24.378621,25.198961,24.525091,25.233366,0.9628703739015271
4000x3000.png,Grayscale,AoS,4,off,omp,12.769016,12.639701,12.816025,13.272698,13.171729,13.457107,0.9620512724692448
4000x3000.png,Grayscale,AoS,8,off,omp,7.488645,7.303784,7.572454,7.766748,7.513936,7.914396,0.9641931217544332
4000x3000.png,Grayscale,AoS,12,off,omp,5.456192,5.439407,5.539852,5.658494,5.59276,6.092272,0.9642480843842902
4000x3000.png,Grayscale,AoS,16,off,omp,4.528516,4.492654,4.666531,4.606324,4.560271,4.885654,0.9831084396147557
4000x3000.png,Grayscale,AoS,20,off,omp,3.961668,3.903003,3.978186,4.077264,4.029469,4.099239,0.9716486349669777
4000x3000.png,Grayscale,SoA,1,off,omp,38.482439,38.427883,38.790837,38.487874,38.401148,41.660968,0.999858786692141
4000x3000.png,Grayscale,SoA,2,off,omp,19.670437,19.650573,21.176654,19.686007,19.676115,19.94364,0.9992090828780057
4000x3000.png,Grayscale,SoA,4,off,omp,10.183648,10.098594,10.210766,10.176247,9.754628,10.216463,1.0007272818751354
4000x3000.png,Grayscale,SoA,8,off,omp,5.500795,5.464064,5.740433,5.527744,5.352664,5.646072,0.9951247742297762
4000x3000.png,Grayscale,SoA,12,off,omp,3.802248,3.793543,3.823135,3.80203,3.786864,3.822303,1.0000573377906015
4000x3000.png,Grayscale,SoA,16,off,omp,2.870788,2.862867,2.897765,2.866939,2.860754,2.873092,1.0013425468766515
4000x3000.png,Grayscale,SoA,20,off,omp,2.311838,2.287469,2.332061,2.282618,2.274247,2.33675,1.012801090677459
6000x6000.png,Gaussian_11x11,AoS_Naive,1,off,omp,9190.825251,9189.76847,9201.286679,9190.403258,9189.483217,9202.363279,1.0000459167011668
6000x6000.png,Gaussian_11x11,AoS_Naive,2,off,omp,4598.797761,4597.519058,4606.59363,4599.536432,4597.698158,4608.674166,0.9998394031635751
6000x6000.png,Gaussian_11x11,AoS_Naive,4,off,omp,2311.755209,2305.954882,2459.473105,2319.218662,2316.432964,2322.452873,0.9967819105967507
6000x6000.png,Gaussian_11x11,AoS_Naive,8,off,omp,1279.615002,1277.608293,1298.895213,1283.570455,1279.446422,1286.523549,0.9969183982191301
6000x6000.png,Gaussian_11x11,AoS_Naive,12,off,omp,883.941398,883.501456,885.060624,883.579662,883.496937,884.234447,1.0004093982869426
6000x6000.png,Gaussian_11x11,AoS_Naive,16,off,omp,666.073817,663.706114,701.643675,664.140037,663.666084,667.148236,1.0029117052011125
