Image,Operation,Build,Component,Median_ms,Min_ms,Max_ms
4000x3000.png,Gaussian_11x11,off,AoS direto: Kernel,177.375476,177.240512,177.493737
4000x3000.png,Gaussian_11x11,off,SoA ingênuo: AoS_to_SoA,1.73139,1.659858,1.824299
4000x3000.png,Gaussian_11x11,off,SoA ingênuo: End_to_End,181.923399,181.850192,182.274918
4000x3000.png,Gaussian_11x11,off,SoA ingênuo: Kernel,177.674621,177.57473,177.924443
4000x3000.png,Gaussian_11x11,off,SoA ingênuo: SoA_to_AoS,2.526176,2.227552,2.631354
4000x3000.png,Gaussian_11x11,off,SoA separável: AoS_to_SoA,1.73139,1.659858,1.824299
4000x3000.png,Gaussian_11x11,off,SoA separável: End_to_End,17.818443,17.575623,17.965025
4000x3000.png,Gaussian_11x11,off,SoA separável: Horizontal_Passes,5.887267,5.843757,5.95456
4000x3000.png,Gaussian_11x11,off,SoA separável: Kernel,14.385094,14.19638,14.54234
4000x3000.png,Gaussian_11x11,off,SoA separável: SoA_to_AoS,1.655507,1.624268,1.755632
4000x3000.png,Gaussian_11x11,off,SoA separável: Vertical_Passes,8.497827,8.352623,8.601245
4000x3000.png,Gaussian_11x11,off-avx2,AoS direto: Kernel,177.207452,177.045679,180.059348
4000x3000.png,Gaussian_11x11,off-avx2,SoA ingênuo: AoS_to_SoA,1.741613,1.672441,1.778553
4000x3000.png,Gaussian_11x11,off-avx2,SoA ingênuo: End_to_End,181.864593,181.698504,182.118391
4000x3000.png,Gaussian_11x11,off-avx2,SoA ingênuo: Kernel,177.754374,177.693258,177.961492
4000x3000.png,Gaussian_11x11,off-avx2,SoA ingênuo: SoA_to_AoS,2.211601,2.161488,2.635808
4000x3000.png,Gaussian_11x11,off-avx2,SoA separável: AoS_to_SoA,1.741613,1.672441,1.778553
4000x3000.png,Gaussian_11x11,off-avx2,SoA separável: End_to_End,17.895889,17.750141,18.099445
4000x3000.png,Gaussian_11x11,off-avx2,SoA separável: Horizontal_Passes,5.949284,5.876835,6.109079
4000x3000.png,Gaussian_11x11,off-avx2,SoA separável: Kernel,14.496951,14.421802,14.654073
4000x3000.png,Gaussian_11x11,off-avx2,SoA separável: SoA_to_AoS,1.65697,1.625931,1.697256
4000x3000.png,Gaussian_11x11,off-avx2,SoA separável: Vertical_Passes,8.544994,8.511033,8.580029
4000x3000.png,Gaussian_11x11,omp,AoS direto: Kernel,177.500552,177.324799,181.600782
4000x3000.png,Gaussian_11x11,omp,SoA ingênuo: AoS_to_SoA,1.720205,1.662277,1.898126
4000x3000.png,Gaussian_11x11,omp,SoA ingênuo: End_to_End,362.557003,361.635256,464.434822
4000x3000.png,Gaussian_11x11,omp,SoA ingênuo: Kernel,358.806939,357.206378,459.556534
4000x3000.png,Gaussian_11x11,omp,SoA ingênuo: SoA_to_AoS,2.708673,2.087787,3.164002
4000x3000.png,Gaussian_11x11,omp,SoA separável: AoS_to_SoA,1.720205,1.662277,1.898126
4000x3000.png,Gaussian_11x11,omp,SoA separável: End_to_End,13.15333,12.997274,18.947934
4000x3000.png,Gaussian_11x11,omp,SoA separável: Horizontal_Passes,4.747314,4.627166,7.295382
4000x3000.png,Gaussian_11x11,omp,SoA separável: Kernel,9.681294,9.533808,15.443587
4000x3000.png,Gaussian_11x11,omp,SoA separável: SoA_to_AoS,1.765711,1.710689,1.962548
4000x3000.png,Gaussian_11x11,omp,SoA separável: Vertical_Passes,4.93398,4.906642,8.148205
4000x3000.png,Gaussian_11x11,omp-avx2,AoS direto: Kernel,176.987048,176.892896,177.164329
4000x3000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: AoS_to_SoA,1.741448,1.690312,1.820745
4000x3000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: End_to_End,354.141858,353.737527,354.715027
4000x3000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: Kernel,350.120703,349.52553,350.138997
4000x3000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: SoA_to_AoS,2.521685,2.247923,2.761768
4000x3000.png,Gaussian_11x11,omp-avx2,SoA separável: AoS_to_SoA,1.741448,1.690312,1.820745
4000x3000.png,Gaussian_11x11,omp-avx2,SoA separável: End_to_End,11.541461,11.310263,11.739051
4000x3000.png,Gaussian_11x11,omp-avx2,SoA separável: Horizontal_Passes,4.192545,4.019086,4.274492
4000x3000.png,Gaussian_11x11,omp-avx2,SoA separável: Kernel,8.004675,7.911937,8.187611
