Image,Operation,Threads,Build,Layout,Kernel_median_ms,Kernel_min_ms,Kernel_max_ms
4000x3000.png,Gaussian_11x11,1,off,AoS_Naive,3058.34172,3058.047364,3059.169352
4000x3000.png,Gaussian_11x11,2,off,AoS_Naive,1532.016753,1530.687852,1536.108061
4000x3000.png,Gaussian_11x11,4,off,AoS_Naive,768.424405,766.148002,772.435196
4000x3000.png,Gaussian_11x11,8,off,AoS_Naive,425.829912,425.14111,428.192721
4000x3000.png,Gaussian_11x11,12,off,AoS_Naive,294.458567,294.220784,312.334354
4000x3000.png,Gaussian_11x11,16,off,AoS_Naive,220.97047,220.854278,221.267791
4000x3000.png,Gaussian_11x11,20,off,AoS_Naive,177.375476,177.240512,177.493737
4000x3000.png,Gaussian_11x11,1,off,SoA_Naive,3067.050413,3066.84758,3074.789371
4000x3000.png,Gaussian_11x11,2,off,SoA_Naive,1534.829117,1534.618889,1536.183217
4000x3000.png,Gaussian_11x11,4,off,SoA_Naive,771.621442,768.233581,775.600905
4000x3000.png,Gaussian_11x11,8,off,SoA_Naive,429.666528,426.97761,430.723061
4000x3000.png,Gaussian_11x11,12,off,SoA_Naive,295.585823,295.417327,310.919357
4000x3000.png,Gaussian_11x11,16,off,SoA_Naive,221.59469,221.167118,221.947999
4000x3000.png,Gaussian_11x11,20,off,SoA_Naive,177.674621,177.57473,177.924443
4000x3000.png,Gaussian_11x11,1,off,SoA_Separable,229.808856,229.479646,229.866157
4000x3000.png,Gaussian_11x11,2,off,SoA_Separable,115.993266,115.197417,119.018422
4000x3000.png,Gaussian_11x11,4,off,SoA_Separable,60.207672,58.117304,60.310081
4000x3000.png,Gaussian_11x11,8,off,SoA_Separable,33.957277,33.63917,34.224497
4000x3000.png,Gaussian_11x11,12,off,SoA_Separable,23.691983,23.495149,23.927814
4000x3000.png,Gaussian_11x11,16,off,SoA_Separable,17.826718,17.756783,17.940083
4000x3000.png,Gaussian_11x11,20,off,SoA_Separable,14.385094,14.19638,14.54234
