Build,Schedule,Total_median_ms
off,static,14060.480083999999
off,"dynamic,1",11504.143168
off,"dynamic,4",11503.662748
off,"dynamic,16",11574.9751
off,"dynamic,64",11936.44526
off,"dynamic,256",14352.724533999999
off-avx2,static,14522.908478
off-avx2,"dynamic,1",11961.241139
off-avx2,"dynamic,4",11964.4088
off-avx2,"dynamic,16",12021.143334
off-avx2,"dynamic,64",12416.408915
off-avx2,"dynamic,256",14941.274461
omp,static,14353.632846999999
omp,"dynamic,1",11774.319142
omp,"dynamic,4",11766.759053
omp,"dynamic,16",11808.087973
omp,"dynamic,64",12204.326346
omp,"dynamic,256",14689.189728
omp-avx2,static,14751.195469
omp-avx2,"dynamic,1",12145.906527
omp-avx2,"dynamic,4",12152.007054
omp-avx2,"dynamic,16",12202.226555
omp-avx2,"dynamic,64",12626.841509
omp-avx2,"dynamic,256",15197.238863999999
