Image,Operation,Threads,Scalar_build,SIMD_build,Scalar_median_ms,Scalar_min_ms,Scalar_max_ms,SIMD_median_ms,SIMD_min_ms,SIMD_max_ms,Speedup_scalar_over_simd
6000x6000.png,Adjust_Brightness,1,off,omp,186.466263,186.019159,187.423052,191.501272,190.922865,191.592039,0.9737076994454638
6000x6000.png,Adjust_Brightness,2,off,omp,96.10489,94.890433,96.292136,97.622027,96.33503,98.681816,0.9844590709021028
6000x6000.png,Adjust_Brightness,4,off,omp,51.40361,47.827938,53.70449,50.559148,49.928432,50.898073,1.0167024570904557
6000x6000.png,Adjust_Brightness,8,off,omp,27.321902,26.983092,27.699275,27.84192,27.369198,28.031742,0.9813224806335197
6000x6000.png,Adjust_Brightness,12,off,omp,18.864023,18.831292,19.134577,19.384404,18.907161,19.550119,0.9731546556706102
6000x6000.png,Adjust_Brightness,16,off,omp,14.298245,14.158927,14.511825,14.790823,14.524944,18.438019,0.9666970526251312
6000x6000.png,Adjust_Brightness,20,off,omp,11.542779,11.383402,13.609272,18.515691,11.730637,20.597844,0.623405251254193
6000x6000.png,Adjust_Contrast,1,off,omp,278.975999,278.781848,279.387241,280.858845,280.812443,281.377794,0.9932961128569764
6000x6000.png,Adjust_Contrast,2,off,omp,140.710223,140.380623,142.098728,142.705165,141.324401,143.494755,0.9860205340150093
6000x6000.png,Adjust_Contrast,4,off,omp,73.238606,71.477256,77.464414,73.387677,72.814271,73.957941,0.9979687189172102
6000x6000.png,Adjust_Contrast,8,off,omp,40.533105,40.335022,65.814144,40.438456,40.306553,41.110287,1.0023405690860203
6000x6000.png,Adjust_Contrast,12,off,omp,27.983713,27.701544,28.164132,28.142537,27.807383,28.291286,0.9943564434151761
6000x6000.png,Adjust_Contrast,16,off,omp,20.983791,20.58797,21.076262,21.288672,21.121404,36.953181,0.98567872152852
6000x6000.png,Adjust_Contrast,20,off,omp,17.111381,16.909946,17.275894,17.138489,16.974739,29.432647,0.998418296968887
6000x6000.png,Equalize_Histogram,1,off,omp,189.615232,189.066571,189.785166,189.646978,189.438242,190.024545,0.9998326047673695
6000x6000.png,Equalize_Histogram,2,off,omp,97.57884,95.65304,99.05844,98.036435,95.781799,99.090701,0.9953323986128219
6000x6000.png,Equalize_Histogram,4,off,omp,50.550881,48.847949,52.655445,51.3653,50.97903,51.515783,0.9841445684148638
6000x6000.png,Equalize_Histogram,8,off,omp,28.367494,27.569342,28.630476,28.162427,27.649577,28.415929,1.0072815812358786
6000x6000.png,Equalize_Histogram,12,off,omp,19.713367,19.671343,19.794239,19.775278,19.064983,19.791871,0.9968692728365185
6000x6000.png,Equalize_Histogram,16,off,omp,14.977449,14.85564,15.15414,14.906087,14.770348,26.426437,1.0047874401913797
6000x6000.png,Equalize_Histogram,20,off,omp,12.027016,11.913029,20.996517,12.618812,12.003849,21.267451,0.9531020828268144
6000x6000.png,Gaussian_11x11,1,off,omp,9537.242039,9535.275444,9549.367685,9557.724736,9552.670697,9571.256114,0.9978569484301165
6000x6000.png,Gaussian_11x11,2,off,omp,4780.869339,4776.865421,4800.635861,4781.510931,4779.927612,4826.565706,0.9998658181463436
6000x6000.png,Gaussian_11x11,4,off,omp,2421.862663,2406.37975,2551.99881,2436.882686,2423.899421,2493.519982,0.9938363783015527
6000x6000.png,Gaussian_11x11,8,off,omp,1329.849315,1328.375307,1334.617284,1347.364459,1332.144767,1365.572231,0.9870004408361791
6000x6000.png,Gaussian_11x11,12,off,omp,917.890972,917.058841,939.867701,919.240652,919.011566,941.091114,0.9985317446556966
6000x6000.png,Gaussian_11x11,16,off,omp,689.595588,688.853115,695.576728,692.027266,689.738414,701.709852,0.9964861529025361
6000x6000.png,Gaussian_11x11,20,off,omp,552.563703,551.750589,557.578721,555.418524,552.940017,559.060827,0.9948600543974655
6000x6000.png,Gaussian_3x3,1,off,omp,1403.903019,1402.958078,1406.362231,1374.686352,1373.880238,1378.252256,1.0212533331384963
6000x6000.png,Gaussian_3x3,2,off,omp,705.380797,704.669596,706.794297,691.249653,690.304007,691.902238,1.0204428948914064
6000x6000.png,Gaussian_3x3,4,off,omp,356.691002,353.470276,376.776826,349.734296,345.006359,380.788762,1.01989140350136
6000x6000.png,Gaussian_3x3,8,off,omp,200.090145,198.185245,201.029805,194.35376,194.288752,194.750514,1.0295151737738442
6000x6000.png,Gaussian_3x3,12,off,omp,138.045892,136.938235,138.42585,135.615272,135.155773,143.7659,1.0179229076796013
6000x6000.png,Gaussian_3x3,16,off,omp,104.350352,104.118396,104.631763,102.46751,101.940573,125.348602,1.0183750146753834
6000x6000.png,Gaussian_3x3,20,off,omp,84.458222,83.608335,116.179859,82.691407,82.147276,82.781918,1.0213663676081846
6000x6000.png,Gaussian_5x5,1,off,omp,2491.401577,2490.981732,2492.181715,2501.052263,2500.413831,2505.665323,0.9961413497259654
6000x6000.png,Gaussian_5x5,2,off,omp,1248.664924,1247.428031,1268.058713,1252.892437,1252.213338,1254.081835,0.9966257973349072
6000x6000.png,Gaussian_5x5,4,off,omp,631.147473,629.346385,667.032983,634.231163,631.854538,657.872719,0.995137908415894
6000x6000.png,Gaussian_5x5,8,off,omp,349.943579,348.063248,350.563986,349.674293,349.196872,350.990772,1.00077010522475
6000x6000.png,Gaussian_5x5,12,off,omp,241.142813,240.75837,265.25858,242.065985,241.719483,269.92312,0.9961862795386142
6000x6000.png,Gaussian_5x5,16,off,omp,181.948038,181.39682,214.312273,182.351521,182.302794,182.812267,0.9977873340579375
6000x6000.png,Gaussian_5x5,20,off,omp,145.916458,145.819142,145.957304,146.46225,146.299883,159.97031,0.9962734970956679
6000x6000.png,Gaussian_7x7,1,off,omp,4277.377478,4276.490772,4278.326295,4297.909156,4296.346014,4300.899881,0.9952228683169497
6000x6000.png,Gaussian_7x7,2,off,omp,2142.238592,2140.694286,2177.309034,2152.379425,2150.333729,2190.068754,0.9952885476964639
6000x6000.png,Gaussian_7x7,4,off,omp,1089.916682,1083.085904,1143.733881,1092.332089,1090.300998,1148.119024,0.9977887612894251
6000x6000.png,Gaussian_7x7,8,off,omp,599.93377,598.220838,601.132521,601.448487,597.477122,603.812255,0.9974815515663604
6000x6000.png,Gaussian_7x7,12,off,omp,412.591603,411.959167,416.49978,414.586254,413.936486,417.173242,0.9951888154014871
6000x6000.png,Gaussian_7x7,16,off,omp,310.077283,309.728946,312.939129,311.557677,311.286181,355.589576,0.9952484110991751
6000x6000.png,Gaussian_7x7,20,off,omp,248.936616,248.7694,281.806215,249.958972,249.538935,254.468181,0.995909904766291
6000x6000.png,Gaussian_9x9,1,off,omp,6631.412646,6630.101039,6643.08907,6662.459012,6659.435659,6674.5286,0.9953401040150368
6000x6000.png,Gaussian_9x9,2,off,omp,3321.714357,3317.635151,3368.518469,3336.881301,3334.437175,3381.468938,0.9954547547149925
6000x6000.png,Gaussian_9x9,4,off,omp,1683.372049,1679.665986,1808.339716,1690.651089,1683.137258,1711.826464,0.9956945344622791
6000x6000.png,Gaussian_9x9,8,off,omp,926.774056,923.149915,934.941216,931.984426,927.456461,939.043774,0.9944093808280011
6000x6000.png,Gaussian_9x9,12,off,omp,639.025004,638.405357,641.970841,641.353248,641.048536,650.032233,0.9963697946377282
6000x6000.png,Gaussian_9x9,16,off,omp,480.18473,479.73632,505.818759,482.031469,481.394072,518.851419,0.9961688414164511
6000x6000.png,Gaussian_9x9,20,off,omp,385.244078,384.813186,387.452907,386.338009,386.178541,435.601806,0.997168461361512
6000x6000.png,Grayscale,1,off,omp,138.723352,138.597857,138.934398,144.37385,144.186798,144.580039,0.9608620397668969
6000x6000.png,Grayscale,2,off,omp,72.498933,70.599646,72.763502,74.771792,73.149996,75.296993,0.969602721304312
6000x6000.png,Grayscale,4,off,omp,38.19361,37.441693,39.090418,38.579691,37.631554,39.373771,0.9899926362810941
6000x6000.png,Grayscale,8,off,omp,21.098918,20.929065,21.373302,21.798681,21.350821,22.094227,0.9678988375489326
6000x6000.png,Grayscale,12,off,omp,14.855405,14.766271,14.977485,15.446603,15.358405,15.518661,0.9617263420313191
6000x6000.png,Grayscale,16,off,omp,11.494128,11.429697,11.602436,11.915888,11.640487,11.973555,0.9646052396598558
6000x6000.png,Grayscale,20,off,omp,9.622697,9.556815,9.733572,9.909193,9.870145,14.929769,0.9710878575076699
6000x6000.png,Negative,1,off,omp,105.134204,104.804994,105.164987,101.977637,101.614003,102.378282,1.0309535217020178
6000x6000.png,Negative,2,off,omp,54.822884,53.063861,55.009384,53.099389,51.514447,53.183785,1.0324579064365504
6000x6000.png,Negative,4,off,omp,28.451909,27.879344,30.594055,27.411249,26.587301,27.767131,1.0379647056578851
6000x6000.png,Negative,8,off,omp,15.896093,15.576331,15.923835,15.243046,14.948008,15.401526,1.042842290182684
6000x6000.png,Negative,12,off,omp,10.879595,10.808508,11.015809,10.69721,10.582036,10.818013,1.017049772791223
6000x6000.png,Negative,16,off,omp,8.334352,8.205291,8.466794,8.07853,8.006548,13.209105,1.0316668997948883
6000x6000.png,Negative,20,off,omp,6.750521,6.624455,6.788385,6.640328,6.610097,10.852044,1.016594511596415
6000x6000.png,Quantize,1,off,omp,563.340185,563.168756,566.632047,566.964113,566.838043,567.474938,0.9936081880371148
6000x6000.png,Quantize,2,off,omp,284.770488,283.207923,287.773684,288.988106,285.373978,289.710229,0.9854055654456588
6000x6000.png,Quantize,4,off,omp,153.715857,145.82845,158.354966,146.044783,145.532789,146.437185,1.0525254914446345
6000x6000.png,Quantize,8,off,omp,82.147892,81.879028,95.335352,81.923287,79.701593,82.304303,1.0027416502465287
6000x6000.png,Quantize,12,off,omp,56.558555,55.781856,56.704877,57.269146,57.138837,57.289274,0.9875920796863288
6000x6000.png,Quantize,16,off,omp,42.48192,41.751932,43.075268,43.51944,43.255578,43.606656,0.9761596197009887
6000x6000.png,Quantize,20,off,omp,34.985727,34.868371,35.083394,35.511663,35.105488,56.448429,0.9851897670914482
6000x6000.png,Zoom_In,1,off,omp,348.729157,348.374019,349.373539,283.251045,282.994005,283.810427,1.2311663563324189
6000x6000.png,Zoom_In,2,off,omp,181.171751,178.110676,187.447248,149.895412,141.914526,152.871964,1.208654411650705
6000x6000.png,Zoom_In,4,off,omp,107.897153,105.683058,109.317699,89.610631,86.036338,91.698504,1.2040664349300252
6000x6000.png,Zoom_In,8,off,omp,60.663163,60.221762,62.074026,52.297384,49.940201,52.352866,1.1599655347961573
6000x6000.png,Zoom_In,12,off,omp,41.81086,41.645559,42.33993,36.313584,35.438966,36.901163,1.1513834602500266
6000x6000.png,Zoom_In,16,off,omp,30.894903,30.01884,31.790626,28.097394,27.461182,41.362089,1.0995647140798894
6000x6000.png,Zoom_In,20,off,omp,27.564526,26.594742,41.168393,26.089459,25.731864,35.062515,1.0565388113260608
6000x6000.png,Adjust_Brightness,1,off-avx2,omp-avx2,175.728324,175.296839,177.296843,178.081066,177.732737,178.302885,0.986788365249341
6000x6000.png,Adjust_Brightness,2,off-avx2,omp-avx2,89.332702,88.778286,91.832292,90.693936,90.493809,92.022596,0.9849909039122527
6000x6000.png,Adjust_Brightness,4,off-avx2,omp-avx2,45.614989,45.137252,46.078676,47.316603,46.215058,49.849979,0.9640376972962323
6000x6000.png,Adjust_Brightness,8,off-avx2,omp-avx2,25.898575,25.471564,26.064264,26.310223,25.764439,26.544468,0.9843540664782658
6000x6000.png,Adjust_Brightness,12,off-avx2,omp-avx2,17.916168,17.531743,30.832498,18.11433,18.066995,18.243387,0.9890604841581223
6000x6000.png,Adjust_Brightness,16,off-avx2,omp-avx2,13.414208,13.330642,13.44991,13.722885,13.607623,23.043959,0.9775064062695272
6000x6000.png,Adjust_Brightness,20,off-avx2,omp-avx2,10.845173,10.630169,11.135645,11.154293,10.966541,11.170045,0.9722869033474377
6000x6000.png,Adjust_Contrast,1,off-avx2,omp-avx2,265.110179,264.400582,267.59833,265.397543,265.122715,266.027578,0.9989172318750518
6000x6000.png,Adjust_Contrast,2,off-avx2,omp-avx2,134.6406,132.916661,135.250858,135.052531,133.320201,135.370732,0.9969498461306143
6000x6000.png,Adjust_Contrast,4,off-avx2,omp-avx2,68.711393,67.28695,72.694617,69.276369,67.643089,69.639088,0.9918446072137528
6000x6000.png,Adjust_Contrast,8,off-avx2,omp-avx2,38.143683,37.400578,38.248038,38.300429,37.807051,38.572737,0.9959074609843144
6000x6000.png,Adjust_Contrast,12,off-avx2,omp-avx2,26.496758,26.212992,26.584201,26.576485,26.336012,26.699032,0.9970000923748945
6000x6000.png,Adjust_Contrast,16,off-avx2,omp-avx2,19.888537,19.802476,20.003878,20.140161,19.980516,22.789587,0.9875063560812647
6000x6000.png,Adjust_Contrast,20,off-avx2,omp-avx2,16.079131,15.862677,26.835954,16.089605,15.999546,16.463923,0.9993490206875807
6000x6000.png,Equalize_Histogram,1,off-avx2,omp-avx2,188.304444,187.793447,189.107028,188.152636,187.778733,188.829939,1.0008068342980854
6000x6000.png,Equalize_Histogram,2,off-avx2,omp-avx2,96.225279,95.046768,98.533517,95.555189,95.377003,97.875173,1.007012596668089
6000x6000.png,Equalize_Histogram,4,off-avx2,omp-avx2,50.244891,48.915512,50.60655,50.980096,50.019764,51.059647,0.9855785873765321
6000x6000.png,Equalize_Histogram,8,off-avx2,omp-avx2,28.108201,27.973424,29.876304,28.285638,27.95459,28.397009,0.9937269578292702
6000x6000.png,Equalize_Histogram,12,off-avx2,omp-avx2,19.481825,19.415131,19.633623,19.526662,19.454556,19.668215,0.9977038062112202
6000x6000.png,Equalize_Histogram,16,off-avx2,omp-avx2,14.792927,14.680789,15.024928,14.802386,14.715324,15.079518,0.9993609813985395
6000x6000.png,Equalize_Histogram,20,off-avx2,omp-avx2,12.258549,11.863017,21.369701,11.846453,11.793854,12.587581,1.034786446204615
6000x6000.png,Gaussian_11x11,1,off-avx2,omp-avx2,9549.39107,9548.93788,9591.504564,9554.618893,9554.087021,9571.433833,0.9994528486108607
6000x6000.png,Gaussian_11x11,2,off-avx2,omp-avx2,4781.93254,4777.990661,4794.62094,4782.944732,4781.337506,4784.43943,0.9997883747237913
6000x6000.png,Gaussian_11x11,4,off-avx2,omp-avx2,2418.33093,2406.809141,2421.678462,2423.384465,2395.845625,2452.403484,0.9979146788002539
6000x6000.png,Gaussian_11x11,8,off-avx2,omp-avx2,1345.441391,1328.075524,1362.255718,1338.169544,1332.264119,1345.236855,1.005434174639981
6000x6000.png,Gaussian_11x11,12,off-avx2,omp-avx2,918.935943,918.410897,920.318471,919.96041,918.60639,938.285522,0.998886400991973
6000x6000.png,Gaussian_11x11,16,off-avx2,omp-avx2,690.627945,689.945303,691.053891,690.810129,690.063681,712.349256,0.9997362748570816
6000x6000.png,Gaussian_11x11,20,off-avx2,omp-avx2,560.978933,553.136367,578.507161,553.484944,553.005534,562.463203,1.013539643817303
6000x6000.png,Gaussian_3x3,1,off-avx2,omp-avx2,1380.465645,1379.19481,1412.510687,1387.212234,1386.018695,1387.671506,0.9951365848464684
6000x6000.png,Gaussian_3x3,2,off-avx2,omp-avx2,694.603387,694.054027,694.804051,697.966758,697.186668,698.293262,0.9951811874112205
6000x6000.png,Gaussian_3x3,4,off-avx2,omp-avx2,349.103964,346.885171,352.018337,351.110044,348.787198,354.026235,0.9942864636478471
6000x6000.png,Gaussian_3x3,8,off-avx2,omp-avx2,195.474686,194.976445,200.943336,196.816685,195.794836,204.657582,0.993181477474839
6000x6000.png,Gaussian_3x3,12,off-avx2,omp-avx2,135.805799,135.563915,136.322902,136.349234,135.916635,158.896412,0.9960143890503999
6000x6000.png,Gaussian_3x3,16,off-avx2,omp-avx2,102.415566,102.109606,102.588822,102.934385,101.469493,103.037999,0.9949597114705644
6000x6000.png,Gaussian_3x3,20,off-avx2,omp-avx2,82.814936,82.576573,82.905354,83.470841,82.987182,121.530851,0.9921421062476178
6000x6000.png,Gaussian_5x5,1,off-avx2,omp-avx2,2488.807457,2487.547714,2496.32115,2476.818876,2475.882132,2478.54313,1.00484031396731
6000x6000.png,Gaussian_5x5,2,off-avx2,omp-avx2,1246.266787,1246.156335,1247.294542,1240.711585,1240.189198,1241.265691,1.0044774321987169
6000x6000.png,Gaussian_5x5,4,off-avx2,omp-avx2,631.616186,628.926328,634.842293,630.741394,623.67592,655.827798,1.001386926572953
6000x6000.png,Gaussian_5x5,8,off-avx2,omp-avx2,348.058027,347.325504,350.911432,347.122994,346.083672,349.74208,1.0026936648282079
6000x6000.png,Gaussian_5x5,12,off-avx2,omp-avx2,240.618974,240.418163,241.288778,239.591046,239.553253,239.791252,1.0042903439722033
6000x6000.png,Gaussian_5x5,16,off-avx2,omp-avx2,181.432119,181.174682,181.723482,180.698923,179.78436,204.912783,1.0040575560043599
6000x6000.png,Gaussian_5x5,20,off-avx2,omp-avx2,145.911204,145.667957,220.188497,145.10047,144.961606,145.258761,1.0055873974770722
6000x6000.png,Gaussian_7x7,1,off-avx2,omp-avx2,4284.234324,4282.936699,4285.494446,4292.587804,4287.99472,4556.537899,0.9980539757411099
6000x6000.png,Gaussian_7x7,2,off-avx2,omp-avx2,2144.754563,2144.257441,2146.521179,2147.085007,2146.272127,2149.521371,0.9989146009625132
6000x6000.png,Gaussian_7x7,4,off-avx2,omp-avx2,1086.700877,1072.671373,1108.72884,1090.703218,1083.363381,1138.162363,0.9963304949192878
6000x6000.png,Gaussian_7x7,8,off-avx2,omp-avx2,599.501207,596.776518,600.717306,601.768684,596.867884,609.953665,0.9962319790639023
6000x6000.png,Gaussian_7x7,12,off-avx2,omp-avx2,412.716573,412.06203,412.981958,413.456665,412.764967,413.622235,0.998209988947693
6000x6000.png,Gaussian_7x7,16,off-avx2,omp-avx2,310.536316,310.179703,321.818016,310.812304,310.358087,344.308795,0.9991120428745962
6000x6000.png,Gaussian_7x7,20,off-avx2,omp-avx2,249.242267,249.033161,252.693461,249.696909,249.383307,257.299747,0.9981792245574013
6000x6000.png,Gaussian_9x9,1,off-avx2,omp-avx2,6625.801088,6623.901901,6632.085855,6653.827477,6652.041272,6661.454594,0.9957879297146075
6000x6000.png,Gaussian_9x9,2,off-avx2,omp-avx2,3316.224127,3314.941422,3319.474967,3329.31614,3327.999583,3331.803296,0.9960676570053814
6000x6000.png,Gaussian_9x9,4,off-avx2,omp-avx2,1682.715011,1672.23359,1692.797199,1684.206946,1680.8562,1714.032403,0.9991141617106238
6000x6000.png,Gaussian_9x9,8,off-avx2,omp-avx2,926.549781,923.005302,930.074439,930.044747,927.046665,940.352055,0.9962421528520283
6000x6000.png,Gaussian_9x9,12,off-avx2,omp-avx2,637.791739,637.313422,639.771561,641.041233,640.071788,666.740667,0.9949309126578445
6000x6000.png,Gaussian_9x9,16,off-avx2,omp-avx2,479.558806,479.30591,479.980719,481.29135,480.839217,518.729705,0.996400217872189
6000x6000.png,Gaussian_9x9,20,off-avx2,omp-avx2,385.323049,384.567505,406.080467,386.046894,385.637849,401.950014,0.9981249816764489
6000x6000.png,Grayscale,1,off-avx2,omp-avx2,140.157846,140.123802,140.697553,139.021547,138.960744,139.196119,1.008173545932416
6000x6000.png,Grayscale,2,off-avx2,omp-avx2,72.316933,71.155457,73.845325,70.997556,70.576927,73.2182,1.0185834143361217
6000x6000.png,Grayscale,4,off-avx2,omp-avx2,38.165369,36.612883,38.175356,37.412705,36.154272,37.692133,1.0201178717229882
6000x6000.png,Grayscale,8,off-avx2,omp-avx2,21.274913,20.862738,21.341,21.173827,20.985803,33.517065,1.0047741015358254
6000x6000.png,Grayscale,12,off-avx2,omp-avx2,15.047964,15.005448,15.103228,14.968177,14.922435,15.062347,1.0053304420438107
6000x6000.png,Grayscale,16,off-avx2,omp-avx2,11.70031,11.603818,11.931114,11.598767,11.500666,11.663329,1.0087546374541363
6000x6000.png,Grayscale,20,off-avx2,omp-avx2,9.747264,9.665315,9.818785,9.747398,9.621036,9.874638,0.9999862527415008
6000x6000.png,Negative,1,off-avx2,omp-avx2,105.229359,105.057643,106.277293,101.97939,101.88825,102.071787,1.0318688805649847
6000x6000.png,Negative,2,off-avx2,omp-avx2,54.645582,53.335786,55.295224,52.328436,52.05188,53.193637,1.0442808189413495
6000x6000.png,Negative,4,off-avx2,omp-avx2,28.034055,27.242233,28.438771,27.777926,26.215419,29.528142,1.0092205947989061
6000x6000.png,Negative,8,off-avx2,omp-avx2,15.655612,15.471723,15.800137,15.353026,15.239197,15.763034,1.0197085577787728
6000x6000.png,Negative,12,off-avx2,omp-avx2,10.922364,10.800563,11.00703,10.720598,10.605083,10.832766,1.0188204053542536
6000x6000.png,Negative,16,off-avx2,omp-avx2,8.269684,8.240091,8.35515,8.158924,8.005088,8.207087,1.0135753194906583
6000x6000.png,Negative,20,off-avx2,omp-avx2,6.63183,6.600076,10.381578,6.537347,6.398562,7.343318,1.014452804784571
6000x6000.png,Quantize,1,off-avx2,omp-avx2,542.879226,542.26445,543.370109,539.729871,539.464316,540.269959,1.0058350578117252
6000x6000.png,Quantize,2,off-avx2,omp-avx2,277.598248,276.498658,278.471743,275.56878,274.615519,275.715374,1.007364651394835
6000x6000.png,Quantize,4,off-avx2,omp-avx2,142.89433,139.445267,143.27852,141.745167,138.092215,151.834175,1.008107246436134
6000x6000.png,Quantize,8,off-avx2,omp-avx2,79.184851,77.156647,79.448729,79.129581,78.323755,79.623784,1.0006984745692005
6000x6000.png,Quantize,12,off-avx2,omp-avx2,55.612874,54.295008,79.756285,55.50385,55.451857,56.145131,1.0019642601369094
6000x6000.png,Quantize,16,off-avx2,omp-avx2,42.456935,41.713378,42.641419,42.62369,41.727607,61.767074,0.9960877390014801
6000x6000.png,Quantize,20,off-avx2,omp-avx2,34.752632,34.530438,55.494152,34.815136,34.702738,36.457206,0.9982046889031252
6000x6000.png,Zoom_In,1,off-avx2,omp-avx2,349.379942,348.165403,350.067931,283.492362,270.935674,285.24457,1.232413951244302
6000x6000.png,Zoom_In,2,off-avx2,omp-avx2,177.293113,176.51214,184.46441,149.698254,144.076387,152.259022,1.1843365454349255
